Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:04:05:908,smooth_1,Track Master 100,8.94s,895,600,0.67,600,895,0.67,false
2,23:04:24:443,smooth_2,Track Master 100,18.277s,1651,1000,0.606,1000,1651,0.606,false
3,23:04:56:042,smooth_3,Track Master 100,31.348s,2933,900,0.307,900,2933,0.307,false
4,23:05:21:737,smooth_4,Track Master 100,25.445s,2379,1000,0.42,1000,2379,0.42,false
5,23:05:55:828,smooth_5,Track Master 100,33.832s,3192,700,0.219,700,3192,0.219,false
6,23:06:32:053,smooth_6,Track Master 100,35.973s,2046,500,0.244,500,2046,0.244,false
7,23:07:04:672,smooth_7,Track Master 100,32.364s,2998,700,0.233,700,2998,0.233,false
8,23:07:34:175,smooth_8,Track Master 100,29.491s,2780,400,0.144,400,2780,0.144,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,18875,5801,5801.0,18875.0,

Kills:,8
Deaths:,0
Fight Time:,215.669998
Avg TTK:,26.959
Damage Done:,5801.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,791.801453
Scenario:,Thin Gauntlet
Hash:,c9ac12b07df37670e1fe392eafd263d9
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
