Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:55:04:186,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
2,22:55:04:857,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
3,22:55:05:552,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
4,22:55:06:340,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
5,22:55:07:046,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
6,22:55:07:700,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
7,22:55:08:343,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
8,22:55:11:481,Quaker Bot Long Strafes,MG,2.537s,140,80,0.571,140,280,0.5,false
9,22:55:12:392,Quaker Bot Long Strafes,MG,0.422s,70,10,0.143,20,140,0.143,false
10,22:55:13:064,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
11,22:55:13:595,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
12,22:55:14:286,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
13,22:55:14:951,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
14,22:55:15:655,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
15,22:55:16:345,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
16,22:55:17:195,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
17,22:55:18:002,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
18,22:55:18:487,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
19,22:55:19:225,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
20,22:55:20:027,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
21,22:55:20:696,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
22,22:55:21:684,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,70,160,0.438,false
23,22:55:22:298,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
24,22:55:23:018,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
25,22:55:23:732,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
26,22:55:24:841,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
27,22:55:25:483,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
28,22:55:26:992,Quaker Bot Long Strafes,MG,1.086s,80,50,0.625,80,160,0.5,false
29,22:55:27:802,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
30,22:55:28:493,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
31,22:55:29:232,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
32,22:55:29:792,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
33,22:55:30:383,Quaker Bot Long Strafes,MG,0.35s,60,60,1,80,120,0.667,false
34,22:55:31:308,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
35,22:55:35:349,Quaker Bot Long Strafes,MG,3.561s,160,70,0.438,140,320,0.438,false
36,22:55:35:855,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
