Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:38:01:458,Quaker Bot Long Strafes,MG,1.061s,120,40,0.333,80,240,0.333,false
2,23:38:02:388,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
3,23:38:03:198,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
4,23:38:04:164,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
5,23:38:05:066,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
6,23:38:06:021,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
7,23:38:06:771,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
8,23:38:08:122,Quaker Bot Long Strafes,MG,0.749s,90,40,0.444,80,180,0.444,false
9,23:38:08:968,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
10,23:38:10:118,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,80,160,0.5,false
11,23:38:11:194,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
12,23:38:12:307,Quaker Bot Long Strafes,MG,0.627s,100,40,0.4,80,200,0.4,false
13,23:38:13:155,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
14,23:38:14:459,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
15,23:38:15:431,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
16,23:38:16:250,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
17,23:38:17:576,Quaker Bot Long Strafes,MG,0.699s,110,60,0.545,100,220,0.455,false
18,23:38:18:296,Quaker Bot Long Strafes,MG,0.138s,30,30,1,60,60,1,false
19,23:38:20:419,Quaker Bot Long Strafes,MG,1.199s,70,40,0.571,80,140,0.571,false
20,23:38:21:453,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
21,23:38:23:202,Quaker Bot Long Strafes,MG,1.1s,100,40,0.4,80,200,0.4,false
22,23:38:24:788,Quaker Bot Long Strafes,MG,0.768s,120,40,0.333,70,240,0.292,false
23,23:38:26:708,Quaker Bot Long Strafes,MG,1.013s,110,40,0.364,80,220,0.364,false
24,23:38:27:805,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
25,23:38:28:976,Quaker Bot Long Strafes,MG,0.559s,90,40,0.444,80,180,0.444,false
26,23:38:29:947,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
27,23:38:31:080,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
28,23:38:32:898,Quaker Bot Long Strafes,MG,0.841s,130,40,0.308,80,260,0.308,false
29,23:38:36:148,Quaker Bot Long Strafes,MG,2.721s,130,60,0.462,120,260,0.462,false
