Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:12:09.626,target,pistol,0s,1,1,1,25,50,0.5,false
2,01:12:10.112,target,pistol,0s,1,1,1,25,50,0.5,false
3,01:12:10.696,target,pistol,0s,1,1,1,25,50,0.5,false
4,01:12:11.591,target,pistol,0.395s,2,1,0.5,25,100,0.25,false
5,01:12:11.954,target,pistol,0s,1,1,1,25,50,0.5,false
6,01:12:12.351,target,pistol,0s,1,1,1,25,50,0.5,false
7,01:12:12.883,target,pistol,0s,1,1,1,25,50,0.5,false
8,01:12:13.220,target,pistol,0s,1,1,1,25,50,0.5,false
9,01:12:13.856,target,pistol,0.001s,1,1,1,25,50,0.5,false
10,01:12:14.312,target,pistol,0s,1,1,1,25,50,0.5,false
11,01:12:14.796,target,pistol,0s,1,1,1,25,50,0.5,false
12,01:12:15.778,target,pistol,0.502s,2,1,0.5,25,100,0.25,false
13,01:12:16.628,target,pistol,0.49s,2,1,0.5,25,100,0.25,false
14,01:12:18.077,target,pistol,1.057s,3,1,0.333,25,150,0.167,false
15,01:12:18.610,target,pistol,0s,1,1,1,25,50,0.5,false
16,01:12:19.282,target,pistol,0.219s,2,1,0.5,25,100,0.25,false
17,01:12:19.752,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,01:12:20.240,target,pistol,0s,1,1,1,25,50,0.5,false
19,01:12:20.779,target,pistol,0.001s,1,1,1,25,50,0.5,false
20,01:12:21.148,target,pistol,0s,1,1,1,25,50,0.5,false
21,01:12:21.702,target,pistol,0s,1,1,1,25,50,0.5,false
22,01:12:22.160,target,pistol,0s,1,1,1,25,50,0.5,false
23,01:12:22.582,target,pistol,0s,1,1,1,25,50,0.5,false
24,01:12:23.075,target,pistol,0s,1,1,1,25,50,0.5,false
25,01:12:24.346,target,pistol,0.817s,3,1,0.333,25,150,0.167,false
26,01:12:24.754,target,pistol,0s,1,1,1,25,50,0.5,false
27,01:12:25.722,target,pistol,0s,1,1,1,25,50,0.5,false
28,01:12:26.592,target,pistol,0.454s,2,1,0.5,25,100,0.25,false
29,01:12:27.717,target,pistol,0.579s,2,1,0.5,25,100,0.25,false
30,01:12:28.682,target,pistol,0.474s,2,1,0.5,25,100,0.25,false
31,01:12:29.193,target,pistol,0s,1,1,1,25,50,0.5,false
32,01:12:29.715,target,pistol,0s,1,1,1,25,50,0.5,false
