Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:20:17.644,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:20:18.544,target,BB Gun,0s,1,1,1,1,1,1,false
3,22:20:19.851,target,BB Gun,0.593s,2,1,0.5,1,2,0.5,false
4,22:20:20.367,target,BB Gun,0s,1,1,1,1,1,1,false
5,22:20:20.908,target,BB Gun,0s,1,1,1,1,1,1,false
6,22:20:21.381,target,BB Gun,0s,1,1,1,1,1,1,false
7,22:20:21.885,target,BB Gun,0s,1,1,1,1,1,1,false
8,22:20:22.919,target,BB Gun,0.451s,2,1,0.5,1,2,0.5,false
9,22:20:23.386,target,BB Gun,0s,1,1,1,1,1,1,false
10,22:20:23.853,target,BB Gun,0.001s,1,1,1,1,1,1,false
11,22:20:24.923,target,BB Gun,0.493s,3,1,0.333,1,3,0.333,false
12,22:20:25.336,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,22:20:26.447,target,BB Gun,0.527s,2,1,0.5,1,2,0.5,false
14,22:20:27.396,target,BB Gun,0.476s,2,1,0.5,1,2,0.5,false
15,22:20:27.829,target,BB Gun,0s,1,1,1,1,1,1,false
16,22:20:28.524,target,BB Gun,0s,1,1,1,1,1,1,false
17,22:20:29.024,target,BB Gun,0s,1,1,1,1,1,1,false
18,22:20:29.592,target,BB Gun,0s,1,1,1,1,1,1,false
19,22:20:30.310,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,22:20:30.904,target,BB Gun,0s,1,1,1,1,1,1,false
21,22:20:31.508,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,22:20:32.109,target,BB Gun,0s,1,1,1,1,1,1,false
23,22:20:32.673,target,BB Gun,0s,1,1,1,1,1,1,false
24,22:20:33.469,target,BB Gun,0s,1,1,1,1,1,1,false
25,22:20:34.029,target,BB Gun,0s,1,1,1,1,1,1,false
26,22:20:34.643,target,BB Gun,0s,1,1,1,1,1,1,false
27,22:20:35.221,target,BB Gun,0s,1,1,1,1,1,1,false
28,22:20:35.814,target,BB Gun,0.001s,1,1,1,1,1,1,false
29,22:20:37.119,target,BB Gun,0.6s,2,1,0.5,1,2,0.5,false
30,22:20:37.647,target,BB Gun,0s,1,1,1,1,1,1,false
31,22:20:38.245,target,BB Gun,0s,1,1,1,1,1,1,false
32,22:20:39.611,target,BB Gun,0.603s,2,1,0.5,1,2,0.5,false
33,22:20:40.266,target,BB Gun,0s,1,1,1,1,1,1,false
34,22:20:40.913,target,BB Gun,0s,1,1,1,1,1,1,false
35,22:20:41.682,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,22:20:42.375,target,BB Gun,0s,1,1,1,1,1,1,false
37,22:20:43.139,target,BB Gun,0s,1,1,1,1,1,1,false
38,22:20:43.848,target,BB Gun,0s,1,1,1,1,1,1,false
39,22:20:44.764,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,22:20:45.352,target,BB Gun,0s,1,1,1,1,1,1,false
41,22:20:46.023,target,BB Gun,0s,1,1,1,1,1,1,false
42,22:20:46.651,target,BB Gun,0s,1,1,1,1,1,1,false
43,22:20:47.503,target,BB Gun,0.208s,2,1,0.5,1,2,0.5,false
44,22:20:48.165,target,BB Gun,0s,1,1,1,1,1,1,false
45,22:20:48.783,target,BB Gun,0s,1,1,1,1,1,1,false
