Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:10:16.418,target,BB Gun,0s,1,1,1,1,1,1,false
2,08:10:17.018,target,BB Gun,0s,1,1,1,1,1,1,false
3,08:10:17.624,target,BB Gun,0.001s,1,1,1,1,1,1,false
4,08:10:18.422,target,BB Gun,0s,1,1,1,1,1,1,false
5,08:10:18.999,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,08:10:19.529,target,BB Gun,0s,1,1,1,1,1,1,false
7,08:10:20.045,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,08:10:20.453,target,BB Gun,0s,1,1,1,1,1,1,false
9,08:10:20.835,target,BB Gun,0s,1,1,1,1,1,1,false
10,08:10:21.309,target,BB Gun,0s,1,1,1,1,1,1,false
11,08:10:22.095,target,BB Gun,0s,1,1,1,1,1,1,false
12,08:10:22.645,target,BB Gun,0s,1,1,1,1,1,1,false
13,08:10:23.352,target,BB Gun,0s,1,1,1,1,1,1,false
14,08:10:24.068,target,BB Gun,0s,1,1,1,1,1,1,false
15,08:10:24.635,target,BB Gun,0.001s,1,1,1,1,1,1,false
16,08:10:25.209,target,BB Gun,0s,1,1,1,1,1,1,false
17,08:10:25.924,target,BB Gun,0s,1,1,1,1,1,1,false
18,08:10:26.483,target,BB Gun,0s,1,1,1,1,1,1,false
19,08:10:27.093,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,08:10:27.562,target,BB Gun,0s,1,1,1,1,1,1,false
21,08:10:28.271,target,BB Gun,0s,1,1,1,1,1,1,false
22,08:10:28.685,target,BB Gun,0s,1,1,1,1,1,1,false
23,08:10:29.319,target,BB Gun,0s,1,1,1,1,1,1,false
24,08:10:29.898,target,BB Gun,0s,1,1,1,1,1,1,false
25,08:10:30.479,target,BB Gun,0s,1,1,1,1,1,1,false
26,08:10:31.189,target,BB Gun,0s,1,1,1,1,1,1,false
27,08:10:31.763,target,BB Gun,0s,1,1,1,1,1,1,false
28,08:10:32.397,target,BB Gun,0s,1,1,1,1,1,1,false
29,08:10:32.947,target,BB Gun,0s,1,1,1,1,1,1,false
30,08:10:33.562,target,BB Gun,0s,1,1,1,1,1,1,false
31,08:10:34.085,target,BB Gun,0s,1,1,1,1,1,1,false
32,08:10:34.607,target,BB Gun,0.001s,1,1,1,1,1,1,false
33,08:10:35.097,target,BB Gun,0s,1,1,1,1,1,1,false
34,08:10:35.647,target,BB Gun,0s,1,1,1,1,1,1,false
35,08:10:36.178,target,BB Gun,0s,1,1,1,1,1,1,false
36,08:10:36.743,target,BB Gun,0s,1,1,1,1,1,1,false
37,08:10:37.376,target,BB Gun,0s,1,1,1,1,1,1,false
38,08:10:37.905,target,BB Gun,0s,1,1,1,1,1,1,false
39,08:10:38.408,target,BB Gun,0.001s,1,1,1,1,1,1,false
40,08:10:39.733,target,BB Gun,0.665s,2,1,0.5,1,2,0.5,false
41,08:10:40.453,target,BB Gun,0s,1,1,1,1,1,1,false
42,08:10:41.015,target,BB Gun,0s,1,1,1,1,1,1,false
43,08:10:41.570,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,08:10:42.139,target,BB Gun,0.001s,1,1,1,1,1,1,false
45,08:10:42.641,target,BB Gun,0s,1,1,1,1,1,1,false
46,08:10:43.341,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,08:10:43.774,target,BB Gun,0s,1,1,1,1,1,1,false
48,08:10:44.534,target,BB Gun,0s,1,1,1,1,1,1,false
49,08:10:45.867,target,BB Gun,0.615s,2,1,0.5,1,2,0.5,false
50,08:10:46.375,target,BB Gun,0s,1,1,1,1,1,1,false
51,08:10:46.986,target,BB Gun,0s,1,1,1,1,1,1,false
52,08:10:47.580,target,BB Gun,0s,1,1,1,1,1,1,false
53,08:10:48.183,target,BB Gun,0s,1,1,1,1,1,1,false
54,08:10:48.893,target,BB Gun,0s,1,1,1,1,1,1,false
55,08:10:49.591,target,BB Gun,0s,1,1,1,1,1,1,false
56,08:10:50.075,target,BB Gun,0s,1,1,1,1,1,1,false
57,08:10:50.827,target,BB Gun,0s,1,1,1,1,1,1,false
58,08:10:51.825,target,BB Gun,0.204s,2,1,0.5,1,2,0.5,false
59,08:10:52.275,target,BB Gun,0s,1,1,1,1,1,1,false
60,08:10:52.979,target,BB Gun,0.001s,1,1,1,1,1,1,false
61,08:10:53.455,target,BB Gun,0s,1,1,1,1,1,1,false
62,08:10:54.737,target,BB Gun,0.434s,2,1,0.5,1,2,0.5,false
63,08:10:55.245,target,BB Gun,0s,1,1,1,1,1,1,false
64,08:10:55.979,target,BB Gun,0s,1,1,1,1,1,1,false
65,08:10:56.569,target,BB Gun,0s,1,1,1,1,1,1,false
66,08:10:57.112,target,BB Gun,0s,1,1,1,1,1,1,false
67,08:10:57.569,target,BB Gun,0s,1,1,1,1,1,1,false
68,08:10:58.068,target,BB Gun,0s,1,1,1,1,1,1,false
