Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:57:43.262,target,BB Gun,0.001s,1,1,1,1,1,1,false
2,00:57:43.575,target,BB Gun,0s,1,1,1,1,1,1,false
3,00:57:44.072,target,BB Gun,0s,1,1,1,1,1,1,false
4,00:57:44.477,targetb,BB Gun,0s,1,1,1,1,1,1,false
5,00:57:44.805,targetb,BB Gun,0s,1,1,1,1,1,1,false
6,00:57:45.124,target,BB Gun,0.001s,1,1,1,1,1,1,false
7,00:57:45.679,target,BB Gun,0.171s,2,1,0.5,1,2,0.5,false
8,00:57:46.084,targetb,BB Gun,0.001s,1,1,1,1,1,1,false
9,00:57:46.454,targetb,BB Gun,0s,1,1,1,1,1,1,false
10,00:57:46.851,targetc,BB Gun,0s,1,1,1,1,1,1,false
11,00:57:47.238,targetc,BB Gun,0s,1,1,1,1,1,1,false
12,00:57:47.631,targetb,BB Gun,0s,1,1,1,1,1,1,false
13,00:57:48.045,target,BB Gun,0.001s,1,1,1,1,1,1,false
14,00:57:48.505,targetc,BB Gun,0s,1,1,1,1,1,1,false
15,00:57:48.860,targetc,BB Gun,0.001s,1,1,1,1,1,1,false
16,00:57:49.278,targetc,BB Gun,0s,1,1,1,1,1,1,false
17,00:57:49.610,targetd,BB Gun,0.001s,1,1,1,1,1,1,false
18,00:57:49.988,targetd,BB Gun,0s,1,1,1,1,1,1,false
19,00:57:50.342,targetd,BB Gun,0s,1,1,1,1,1,1,false
20,00:57:50.669,targetb,BB Gun,0s,1,1,1,1,1,1,false
21,00:57:51.135,targete,BB Gun,0s,1,1,1,1,1,1,false
22,00:57:51.497,targete,BB Gun,0s,1,1,1,1,1,1,false
23,00:57:51.896,targete,BB Gun,0.001s,1,1,1,1,1,1,false
24,00:57:53.116,targetc,BB Gun,0.875s,3,1,0.333,1,3,0.333,false
25,00:57:53.480,targetd,BB Gun,0s,1,1,1,1,1,1,false
26,00:57:53.802,targetd,BB Gun,0s,1,1,1,1,1,1,false
27,00:57:54.698,targetf,BB Gun,0.473s,2,1,0.5,1,2,0.5,false
28,00:57:55.047,targete,BB Gun,0s,1,1,1,1,1,1,false
29,00:57:55.376,targete,BB Gun,0s,1,1,1,1,1,1,false
30,00:57:55.721,targetf,BB Gun,0s,1,1,1,1,1,1,false
31,00:57:56.096,targetf,BB Gun,0s,1,1,1,1,1,1,false
32,00:57:56.455,targetf,BB Gun,0s,1,1,1,1,1,1,false
33,00:57:56.811,targetg,BB Gun,0s,1,1,1,1,1,1,false
34,00:57:57.659,targeth,BB Gun,0.459s,2,1,0.5,1,2,0.5,false
35,00:57:58.349,targetg,BB Gun,0.304s,2,1,0.5,1,2,0.5,false
36,00:57:58.737,targetg,BB Gun,0s,1,1,1,1,1,1,false
37,00:57:59.128,targetg,BB Gun,0s,1,1,1,1,1,1,false
38,00:57:59.738,targetd,BB Gun,0s,1,1,1,1,1,1,false
39,00:58:00.184,targeth,BB Gun,0s,1,1,1,1,1,1,false
40,00:58:01.087,targeti,BB Gun,0.415s,2,1,0.5,1,2,0.5,false
41,00:58:01.692,targeth,BB Gun,0.219s,2,1,0.5,1,2,0.5,false
42,00:58:02.460,targeti,BB Gun,0.413s,2,1,0.5,1,2,0.5,false
43,00:58:02.813,targeti,BB Gun,0s,1,1,1,1,1,1,false
44,00:58:03.669,targetj,BB Gun,0.434s,2,1,0.5,1,2,0.5,false
45,00:58:04.005,targetj,BB Gun,0s,1,1,1,1,1,1,false
46,00:58:04.370,targetj,BB Gun,0s,1,1,1,1,1,1,false
47,00:58:04.746,targeti,BB Gun,0.001s,1,1,1,1,1,1,false
48,00:58:05.157,targeti,BB Gun,0s,1,1,1,1,1,1,false
49,00:58:05.507,targeti,BB Gun,0.001s,1,1,1,1,1,1,false
50,00:58:05.913,targeth,BB Gun,0.001s,1,1,1,1,1,1,false
51,00:58:06.288,targeth,BB Gun,0s,1,1,1,1,1,1,false
52,00:58:06.742,targeth,BB Gun,0s,1,1,1,1,1,1,false
53,00:58:07.104,targeth,BB Gun,0.001s,1,1,1,1,1,1,false
54,00:58:07.493,targetg,BB Gun,0.001s,1,1,1,1,1,1,false
55,00:58:07.805,targetg,BB Gun,0s,1,1,1,1,1,1,false
56,00:58:08.131,targetg,BB Gun,0s,1,1,1,1,1,1,false
