Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:02:19.514,target,pistol,0s,1,1,1,25,50,0.5,false
2,15:02:20.595,target,pistol,0.597s,2,1,0.5,25,100,0.25,false
3,15:02:21.270,target,pistol,0s,1,1,1,25,50,0.5,false
4,15:02:22.478,target,pistol,0.567s,2,1,0.5,25,100,0.25,false
5,15:02:23.263,target,pistol,0s,1,1,1,25,50,0.5,false
6,15:02:23.830,target,pistol,0s,1,1,1,25,50,0.5,false
7,15:02:24.405,target,pistol,0s,1,1,1,25,50,0.5,false
8,15:02:24.878,target,pistol,0s,1,1,1,25,50,0.5,false
9,15:02:25.952,target,pistol,0.544s,2,1,0.5,25,100,0.25,false
10,15:02:26.586,target,pistol,0s,1,1,1,25,50,0.5,false
11,15:02:27.123,target,pistol,0s,1,1,1,25,50,0.5,false
12,15:02:27.653,target,pistol,0s,1,1,1,25,50,0.5,false
13,15:02:28.248,target,pistol,0s,1,1,1,25,50,0.5,false
14,15:02:28.704,target,pistol,0s,1,1,1,25,50,0.5,false
15,15:02:29.245,target,pistol,0s,1,1,1,25,50,0.5,false
16,15:02:29.731,target,pistol,0s,1,1,1,25,50,0.5,false
17,15:02:30.241,target,pistol,0s,1,1,1,25,50,0.5,false
18,15:02:30.644,target,pistol,0s,1,1,1,25,50,0.5,false
19,15:02:31.154,target,pistol,0s,1,1,1,25,50,0.5,false
20,15:02:31.624,target,pistol,0s,1,1,1,25,50,0.5,false
21,15:02:32.074,target,pistol,0s,1,1,1,25,50,0.5,false
22,15:02:32.655,target,pistol,0s,1,1,1,25,50,0.5,false
23,15:02:33.064,target,pistol,0s,1,1,1,25,50,0.5,false
24,15:02:33.584,target,pistol,0s,1,1,1,25,50,0.5,false
25,15:02:34.043,target,pistol,0s,1,1,1,25,50,0.5,false
26,15:02:34.533,target,pistol,0s,1,1,1,25,50,0.5,false
27,15:02:35.107,target,pistol,0s,1,1,1,25,50,0.5,false
28,15:02:35.651,target,pistol,0s,1,1,1,25,50,0.5,false
29,15:02:36.235,target,pistol,0s,1,1,1,25,50,0.5,false
30,15:02:36.739,target,pistol,0s,1,1,1,25,50,0.5,false
31,15:02:37.282,target,pistol,0s,1,1,1,25,50,0.5,false
32,15:02:37.735,target,pistol,0s,1,1,1,25,50,0.5,false
33,15:02:38.201,target,pistol,0s,1,1,1,25,50,0.5,false
34,15:02:38.652,target,pistol,0s,1,1,1,25,50,0.5,false
35,15:02:39.058,target,pistol,0s,1,1,1,25,50,0.5,false
36,15:02:39.917,target,pistol,0.473s,2,1,0.5,25,100,0.25,false
37,15:02:40.397,target,pistol,0s,1,1,1,25,50,0.5,false
38,15:02:40.886,target,pistol,0s,1,1,1,25,50,0.5,false
39,15:02:41.343,target,pistol,0s,1,1,1,25,50,0.5,false
40,15:02:41.957,target,pistol,0.235s,2,1,0.5,25,100,0.25,false
41,15:02:43.363,target,pistol,0.916s,3,1,0.333,25,150,0.167,false
42,15:02:43.931,target,pistol,0.001s,1,1,1,25,50,0.5,false
43,15:02:44.387,target,pistol,0s,1,1,1,25,50,0.5,false
44,15:02:44.789,target,pistol,0s,1,1,1,25,50,0.5,false
45,15:02:45.206,target,pistol,0s,1,1,1,25,50,0.5,false
46,15:02:45.642,target,pistol,0s,1,1,1,25,50,0.5,false
47,15:02:46.110,target,pistol,0s,1,1,1,25,50,0.5,false
48,15:02:46.649,target,pistol,0s,1,1,1,25,50,0.5,false
49,15:02:47.011,target,pistol,0s,1,1,1,25,50,0.5,false
50,15:02:47.489,target,pistol,0s,1,1,1,25,50,0.5,false
51,15:02:48.119,target,pistol,0s,1,1,1,25,50,0.5,false
52,15:02:48.539,target,pistol,0.001s,1,1,1,25,50,0.5,false
53,15:02:49.617,target,pistol,0.537s,2,1,0.5,25,100,0.25,false
54,15:02:50.150,target,pistol,0.001s,1,1,1,25,50,0.5,false
55,15:02:50.545,target,pistol,0s,1,1,1,25,50,0.5,false
56,15:02:52.042,target,pistol,1.131s,4,1,0.25,25,200,0.125,false
57,15:02:52.503,target,pistol,0s,1,1,1,25,50,0.5,false
58,15:02:52.935,target,pistol,0s,1,1,1,25,50,0.5,false
59,15:02:53.902,target,pistol,0.001s,1,1,1,25,50,0.5,false
60,15:02:54.429,target,pistol,0s,1,1,1,25,50,0.5,false
61,15:02:54.952,target,pistol,0s,1,1,1,25,50,0.5,false
62,15:02:56.180,target,pistol,0.611s,2,1,0.5,25,100,0.25,false
63,15:02:56.738,target,pistol,0.001s,1,1,1,25,50,0.5,false
64,15:02:57.254,target,pistol,0s,1,1,1,25,50,0.5,false
65,15:02:57.821,target,pistol,0s,1,1,1,25,50,0.5,false
66,15:02:59.023,target,pistol,0.665s,2,1,0.5,25,100,0.25,false
67,15:02:59.537,target,pistol,0s,1,1,1,25,50,0.5,false
68,15:03:00.148,target,pistol,0s,1,1,1,25,50,0.5,false
69,15:03:00.568,target,pistol,0s,1,1,1,25,50,0.5,false
70,15:03:01.006,target,pistol,0s,1,1,1,25,50,0.5,false
71,15:03:01.489,target,pistol,0s,1,1,1,25,50,0.5,false
72,15:03:02.040,target,pistol,0s,1,1,1,25,50,0.5,false
73,15:03:02.600,target,pistol,0s,1,1,1,25,50,0.5,false
74,15:03:03.157,target,pistol,0s,1,1,1,25,50,0.5,false
75,15:03:03.590,target,pistol,0.001s,1,1,1,25,50,0.5,false
76,15:03:04.070,target,pistol,0s,1,1,1,25,50,0.5,false
77,15:03:04.476,target,pistol,0.001s,1,1,1,25,50,0.5,false
78,15:03:04.809,target,pistol,0s,1,1,1,25,50,0.5,false
79,15:03:05.225,target,pistol,0s,1,1,1,25,50,0.5,false
80,15:03:05.996,target,pistol,0.362s,2,1,0.5,25,100,0.25,false
81,15:03:06.393,target,pistol,0s,1,1,1,25,50,0.5,false
82,15:03:06.849,target,pistol,0s,1,1,1,25,50,0.5,false
83,15:03:07.950,target,pistol,0.682s,2,1,0.5,25,100,0.25,false
84,15:03:08.464,target,pistol,0.001s,1,1,1,25,50,0.5,false
85,15:03:08.953,target,pistol,0s,1,1,1,25,50,0.5,false
86,15:03:09.477,target,pistol,0.001s,1,1,1,25,50,0.5,false
87,15:03:11.002,target,pistol,1.031s,3,1,0.333,25,150,0.167,false
88,15:03:11.418,target,pistol,0s,1,1,1,25,50,0.5,false
89,15:03:11.875,target,pistol,0s,1,1,1,25,50,0.5,false
90,15:03:12.292,target,pistol,0s,1,1,1,25,50,0.5,false
91,15:03:12.872,target,pistol,0s,1,1,1,25,50,0.5,false
92,15:03:13.973,target,pistol,0.517s,2,1,0.5,25,100,0.25,false
93,15:03:14.989,target,pistol,0.51s,2,1,0.5,25,100,0.25,false
94,15:03:15.513,target,pistol,0s,1,1,1,25,50,0.5,false
95,15:03:16.097,target,pistol,0s,1,1,1,25,50,0.5,false
96,15:03:16.601,target,pistol,0s,1,1,1,25,50,0.5,false
97,15:03:17.578,target,pistol,0.517s,2,1,0.5,25,100,0.25,false
98,15:03:18.188,target,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,118,98,2450.0,5900.0,

Kills:,98
Deaths:,0
Fight Time:,9.904
Avg TTK:,0
Damage Done:,2450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,813.898315
Scenario:,1wall 2targets small - valorant
Hash:,2069349891a9f847d2602c513fb7891b
Game Version:,v2.6.0
Challenge Start:,15:02:18.678
Pause Count:,27
Pause Duration:,234

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.841095
Resolution Scale,100.0
