Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:33:00.211,target,BB Gun,0.989s,3,1,0.333,1,3,0.333,false
2,17:33:00.736,target,BB Gun,0s,1,1,1,1,1,1,false
3,17:33:01.251,target,BB Gun,0s,1,1,1,1,1,1,false
4,17:33:01.968,target,BB Gun,0.204s,2,1,0.5,1,2,0.5,false
5,17:33:02.210,target,BB Gun,0s,1,1,1,1,1,1,false
6,17:33:02.833,target,BB Gun,0s,1,1,1,1,1,1,false
7,17:33:03.849,target,BB Gun,0.511s,2,1,0.5,1,2,0.5,false
8,17:33:04.782,target,BB Gun,0.322s,2,1,0.5,1,2,0.5,false
9,17:33:05.290,target,BB Gun,0s,1,1,1,1,1,1,false
10,17:33:05.782,target,BB Gun,0s,1,1,1,1,1,1,false
11,17:33:06.297,target,BB Gun,0s,1,1,1,1,1,1,false
12,17:33:06.768,target,BB Gun,0s,1,1,1,1,1,1,false
13,17:33:07.511,target,BB Gun,0.233s,2,1,0.5,1,2,0.5,false
14,17:33:07.978,target,BB Gun,0.001s,1,1,1,1,1,1,false
15,17:33:08.688,target,BB Gun,0.162s,2,1,0.5,1,2,0.5,false
16,17:33:11.756,target,BB Gun,1.381s,3,1,0.333,1,3,0.333,false
17,17:33:12.272,target,BB Gun,0s,1,1,1,1,1,1,false
18,17:33:12.755,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,17:33:13.155,target,BB Gun,0s,1,1,1,1,1,1,false
20,17:33:13.670,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,17:33:14.090,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,17:33:14.523,target,BB Gun,0s,1,1,1,1,1,1,false
23,17:33:15.106,target,BB Gun,0s,1,1,1,1,1,1,false
24,17:33:15.616,target,BB Gun,0s,1,1,1,1,1,1,false
25,17:33:16.093,target,BB Gun,0s,1,1,1,1,1,1,false
26,17:33:16.577,target,BB Gun,0s,1,1,1,1,1,1,false
27,17:33:16.941,target,BB Gun,0s,1,1,1,1,1,1,false
28,17:33:17.278,target,BB Gun,0s,1,1,1,1,1,1,false
29,17:33:17.658,target,BB Gun,0s,1,1,1,1,1,1,false
30,17:33:18.307,target,BB Gun,0s,1,1,1,1,1,1,false
31,17:33:18.943,target,BB Gun,0s,1,1,1,1,1,1,false
32,17:33:19.357,target,BB Gun,0s,1,1,1,1,1,1,false
