Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:06:46.832,target,BB Gun,0.598s,3,1,0.333,1,3,0.333,false
2,15:06:47.942,target,BB Gun,0.33s,2,1,0.5,1,2,0.5,false
3,15:06:48.531,target,BB Gun,0s,1,1,1,1,1,1,false
4,15:06:49.174,target,BB Gun,0.216s,2,1,0.5,1,2,0.5,false
5,15:06:49.854,target,BB Gun,0s,1,1,1,1,1,1,false
6,15:06:50.553,target,BB Gun,0s,1,1,1,1,1,1,false
7,15:06:51.400,target,BB Gun,0.272s,2,1,0.5,1,2,0.5,false
8,15:06:52.003,target,BB Gun,0s,1,1,1,1,1,1,false
9,15:06:52.702,target,BB Gun,0s,1,1,1,1,1,1,false
10,15:06:53.081,target,BB Gun,0s,1,1,1,1,1,1,false
11,15:06:54.221,target,BB Gun,0.585s,2,1,0.5,1,2,0.5,false
12,15:06:54.722,target,BB Gun,0s,1,1,1,1,1,1,false
13,15:06:56.450,target,BB Gun,1.122s,3,1,0.333,1,3,0.333,false
14,15:06:56.972,target,BB Gun,0s,1,1,1,1,1,1,false
15,15:06:57.654,target,BB Gun,0s,1,1,1,1,1,1,false
16,15:06:58.264,target,BB Gun,0s,1,1,1,1,1,1,false
17,15:06:58.879,target,BB Gun,0s,1,1,1,1,1,1,false
18,15:06:59.943,target,BB Gun,0.533s,2,1,0.5,1,2,0.5,false
19,15:07:00.506,target,BB Gun,0.001s,1,1,1,1,1,1,false
20,15:07:01.491,target,BB Gun,0.286s,2,1,0.5,1,2,0.5,false
21,15:07:02.166,target,BB Gun,0.217s,2,1,0.5,1,2,0.5,false
22,15:07:02.893,target,BB Gun,0.209s,2,1,0.5,1,2,0.5,false
23,15:07:03.373,target,BB Gun,0.001s,1,1,1,1,1,1,false
24,15:07:03.916,target,BB Gun,0s,1,1,1,1,1,1,false
25,15:07:05.254,target,BB Gun,0.696s,2,1,0.5,1,2,0.5,false
26,15:07:05.776,target,BB Gun,0s,1,1,1,1,1,1,false
27,15:07:06.264,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,15:07:07.087,target,BB Gun,0.206s,2,1,0.5,1,2,0.5,false
29,15:07:07.522,target,BB Gun,0s,1,1,1,1,1,1,false
30,15:07:08.088,target,BB Gun,0s,1,1,1,1,1,1,false
31,15:07:08.794,target,BB Gun,0.242s,2,1,0.5,1,2,0.5,false
32,15:07:10.287,target,BB Gun,0.924s,3,1,0.333,1,3,0.333,false
33,15:07:10.782,target,BB Gun,0s,1,1,1,1,1,1,false
34,15:07:11.696,target,BB Gun,0.243s,2,1,0.5,1,2,0.5,false
35,15:07:12.237,target,BB Gun,0s,1,1,1,1,1,1,false
