Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:51:49.617,target,pistol,0.668s,3,1,0.333,25,150,0.167,false
2,18:51:49.960,target,pistol,0.001s,1,1,1,25,50,0.5,false
3,18:51:50.255,target,pistol,0s,1,1,1,25,50,0.5,false
4,18:51:50.611,target,pistol,0s,1,1,1,25,50,0.5,false
5,18:51:50.889,target,pistol,0s,1,1,1,25,50,0.5,false
6,18:51:51.197,target,pistol,0s,1,1,1,25,50,0.5,false
7,18:51:51.751,target,pistol,0.268s,2,1,0.5,25,100,0.25,false
8,18:51:52.081,target,pistol,0s,1,1,1,25,50,0.5,false
9,18:51:52.328,target,pistol,0s,1,1,1,25,50,0.5,false
10,18:51:52.759,target,pistol,0s,1,1,1,25,50,0.5,false
11,18:51:53.030,target,pistol,0s,1,1,1,25,50,0.5,false
12,18:51:53.332,target,pistol,0s,1,1,1,25,50,0.5,false
13,18:51:53.665,target,pistol,0.001s,1,1,1,25,50,0.5,false
14,18:51:54.001,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,18:51:54.288,target,pistol,0s,1,1,1,25,50,0.5,false
16,18:51:54.681,target,pistol,0s,1,1,1,25,50,0.5,false
17,18:51:55.029,target,pistol,0s,1,1,1,25,50,0.5,false
18,18:51:55.362,target,pistol,0s,1,1,1,25,50,0.5,false
19,18:51:55.719,target,pistol,0s,1,1,1,25,50,0.5,false
20,18:51:56.054,target,pistol,0s,1,1,1,25,50,0.5,false
21,18:51:56.396,target,pistol,0s,1,1,1,25,50,0.5,false
22,18:51:56.950,target,pistol,0.194s,2,1,0.5,25,100,0.25,false
23,18:51:57.275,target,pistol,0s,1,1,1,25,50,0.5,false
24,18:51:57.587,target,pistol,0s,1,1,1,25,50,0.5,false
25,18:51:58.094,target,pistol,0.185s,2,1,0.5,25,100,0.25,false
26,18:51:58.779,target,pistol,0.295s,2,1,0.5,25,100,0.25,false
27,18:51:59.168,target,pistol,0s,1,1,1,25,50,0.5,false
28,18:51:59.721,target,pistol,0.305s,2,1,0.5,25,100,0.25,false
29,18:52:00.253,target,pistol,0.235s,2,1,0.5,25,100,0.25,false
30,18:52:01.008,target,pistol,0.357s,2,1,0.5,25,100,0.25,false
31,18:52:01.383,target,pistol,0s,1,1,1,25,50,0.5,false
32,18:52:01.839,target,pistol,0.131s,2,1,0.5,25,100,0.25,false
33,18:52:02.078,target,pistol,0s,1,1,1,25,50,0.5,false
34,18:52:02.400,target,pistol,0s,1,1,1,25,50,0.5,false
35,18:52:02.719,target,pistol,0s,1,1,1,25,50,0.5,false
36,18:52:03.034,target,pistol,0s,1,1,1,25,50,0.5,false
37,18:52:03.377,target,pistol,0s,1,1,1,25,50,0.5,false
38,18:52:03.659,target,pistol,0s,1,1,1,25,50,0.5,false
39,18:52:04.689,target,pistol,0.601s,2,1,0.5,25,100,0.25,false
40,18:52:05.333,target,pistol,0.289s,2,1,0.5,25,100,0.25,false
41,18:52:05.663,target,pistol,0s,1,1,1,25,50,0.5,false
42,18:52:05.940,target,pistol,0s,1,1,1,25,50,0.5,false
43,18:52:06.236,target,pistol,0s,1,1,1,25,50,0.5,false
44,18:52:06.492,target,pistol,0s,1,1,1,25,50,0.5,false
45,18:52:06.820,target,pistol,0s,1,1,1,25,50,0.5,false
46,18:52:07.102,target,pistol,0s,1,1,1,25,50,0.5,false
47,18:52:07.421,target,pistol,0s,1,1,1,25,50,0.5,false
48,18:52:08.629,target,pistol,0.899s,3,1,0.333,25,150,0.167,false
49,18:52:09.177,target,pistol,0s,1,1,1,25,50,0.5,false
50,18:52:09.847,target,pistol,0.342s,2,1,0.5,25,100,0.25,false
51,18:52:10.494,target,pistol,0.238s,2,1,0.5,25,100,0.25,false
52,18:52:10.784,target,pistol,0s,1,1,1,25,50,0.5,false
53,18:52:11.162,target,pistol,0s,1,1,1,25,50,0.5,false
54,18:52:11.476,target,pistol,0s,1,1,1,25,50,0.5,false
55,18:52:11.861,target,pistol,0s,1,1,1,25,50,0.5,false
56,18:52:12.267,target,pistol,0s,1,1,1,25,50,0.5,false
57,18:52:12.572,target,pistol,0s,1,1,1,25,50,0.5,false
58,18:52:12.895,target,pistol,0s,1,1,1,25,50,0.5,false
59,18:52:13.287,target,pistol,0s,1,1,1,25,50,0.5,false
60,18:52:13.951,target,pistol,0s,1,1,1,25,50,0.5,false
61,18:52:14.340,target,pistol,0s,1,1,1,25,50,0.5,false
62,18:52:14.666,target,pistol,0s,1,1,1,25,50,0.5,false
63,18:52:14.982,target,pistol,0s,1,1,1,25,50,0.5,false
64,18:52:15.338,target,pistol,0s,1,1,1,25,50,0.5,false
65,18:52:15.687,target,pistol,0s,1,1,1,25,50,0.5,false
66,18:52:16.029,target,pistol,0s,1,1,1,25,50,0.5,false
67,18:52:16.633,target,pistol,0.288s,2,1,0.5,25,100,0.25,false
68,18:52:16.972,target,pistol,0s,1,1,1,25,50,0.5,false
69,18:52:17.298,target,pistol,0s,1,1,1,25,50,0.5,false
70,18:52:17.661,target,pistol,0s,1,1,1,25,50,0.5,false
71,18:52:18.009,target,pistol,0s,1,1,1,25,50,0.5,false
72,18:52:18.335,target,pistol,0s,1,1,1,25,50,0.5,false
73,18:52:18.650,target,pistol,0s,1,1,1,25,50,0.5,false
74,18:52:19.281,target,pistol,0.269s,2,1,0.5,25,100,0.25,false
75,18:52:19.630,target,pistol,0s,1,1,1,25,50,0.5,false
76,18:52:19.942,target,pistol,0s,1,1,1,25,50,0.5,false
77,18:52:20.291,target,pistol,0s,1,1,1,25,50,0.5,false
78,18:52:20.630,target,pistol,0s,1,1,1,25,50,0.5,false
79,18:52:20.925,target,pistol,0s,1,1,1,25,50,0.5,false
80,18:52:21.308,target,pistol,0s,1,1,1,25,50,0.5,false
81,18:52:21.596,target,pistol,0s,1,1,1,25,50,0.5,false
82,18:52:21.936,target,pistol,0s,1,1,1,25,50,0.5,false
83,18:52:22.462,target,pistol,0s,1,1,1,25,50,0.5,false
84,18:52:22.701,target,pistol,0.001s,1,1,1,25,50,0.5,false
85,18:52:23.029,target,pistol,0s,1,1,1,25,50,0.5,false
86,18:52:23.358,target,pistol,0s,1,1,1,25,50,0.5,false
87,18:52:23.694,target,pistol,0s,1,1,1,25,50,0.5,false
88,18:52:24.039,target,pistol,0s,1,1,1,25,50,0.5,false
89,18:52:24.389,target,pistol,0s,1,1,1,25,50,0.5,false
90,18:52:24.737,target,pistol,0s,1,1,1,25,50,0.5,false
91,18:52:25.096,target,pistol,0s,1,1,1,25,50,0.5,false
92,18:52:25.396,target,pistol,0s,1,1,1,25,50,0.5,false
93,18:52:25.717,target,pistol,0s,1,1,1,25,50,0.5,false
94,18:52:26.040,target,pistol,0.001s,1,1,1,25,50,0.5,false
95,18:52:26.385,target,pistol,0s,1,1,1,25,50,0.5,false
96,18:52:26.677,target,pistol,0s,1,1,1,25,50,0.5,false
97,18:52:26.999,target,pistol,0.001s,1,1,1,25,50,0.5,false
98,18:52:27.324,target,pistol,0s,1,1,1,25,50,0.5,false
99,18:52:27.754,target,pistol,0s,1,1,1,25,50,0.5,false
100,18:52:28.167,target,pistol,0s,1,1,1,25,50,0.5,false
101,18:52:28.479,target,pistol,0s,1,1,1,25,50,0.5,false
102,18:52:28.785,target,pistol,0s,1,1,1,25,50,0.5,false
103,18:52:29.160,target,pistol,0s,1,1,1,25,50,0.5,false
104,18:52:29.882,target,pistol,0.363s,2,1,0.5,25,100,0.25,false
105,18:52:31.040,target,pistol,0.826s,3,1,0.333,25,150,0.167,false
106,18:52:31.352,target,pistol,0s,1,1,1,25,50,0.5,false
107,18:52:31.668,target,pistol,0s,1,1,1,25,50,0.5,false
108,18:52:32.405,target,pistol,0.359s,2,1,0.5,25,100,0.25,false
109,18:52:32.678,target,pistol,0s,1,1,1,25,50,0.5,false
110,18:52:33.050,target,pistol,0s,1,1,1,25,50,0.5,false
111,18:52:33.379,target,pistol,0s,1,1,1,25,50,0.5,false
112,18:52:33.737,target,pistol,0s,1,1,1,25,50,0.5,false
113,18:52:34.235,target,pistol,0s,1,1,1,25,50,0.5,false
114,18:52:34.513,target,pistol,0s,1,1,1,25,50,0.5,false
115,18:52:34.973,target,pistol,0s,1,1,1,25,50,0.5,false
116,18:52:35.349,target,pistol,0s,1,1,1,25,50,0.5,false
117,18:52:35.715,target,pistol,0.001s,1,1,1,25,50,0.5,false
118,18:52:36.057,target,pistol,0s,1,1,1,25,50,0.5,false
119,18:52:36.423,target,pistol,0s,1,1,1,25,50,0.5,false
120,18:52:36.701,target,pistol,0s,1,1,1,25,50,0.5,false
121,18:52:37.047,target,pistol,0.001s,1,1,1,25,50,0.5,false
122,18:52:37.342,target,pistol,0.001s,1,1,1,25,50,0.5,false
123,18:52:37.664,target,pistol,0s,1,1,1,25,50,0.5,false
124,18:52:38.011,target,pistol,0s,1,1,1,25,50,0.5,false
125,18:52:38.309,target,pistol,0s,1,1,1,25,50,0.5,false
126,18:52:38.709,target,pistol,0s,1,1,1,25,50,0.5,false
127,18:52:39.081,target,pistol,0s,1,1,1,25,50,0.5,false
128,18:52:39.417,target,pistol,0s,1,1,1,25,50,0.5,false
129,18:52:39.846,target,pistol,0s,1,1,1,25,50,0.5,false
130,18:52:40.158,target,pistol,0s,1,1,1,25,50,0.5,false
131,18:52:40.487,target,pistol,0s,1,1,1,25,50,0.5,false
132,18:52:40.827,target,pistol,0.001s,1,1,1,25,50,0.5,false
133,18:52:41.148,target,pistol,0.001s,1,1,1,25,50,0.5,false
134,18:52:41.487,target,pistol,0s,1,1,1,25,50,0.5,false
135,18:52:41.790,target,pistol,0s,1,1,1,25,50,0.5,false
136,18:52:42.192,target,pistol,0s,1,1,1,25,50,0.5,false
137,18:52:42.525,target,pistol,0s,1,1,1,25,50,0.5,false
138,18:52:42.840,target,pistol,0s,1,1,1,25,50,0.5,false
139,18:52:43.186,target,pistol,0s,1,1,1,25,50,0.5,false
140,18:52:44.199,target,pistol,0.662s,3,1,0.333,25,150,0.167,false
141,18:52:45.296,target,pistol,0.808s,3,1,0.333,25,150,0.167,false
142,18:52:45.884,target,pistol,0s,1,1,1,25,50,0.5,false
143,18:52:46.266,target,pistol,0s,1,1,1,25,50,0.5,false
144,18:52:46.605,target,pistol,0s,1,1,1,25,50,0.5,false
145,18:52:46.995,target,pistol,0.001s,1,1,1,25,50,0.5,false
146,18:52:47.296,target,pistol,0s,1,1,1,25,50,0.5,false
147,18:52:47.693,target,pistol,0s,1,1,1,25,50,0.5,false
148,18:52:48.192,target,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,174,148,3700.0,8700.0,

Kills:,148
Deaths:,0
