Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:45:43.924,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,23:45:44.702,test,pistol,0.376s,2,1,0.5,1000,4000,0.25,false
3,23:45:45.091,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,23:45:45.901,test,pistol,0.42s,2,1,0.5,1000,4000,0.25,false
5,23:45:46.350,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,23:45:46.763,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
7,23:45:48.052,test,pistol,0.802s,3,1,0.333,1000,6000,0.167,false
8,23:45:48.455,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,23:45:48.815,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,23:45:49.573,test,pistol,0.393s,2,1,0.5,1000,4000,0.25,false
11,23:45:50.255,test,pistol,0.251s,2,1,0.5,1000,4000,0.25,false
12,23:45:50.774,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,23:45:51.591,test,pistol,0.359s,2,1,0.5,1000,4000,0.25,false
14,23:45:52.530,test,pistol,0.241s,2,1,0.5,1000,4000,0.25,false
15,23:45:52.945,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,23:45:53.421,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,23:45:55.297,test,pistol,1.416s,4,1,0.25,1000,8000,0.125,false
18,23:45:55.908,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,23:45:56.656,test,pistol,0.255s,2,1,0.5,1000,4000,0.25,false
20,23:45:59.047,test,pistol,1.74s,5,1,0.2,1000,10000,0.1,false
21,23:45:59.568,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,23:46:01.034,test,pistol,0.721s,3,1,0.333,1000,6000,0.167,false
23,23:46:01.500,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,23:46:02.313,test,pistol,0.299s,2,1,0.5,1000,4000,0.25,false
25,23:46:03.290,test,pistol,0.422s,2,1,0.5,1000,4000,0.25,false
26,23:46:03.713,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,23:46:04.171,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
28,23:46:04.640,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,23:46:05.495,test,pistol,0.392s,2,1,0.5,1000,4000,0.25,false
30,23:46:06.234,test,pistol,0.272s,2,1,0.5,1000,4000,0.25,false
31,23:46:06.721,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,23:46:07.130,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,23:46:07.989,test,pistol,0.379s,2,1,0.5,1000,4000,0.25,false
34,23:46:08.665,test,pistol,0.202s,2,1,0.5,1000,4000,0.25,false
35,23:46:09.769,test,pistol,0.299s,2,1,0.5,1000,4000,0.25,false
36,23:46:10.229,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,23:46:11.133,test,pistol,0.406s,2,1,0.5,1000,4000,0.25,false
38,23:46:11.660,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,23:46:12.019,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,23:46:13.034,test,pistol,0.518s,3,1,0.333,1000,6000,0.167,false
41,23:46:13.635,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,23:46:14.343,test,pistol,0.228s,2,1,0.5,1000,4000,0.25,false
43,23:46:14.774,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,23:46:15.307,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,23:46:15.766,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,23:46:16.658,test,pistol,0.409s,2,1,0.5,1000,4000,0.25,false
47,23:46:17.129,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,23:46:17.793,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,23:46:18.223,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,23:46:18.669,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,23:46:19.085,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,23:46:20.683,test,pistol,1.101s,4,1,0.25,1000,8000,0.125,false
53,23:46:21.066,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,23:46:21.516,test,pistol,0s,1,1,1,1000,2000,0.5,false
