Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:07:54.839,test,pistol,0.634s,3,1,0.333,1000,6000,0.167,false
2,19:07:55.348,test,pistol,0s,1,1,1,1000,2000,0.5,false
3,19:07:55.764,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,19:07:56.156,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,19:07:57.190,test,pistol,0.666s,3,1,0.333,1000,6000,0.167,false
6,19:07:57.731,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,19:07:58.165,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,19:07:59.032,test,pistol,0.417s,2,1,0.5,1000,4000,0.25,false
9,19:08:00.073,test,pistol,0.425s,2,1,0.5,1000,4000,0.25,false
10,19:08:00.523,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,19:08:01.240,test,pistol,0.235s,2,1,0.5,1000,4000,0.25,false
12,19:08:02.190,test,pistol,0.309s,2,1,0.5,1000,4000,0.25,false
13,19:08:02.698,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,19:08:03.539,test,pistol,0.317s,2,1,0.5,1000,4000,0.25,false
15,19:08:05.281,test,pistol,0.992s,3,1,0.333,1000,6000,0.167,false
16,19:08:06.390,test,pistol,0.367s,2,1,0.5,1000,4000,0.25,false
17,19:08:07.165,test,pistol,0.308s,2,1,0.5,1000,4000,0.25,false
18,19:08:07.498,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,19:08:09.114,test,pistol,0.95s,3,1,0.333,1000,6000,0.167,false
20,19:08:09.673,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,19:08:10.165,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,19:08:10.598,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,19:08:11.456,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,19:08:12.023,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,19:08:12.923,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,19:08:14.065,test,pistol,0.675s,2,1,0.5,1000,4000,0.25,false
27,19:08:15.123,test,pistol,0.458s,2,1,0.5,1000,4000,0.25,false
28,19:08:15.574,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,19:08:15.957,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,19:08:17.032,test,pistol,0.608s,2,1,0.5,1000,4000,0.25,false
31,19:08:17.531,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,19:08:17.966,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,19:08:18.482,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,19:08:19.565,test,pistol,0.634s,2,1,0.5,1000,4000,0.25,false
35,19:08:20.532,test,pistol,0.567s,2,1,0.5,1000,4000,0.25,false
36,19:08:21.315,test,pistol,0.325s,2,1,0.5,1000,4000,0.25,false
37,19:08:22.332,test,pistol,0.467s,2,1,0.5,1000,4000,0.25,false
38,19:08:22.949,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,19:08:23.499,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,19:08:24.783,test,pistol,0.708s,3,1,0.333,1000,6000,0.167,false
41,19:08:25.783,test,pistol,0.492s,2,1,0.5,1000,4000,0.25,false
42,19:08:26.599,test,pistol,0.258s,2,1,0.5,1000,4000,0.25,false
43,19:08:27.323,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,19:08:28.283,test,pistol,0.45s,2,1,0.5,1000,4000,0.25,false
45,19:08:28.691,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,19:08:29.199,test,pistol,0s,1,1,1,1000,2000,0.5,false
47,19:08:29.600,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,19:08:30.149,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,19:08:30.915,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,19:08:31.332,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,19:08:32.282,test,pistol,0.442s,2,1,0.5,1000,4000,0.25,false
52,19:08:32.732,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,19:08:33.199,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,19:08:34.707,test,pistol,0.899s,3,1,0.333,1000,6000,0.167,false
55,19:08:35.316,test,pistol,0s,1,1,1,1000,2000,0.5,false
56,19:08:35.975,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
57,19:08:36.449,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
58,19:08:36.874,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,19:08:37.316,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,19:08:38.816,test,pistol,0.976s,3,1,0.333,1000,6000,0.167,false
61,19:08:39.366,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,19:08:40.724,test,pistol,0.816s,3,1,0.333,1000,6000,0.167,false
63,19:08:41.191,test,pistol,0s,1,1,1,1000,2000,0.5,false
64,19:08:42.200,test,pistol,0.399s,2,1,0.5,1000,4000,0.25,false
65,19:08:45.199,test,pistol,2.324s,4,1,0.25,1000,8000,0.125,false
66,19:08:45.649,test,pistol,0s,1,1,1,1000,2000,0.5,false
67,19:08:46.532,test,pistol,0.266s,2,1,0.5,1000,4000,0.25,false
68,19:08:48.208,test,pistol,1.125s,3,1,0.333,1000,6000,0.167,false
69,19:08:48.750,test,pistol,0s,1,1,1,1000,2000,0.5,false
70,19:08:49.150,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
71,19:08:50.059,test,pistol,0.45s,2,1,0.5,1000,4000,0.25,false
72,19:08:50.509,test,pistol,0s,1,1,1,1000,2000,0.5,false
73,19:08:52.383,test,pistol,1.175s,3,1,0.333,1000,6000,0.167,false
74,19:08:53.033,test,pistol,0s,1,1,1,1000,2000,0.5,false
75,19:08:53.500,test,pistol,0s,1,1,1,1000,2000,0.5,false
76,19:08:55.083,test,pistol,1.084s,3,1,0.333,1000,6000,0.167,false
77,19:08:56.150,test,pistol,0.45s,2,1,0.5,1000,4000,0.25,false
78,19:08:59.001,test,pistol,2.393s,4,1,0.25,1000,8000,0.125,false
79,19:08:59.476,test,pistol,0s,1,1,1,1000,2000,0.5,false
80,19:09:00.692,test,pistol,0.717s,3,1,0.333,1000,6000,0.167,false
81,19:09:01.135,test,pistol,0s,1,1,1,1000,2000,0.5,false
82,19:09:01.626,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
83,19:09:02.516,test,pistol,0.382s,2,1,0.5,1000,4000,0.25,false
84,19:09:03.367,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
85,19:09:04.192,test,pistol,0.309s,2,1,0.5,1000,4000,0.25,false
86,19:09:04.709,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
87,19:09:05.225,test,pistol,0s,1,1,1,1000,2000,0.5,false
88,19:09:07.742,test,pistol,1.992s,4,1,0.25,1000,8000,0.125,false
89,19:09:08.176,test,pistol,0s,1,1,1,1000,2000,0.5,false
90,19:09:09.384,test,pistol,0.549s,2,1,0.5,1000,4000,0.25,false
91,19:09:09.834,test,pistol,0s,1,1,1,1000,2000,0.5,false
92,19:09:10.759,test,pistol,0.701s,3,1,0.333,1000,6000,0.167,false
93,19:09:11.242,test,pistol,0s,1,1,1,1000,2000,0.5,false
94,19:09:12.125,test,pistol,0.316s,2,1,0.5,1000,4000,0.25,false
95,19:09:12.968,test,pistol,0s,1,1,1,1000,2000,0.5,false
96,19:09:13.509,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
97,19:09:14.075,test,pistol,0s,1,1,1,1000,2000,0.5,false
