Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:47:26.219,target,BB Gun,0s,1,1,1,1,1,1,false
2,23:47:26.656,target,BB Gun,0.198s,2,1,0.5,1,2,0.5,false
3,23:47:27.019,target,BB Gun,0s,1,1,1,1,1,1,false
4,23:47:27.313,target,BB Gun,0s,1,1,1,1,1,1,false
5,23:47:27.603,target,BB Gun,0s,1,1,1,1,1,1,false
6,23:47:28.190,target,BB Gun,0.356s,2,1,0.5,1,2,0.5,false
7,23:47:28.519,target,BB Gun,0s,1,1,1,1,1,1,false
8,23:47:28.773,target,BB Gun,0s,1,1,1,1,1,1,false
9,23:47:29.122,target,BB Gun,0s,1,1,1,1,1,1,false
10,23:47:29.350,target,BB Gun,0s,1,1,1,1,1,1,false
11,23:47:29.559,target,BB Gun,0s,1,1,1,1,1,1,false
12,23:47:29.771,target,BB Gun,0s,1,1,1,1,1,1,false
13,23:47:29.982,target,BB Gun,0s,1,1,1,1,1,1,false
14,23:47:30.422,target,BB Gun,0.121s,2,1,0.5,1,2,0.5,false
15,23:47:30.710,target,BB Gun,0s,1,1,1,1,1,1,false
16,23:47:30.946,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,23:47:31.254,target,BB Gun,0s,1,1,1,1,1,1,false
18,23:47:31.452,target,BB Gun,0s,1,1,1,1,1,1,false
19,23:47:31.715,target,BB Gun,0s,1,1,1,1,1,1,false
20,23:47:32.047,target,BB Gun,0s,1,1,1,1,1,1,false
21,23:47:32.258,target,BB Gun,0s,1,1,1,1,1,1,false
22,23:47:32.470,target,BB Gun,0s,1,1,1,1,1,1,false
23,23:47:32.762,target,BB Gun,0s,1,1,1,1,1,1,false
24,23:47:33.098,target,BB Gun,0s,1,1,1,1,1,1,false
25,23:47:33.511,target,BB Gun,0.17s,2,1,0.5,1,2,0.5,false
26,23:47:33.792,target,BB Gun,0s,1,1,1,1,1,1,false
27,23:47:34.353,target,BB Gun,0.376s,2,1,0.5,1,2,0.5,false
28,23:47:34.830,target,BB Gun,0.158s,2,1,0.5,1,2,0.5,false
29,23:47:35.162,target,BB Gun,0s,1,1,1,1,1,1,false
30,23:47:35.370,target,BB Gun,0s,1,1,1,1,1,1,false
31,23:47:35.599,target,BB Gun,0s,1,1,1,1,1,1,false
32,23:47:35.870,target,BB Gun,0s,1,1,1,1,1,1,false
33,23:47:36.159,target,BB Gun,0s,1,1,1,1,1,1,false
34,23:47:36.438,target,BB Gun,0s,1,1,1,1,1,1,false
35,23:47:36.677,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,23:47:36.888,target,BB Gun,0s,1,1,1,1,1,1,false
37,23:47:37.103,target,BB Gun,0s,1,1,1,1,1,1,false
38,23:47:37.372,target,BB Gun,0s,1,1,1,1,1,1,false
39,23:47:37.676,target,BB Gun,0s,1,1,1,1,1,1,false
40,23:47:37.922,target,BB Gun,0s,1,1,1,1,1,1,false
41,23:47:38.141,target,BB Gun,0s,1,1,1,1,1,1,false
42,23:47:38.412,target,BB Gun,0s,1,1,1,1,1,1,false
43,23:47:38.630,target,BB Gun,0s,1,1,1,1,1,1,false
44,23:47:38.949,target,BB Gun,0s,1,1,1,1,1,1,false
45,23:47:39.191,target,BB Gun,0.001s,1,1,1,1,1,1,false
46,23:47:39.624,target,BB Gun,0s,1,1,1,1,1,1,false
47,23:47:39.835,target,BB Gun,0s,1,1,1,1,1,1,false
48,23:47:40.057,target,BB Gun,0s,1,1,1,1,1,1,false
49,23:47:40.366,target,BB Gun,0s,1,1,1,1,1,1,false
50,23:47:40.574,target,BB Gun,0s,1,1,1,1,1,1,false
51,23:47:40.792,target,BB Gun,0s,1,1,1,1,1,1,false
52,23:47:40.991,target,BB Gun,0s,1,1,1,1,1,1,false
53,23:47:41.394,target,BB Gun,0s,1,1,1,1,1,1,false
54,23:47:42.096,target,BB Gun,0.495s,3,1,0.333,1,3,0.333,false
55,23:47:42.307,target,BB Gun,0s,1,1,1,1,1,1,false
56,23:47:42.700,target,BB Gun,0s,1,1,1,1,1,1,false
57,23:47:42.908,target,BB Gun,0s,1,1,1,1,1,1,false
