Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:57:45.958,TileFrenzy Sphere,16ML9 - 080,1.337s,3,1,0.333,1,3,0.333,false
2,20:57:46.411,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,20:57:46.968,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,20:57:47.442,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,20:57:47.881,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,20:57:48.466,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,20:57:48.959,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,20:57:49.446,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,20:57:49.902,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,20:57:50.429,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,20:57:51.037,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,20:57:52.181,TileFrenzy Sphere,16ML9 - 080,0.493s,2,1,0.5,1,2,0.5,false
13,20:57:52.648,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
14,20:57:53.135,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,20:57:53.612,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,20:57:54.118,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,20:57:54.696,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,20:57:55.394,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,20:57:56.485,TileFrenzy Sphere,16ML9 - 080,0.61s,2,1,0.5,1,2,0.5,false
20,20:57:57.029,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
21,20:57:57.542,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,20:57:58.062,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,20:57:59.206,TileFrenzy Sphere,16ML9 - 080,0.477s,2,1,0.5,1,2,0.5,false
24,20:57:59.723,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,20:58:00.139,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,20:58:00.629,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,20:58:01.164,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
28,20:58:01.721,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,20:58:02.281,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,20:58:03.299,TileFrenzy Sphere,16ML9 - 080,0.592s,2,1,0.5,1,2,0.5,false
31,20:58:03.731,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
32,20:58:04.147,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,20:58:04.782,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,20:58:05.269,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
35,20:58:05.817,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
36,20:58:06.900,TileFrenzy Sphere,16ML9 - 080,0.429s,2,1,0.5,1,2,0.5,false
37,20:58:08.168,TileFrenzy Sphere,16ML9 - 080,0.714s,2,1,0.5,1,2,0.5,false
38,20:58:08.669,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,20:58:09.246,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
40,20:58:09.676,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
41,20:58:11.079,TileFrenzy Sphere,16ML9 - 080,0.863s,3,1,0.333,1,3,0.333,false
42,20:58:11.600,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
43,20:58:12.141,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
44,20:58:12.648,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
45,20:58:13.137,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
46,20:58:13.561,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
47,20:58:13.915,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
48,20:58:14.408,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
49,20:58:14.812,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
50,20:58:15.301,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
51,20:58:15.919,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
52,20:58:16.305,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,20:58:17.131,TileFrenzy Sphere,16ML9 - 080,0.43s,2,1,0.5,1,2,0.5,false
54,20:58:19.347,TileFrenzy Sphere,16ML9 - 080,1.803s,3,1,0.333,1,3,0.333,false
55,20:58:19.982,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
56,20:58:20.523,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
57,20:58:20.979,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
58,20:58:22.584,TileFrenzy Sphere,16ML9 - 080,0.648s,2,1,0.5,1,2,0.5,false
59,20:58:23.381,TileFrenzy Sphere,16ML9 - 080,0.225s,2,1,0.5,1,2,0.5,false
60,20:58:23.947,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
