Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:34:03.751,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,05:34:04.285,TileFrenzy Sphere,16ML9 - 080,0.202s,2,1,0.5,1,2,0.5,false
3,05:34:04.687,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,05:34:05.000,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,05:34:05.392,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,05:34:05.690,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,05:34:06.000,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,05:34:06.392,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,05:34:06.849,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,05:34:07.134,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,05:34:07.550,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,05:34:07.886,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,05:34:08.201,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,05:34:08.614,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,05:34:08.976,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,05:34:09.563,TileFrenzy Sphere,16ML9 - 080,0.369s,2,1,0.5,1,2,0.5,false
17,05:34:10.073,TileFrenzy Sphere,16ML9 - 080,0.201s,2,1,0.5,1,2,0.5,false
18,05:34:10.430,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,05:34:10.775,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,05:34:11.105,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
21,05:34:11.396,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,05:34:11.733,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,05:34:12.421,TileFrenzy Sphere,16ML9 - 080,0.323s,2,1,0.5,1,2,0.5,false
24,05:34:12.703,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,05:34:12.995,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,05:34:13.260,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,05:34:13.572,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
28,05:34:14.039,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,05:34:14.338,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,05:34:15.053,TileFrenzy Sphere,16ML9 - 080,0.405s,2,1,0.5,1,2,0.5,false
31,05:34:15.745,TileFrenzy Sphere,16ML9 - 080,0.353s,2,1,0.5,1,2,0.5,false
32,05:34:16.066,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,05:34:16.606,TileFrenzy Sphere,16ML9 - 080,0.211s,2,1,0.5,1,2,0.5,false
34,05:34:17.298,TileFrenzy Sphere,16ML9 - 080,0.188s,2,1,0.5,1,2,0.5,false
35,05:34:17.583,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
36,05:34:17.893,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,05:34:18.239,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,05:34:18.558,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,05:34:18.811,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
40,05:34:19.240,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
41,05:34:19.914,TileFrenzy Sphere,16ML9 - 080,0.352s,2,1,0.5,1,2,0.5,false
42,05:34:20.277,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
43,05:34:20.616,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
44,05:34:21.338,TileFrenzy Sphere,16ML9 - 080,0.403s,2,1,0.5,1,2,0.5,false
45,05:34:21.643,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
46,05:34:21.979,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
47,05:34:22.412,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
48,05:34:22.805,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
49,05:34:23.439,TileFrenzy Sphere,16ML9 - 080,0.37s,2,1,0.5,1,2,0.5,false
50,05:34:23.700,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
51,05:34:24.415,TileFrenzy Sphere,16ML9 - 080,0.362s,2,1,0.5,1,2,0.5,false
52,05:34:24.758,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
53,05:34:25.121,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
54,05:34:25.389,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
55,05:34:25.816,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
56,05:34:26.440,TileFrenzy Sphere,16ML9 - 080,0.308s,2,1,0.5,1,2,0.5,false
57,05:34:26.773,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
58,05:34:27.185,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
59,05:34:27.803,TileFrenzy Sphere,16ML9 - 080,0.38s,2,1,0.5,1,2,0.5,false
60,05:34:28.125,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
61,05:34:28.511,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
62,05:34:28.877,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
63,05:34:29.306,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
64,05:34:29.598,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
65,05:34:29.967,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
