Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:55:47.595,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,14:55:47.942,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,14:55:48.643,TileFrenzy Sphere,16ML9 - 080,0.36s,2,1,0.5,1,2,0.5,false
4,14:55:49.000,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,14:55:49.342,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,14:55:49.812,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,14:55:50.340,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
8,14:55:50.683,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,14:55:51.022,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,14:55:51.399,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,14:55:51.726,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
12,14:55:52.103,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,14:55:52.466,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,14:55:52.796,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,14:55:53.124,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,14:55:53.581,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,14:55:54.419,TileFrenzy Sphere,16ML9 - 080,0.448s,2,1,0.5,1,2,0.5,false
18,14:55:54.759,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,14:55:55.125,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,14:55:55.392,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
21,14:55:55.762,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,14:55:56.082,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,14:55:56.414,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
24,14:55:56.842,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,14:55:57.190,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,14:55:57.548,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
27,14:55:57.894,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
28,14:55:58.264,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,14:55:58.609,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,14:55:58.968,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
31,14:55:59.284,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
32,14:55:59.657,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,14:56:00.062,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,14:56:00.407,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
35,14:56:00.686,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
36,14:56:00.985,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
37,14:56:01.293,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,14:56:01.633,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
39,14:56:01.972,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
40,14:56:02.278,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
41,14:56:02.652,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
