Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:04:27.682,offsx+y-z+,BB Gun,1.202s,2,1,0.5,1,2,0.5,false
2,21:04:28.330,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
3,21:04:28.831,offs,BB Gun,0s,1,1,1,1,1,1,false
4,21:04:29.525,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
5,21:04:30.627,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
6,21:04:31.411,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
7,21:04:32.858,offsx+y+z+,BB Gun,0.837s,3,1,0.333,1,3,0.333,false
8,21:04:33.441,offsx+y-z+,BB Gun,0.223s,2,1,0.5,1,2,0.5,false
9,21:04:34.078,offsx+y+z+,BB Gun,0.527s,2,1,0.5,1,2,0.5,false
10,21:04:34.342,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
11,21:04:35.048,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
12,21:04:35.775,offsx-y+z+,BB Gun,0.185s,2,1,0.5,1,2,0.5,false
13,21:04:36.378,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
14,21:04:36.789,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
15,21:04:37.110,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
16,21:04:37.495,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
17,21:04:37.902,offsx+y+z+,BB Gun,0.001s,1,1,1,1,1,1,false
18,21:04:38.861,offs,BB Gun,0.49s,2,1,0.5,1,2,0.5,false
19,21:04:39.734,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
20,21:04:40.117,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
21,21:04:40.709,offsx-y+z+,BB Gun,0.182s,2,1,0.5,1,2,0.5,false
22,21:04:41.840,offsx+y-z+,BB Gun,0.578s,2,1,0.5,1,2,0.5,false
23,21:04:42.335,offsx+y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
24,21:04:43.113,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
25,21:04:44.688,offsx-y+z-,BB Gun,0.802s,2,1,0.5,1,2,0.5,false
26,21:04:45.329,offs,BB Gun,0.24s,2,1,0.5,1,2,0.5,false
27,21:04:46.447,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
28,21:04:47.011,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
29,21:04:47.394,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
30,21:04:48.015,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
31,21:04:48.665,offsx-y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
32,21:04:49.825,offsx-y+z+,BB Gun,0.631s,2,1,0.5,1,2,0.5,false
33,21:04:50.482,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
34,21:04:51.091,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
35,21:04:52.047,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
36,21:04:52.915,offsx+y+z-,BB Gun,0.418s,2,1,0.5,1,2,0.5,false
37,21:04:53.352,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
38,21:04:54.096,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
39,21:04:54.464,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
40,21:04:54.888,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
41,21:04:55.317,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
42,21:04:56.045,offs,BB Gun,0s,1,1,1,1,1,1,false
43,21:04:56.483,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
44,21:04:57.534,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
45,21:04:57.941,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
46,21:04:58.640,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
47,21:04:59.214,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
48,21:04:59.773,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
49,21:05:00.156,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
50,21:05:00.650,offsx+y+z-,BB Gun,0.001s,1,1,1,1,1,1,false
51,21:05:01.393,offsx-y+z-,BB Gun,0.234s,2,1,0.5,1,2,0.5,false
52,21:05:03.224,offsx+y-z-,BB Gun,0.908s,3,1,0.333,1,3,0.333,false
53,21:05:03.598,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
54,21:05:04.849,offs,BB Gun,0.719s,2,1,0.5,1,2,0.5,false
55,21:05:05.493,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
56,21:05:06.306,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
57,21:05:06.882,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
58,21:05:07.476,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
59,21:05:08.045,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
60,21:05:08.667,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
61,21:05:09.386,offsx-y+z-,BB Gun,0.243s,2,1,0.5,1,2,0.5,false
62,21:05:09.935,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
63,21:05:10.560,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
64,21:05:11.079,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
65,21:05:11.768,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
66,21:05:12.233,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
67,21:05:13.257,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
68,21:05:14.177,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
69,21:05:15.064,offs,BB Gun,0.266s,2,1,0.5,1,2,0.5,false
70,21:05:15.848,offsx-y-z-,BB Gun,0s,1,1,1,1,1,1,false
71,21:05:16.272,offs,BB Gun,0s,1,1,1,1,1,1,false
72,21:05:16.663,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
73,21:05:17.075,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
74,21:05:17.500,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
75,21:05:18.195,offsx-y+z+,BB Gun,0.001s,1,1,1,1,1,1,false
76,21:05:19.495,offsx-y-z+,BB Gun,0.807s,3,1,0.333,1,3,0.333,false
77,21:05:19.943,offsx-y-z+,BB Gun,0s,1,1,1,1,1,1,false
78,21:05:20.529,offsx+y+z-,BB Gun,0s,1,1,1,1,1,1,false
79,21:05:21.259,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
80,21:05:21.694,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
81,21:05:22.383,offsx+y+z+,BB Gun,0s,1,1,1,1,1,1,false
82,21:05:22.990,offsx-y+z-,BB Gun,0s,1,1,1,1,1,1,false
83,21:05:23.461,offsx-y+z+,BB Gun,0s,1,1,1,1,1,1,false
84,21:05:23.886,offsx+y-z-,BB Gun,0s,1,1,1,1,1,1,false
85,21:05:24.464,offsx+y-z+,BB Gun,0s,1,1,1,1,1,1,false
86,21:05:24.885,offs,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,107,86,86.0,107.0,

Kills:,86
Deaths:,0
Fight Time:,9.497
Avg TTK:,0
Damage Done:,86.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,86.0
Scenario:,6wall18targets small reload
Hash:,c6f124b145db786e04a15efd7a86d402
Game Version:,2.0.4.0
Challenge Start:,21:04:25.183

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,246.251938
Resolution Scale,100.0
