Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:47:45.509,ABSD Target T 01,ABSD Fully-auto,2.548s,52,40,0.769,240,312,0.769,false
2,05:47:49.758,ABSD Target B 01,ABSD Fully-auto,3.998s,79,40,0.506,240,474,0.506,false
3,05:47:53.312,ABSD Target T 02,ABSD Fully-auto,3.301s,64,40,0.625,240,384,0.625,false
4,05:47:57.871,ABSD Target B 02,ABSD Fully-auto,3.747s,76,40,0.526,240,456,0.526,false
5,05:48:01.440,ABSD Target T 03,ABSD Fully-auto,3.316s,59,40,0.678,240,354,0.678,false
6,05:48:04.978,ABSD Target B 03,ABSD Fully-auto,3.147s,64,40,0.625,240,384,0.625,false
7,05:48:08.981,ABSD Target T 04,ABSD Fully-auto,3.598s,73,40,0.548,240,438,0.548,false
8,05:48:12.757,ABSD Target B 04,ABSD Fully-auto,3.523s,70,40,0.571,240,420,0.571,false
9,05:48:16.116,ABSD Target T 05,ABSD Fully-auto,3.11s,60,40,0.667,240,360,0.667,false
10,05:48:20.303,ABSD Target B 05,ABSD Fully-auto,3.936s,72,40,0.556,240,432,0.556,false
11,05:48:24.345,ABSD Target T 06,ABSD Fully-auto,3.745s,67,40,0.597,240,402,0.597,false
12,05:48:27.200,ABSD Target B 06,ABSD Fully-auto,2.604s,44,40,0.909,240,264,0.909,false
13,05:48:30.571,ABSD Target T 07,ABSD Fully-auto,3.121s,59,40,0.678,240,354,0.678,false
14,05:48:34.398,ABSD Target B 07,ABSD Fully-auto,3.584s,64,40,0.625,240,384,0.625,false
15,05:48:38.964,ABSD Target T 08,ABSD Fully-auto,4.146s,84,40,0.476,240,504,0.476,false
16,05:48:42.941,ABSD Target B 08,ABSD Fully-auto,3.547s,72,40,0.556,240,432,0.556,false
17,05:48:47.878,ABSD Target T 09,ABSD Fully-auto,4.638s,83,40,0.482,240,498,0.482,false
18,05:48:52.370,ABSD Target B 09,ABSD Fully-auto,4.193s,81,40,0.494,240,486,0.494,false
19,05:48:57.656,ABSD Target T 10,ABSD Fully-auto,4.988s,95,40,0.421,240,570,0.421,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ABSD Fully-auto,1403,800,4800.0,8418.0,

Kills:,20
Deaths:,0
Fight Time:,73.512001
Avg TTK:,0.25
Damage Done:,4800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,39
Reloads:,0
Distance Traveled:,20002.412109
Score:,10801.352539
Scenario:,Auto Balanced Stair Dodge Robots
Hash:,8ca6c16dcf82277fcdf26f7ebe13f5ea
Game Version:,2.0.5.3
Challenge Start:,05:47:42.336
Pause Count:,14
Pause Duration:,97

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,295.763885
Resolution Scale,100.0
