Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:23:12.211,Low,b180 pistol,0.001s,1,1,1,50,125,0.4,false
2,15:23:12.692,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
3,15:23:13.301,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
4,15:23:13.826,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
5,15:23:14.690,High,b180 pistol,0.262s,2,1,0.5,50,250,0.2,false
6,15:23:15.392,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
7,15:23:15.966,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
8,15:23:19.936,High,b180 pistol,3.378s,6,1,0.167,50,750,0.067,false
9,15:23:21.155,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
10,15:23:22.092,High,b180 pistol,0s,1,1,1,50,125,0.4,false
11,15:23:23.065,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
12,15:23:23.472,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
13,15:23:24.509,High,b180 pistol,0.372s,2,1,0.5,50,250,0.2,false
14,15:23:25.279,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
15,15:23:29.555,Mid,b180 pistol,3.306s,4,1,0.25,50,500,0.1,false
16,15:23:29.928,High,b180 pistol,0s,1,1,1,50,125,0.4,false
17,15:23:30.500,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
18,15:23:31.774,Mid,b180 pistol,0.793s,2,1,0.5,50,250,0.2,false
19,15:23:34.806,Mid,b180 pistol,2.41s,4,1,0.25,50,500,0.1,false
20,15:23:35.839,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
21,15:23:36.198,High,b180 pistol,0s,1,1,1,50,125,0.4,false
22,15:23:37.528,Low,b180 pistol,0.725s,3,1,0.333,50,375,0.133,false
23,15:23:38.033,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
24,15:23:40.764,Mid,b180 pistol,2.047s,3,1,0.333,50,375,0.133,false
25,15:23:41.282,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
26,15:23:42.163,High,b180 pistol,0.001s,1,1,1,50,125,0.4,false
27,15:23:43.094,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
28,15:23:46.871,Low,b180 pistol,2.927s,5,1,0.2,50,625,0.08,false
29,15:23:47.677,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
30,15:23:48.807,High,b180 pistol,0s,1,1,1,50,125,0.4,false
31,15:23:49.261,High,b180 pistol,0s,1,1,1,50,125,0.4,false
32,15:23:50.261,Mid,b180 pistol,0.44s,2,1,0.5,50,250,0.2,false
33,15:23:51.174,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
34,15:23:52.777,Mid,b180 pistol,1.083s,3,1,0.333,50,375,0.133,false
35,15:23:53.826,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
36,15:23:57.409,Low,b180 pistol,2.921s,4,1,0.25,50,500,0.1,false
37,15:23:58.055,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
38,15:23:58.820,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
39,15:23:59.261,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
40,15:23:59.658,High,b180 pistol,0s,1,1,1,50,125,0.4,false
41,15:24:00.747,Low,b180 pistol,0.555s,2,1,0.5,50,250,0.2,false
42,15:24:01.498,High,b180 pistol,0s,1,1,1,50,125,0.4,false
43,15:24:02.015,Mid,b180 pistol,0.001s,1,1,1,50,125,0.4,false
44,15:24:03.248,Mid,b180 pistol,0.658s,2,1,0.5,50,250,0.2,false
45,15:24:03.869,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
46,15:24:04.413,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
47,15:24:04.952,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
48,15:24:05.584,High,b180 pistol,0s,1,1,1,50,125,0.4,false
49,15:24:06.192,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
50,15:24:06.959,Mid,b180 pistol,0s,1,1,1,50,125,0.4,false
51,15:24:08.099,Low,b180 pistol,0.318s,2,1,0.5,50,250,0.2,false
52,15:24:08.689,High,b180 pistol,0.001s,1,1,1,50,125,0.4,false
53,15:24:09.649,Mid,b180 pistol,0.397s,2,1,0.5,50,250,0.2,false
54,15:24:10.427,Low,b180 pistol,0s,1,1,1,50,125,0.4,false
55,15:24:10.837,Low,b180 pistol,0.001s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,87,55,2750.0,10875.0,

Kills:,55
Deaths:,0
Fight Time:,22.6
Avg TTK:,1.283
Damage Done:,2750.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,5
Distance Traveled:,0.0
Score:,55.0
Scenario:,B180 Voltaic
Hash:,c01cb433518fa3bccf4fb0e7a19d5a0d
Game Version:,v2.8.5
Challenge Start:,15:23:11.210
Pause Count:,8
Pause Duration:,323

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,349.61264
Resolution Scale,100.0
