Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:10:59.214,Low,pistol,0s,1,1,1,50,125,0.4,false
2,00:10:59.697,Mid,pistol,0s,1,1,1,50,125,0.4,false
3,00:10:59.958,Mid,pistol,0s,1,1,1,50,125,0.4,false
4,00:11:01.546,Mid,pistol,0.861s,3,1,0.333,50,375,0.133,false
5,00:11:02.233,High,pistol,0s,1,1,1,50,125,0.4,false
6,00:11:02.762,High,pistol,0s,1,1,1,50,125,0.4,false
7,00:11:04.320,Mid,pistol,1.215s,3,1,0.333,50,375,0.133,false
8,00:11:05.849,High,pistol,0.96s,3,1,0.333,50,375,0.133,false
9,00:11:06.557,Low,pistol,0.288s,2,1,0.5,50,250,0.2,false
10,00:11:07.301,Mid,pistol,0s,1,1,1,50,125,0.4,false
11,00:11:08.417,Low,pistol,0.335s,2,1,0.5,50,250,0.2,false
12,00:11:10.973,Mid,pistol,2.219s,4,1,0.25,50,500,0.1,false
13,00:11:11.402,Mid,pistol,0s,1,1,1,50,125,0.4,false
14,00:11:13.095,High,pistol,1.135s,3,1,0.333,50,375,0.133,false
15,00:11:13.829,Mid,pistol,0s,1,1,1,50,125,0.4,false
16,00:11:14.253,Low,pistol,0s,1,1,1,50,125,0.4,false
17,00:11:14.724,Low,pistol,0s,1,1,1,50,125,0.4,false
18,00:11:15.343,Mid,pistol,0s,1,1,1,50,125,0.4,false
19,00:11:15.936,Mid,pistol,0s,1,1,1,50,125,0.4,false
20,00:11:16.749,Low,pistol,0.277s,2,1,0.5,50,250,0.2,false
21,00:11:18.234,High,pistol,0.788s,2,1,0.5,50,250,0.2,false
22,00:11:19.121,Mid,pistol,0s,1,1,1,50,125,0.4,false
23,00:11:20.081,High,pistol,0.509s,3,1,0.333,50,375,0.133,false
24,00:11:20.538,Mid,pistol,0s,1,1,1,50,125,0.4,false
25,00:11:21.089,Mid,pistol,0.001s,1,1,1,50,125,0.4,false
26,00:11:21.453,Low,pistol,0.001s,1,1,1,50,125,0.4,false
27,00:11:21.835,High,pistol,0s,1,1,1,50,125,0.4,false
28,00:11:22.272,Low,pistol,0s,1,1,1,50,125,0.4,false
29,00:11:23.093,Mid,pistol,0.377s,2,1,0.5,50,250,0.2,false
30,00:11:24.259,Mid,pistol,0.633s,3,1,0.333,50,375,0.133,false
31,00:11:24.567,Low,pistol,0s,1,1,1,50,125,0.4,false
32,00:11:25.020,Mid,pistol,0s,1,1,1,50,125,0.4,false
33,00:11:25.525,Mid,pistol,0s,1,1,1,50,125,0.4,false
34,00:11:26.443,High,pistol,0.001s,1,1,1,50,125,0.4,false
35,00:11:28.177,Mid,pistol,1.343s,3,1,0.333,50,375,0.133,false
36,00:11:29.328,High,pistol,0.4s,2,1,0.5,50,250,0.2,false
37,00:11:29.766,High,pistol,0s,1,1,1,50,125,0.4,false
38,00:11:31.901,Mid,pistol,1.57s,3,1,0.333,50,375,0.133,false
39,00:11:33.927,Low,pistol,1.11s,2,1,0.5,50,250,0.2,false
40,00:11:34.613,High,pistol,0s,1,1,1,50,125,0.4,false
41,00:11:35.069,Mid,pistol,0.001s,1,1,1,50,125,0.4,false
42,00:11:35.903,Mid,pistol,0.001s,1,1,1,50,125,0.4,false
43,00:11:36.747,Mid,pistol,0.356s,2,1,0.5,50,250,0.2,false
44,00:11:37.813,Mid,pistol,0.618s,2,1,0.5,50,250,0.2,false
45,00:11:38.300,Low,pistol,0s,1,1,1,50,125,0.4,false
46,00:11:39.147,Mid,pistol,0s,1,1,1,50,125,0.4,false
47,00:11:39.796,High,pistol,0s,1,1,1,50,125,0.4,false
48,00:11:40.306,Low,pistol,0s,1,1,1,50,125,0.4,false
49,00:11:40.837,Mid,pistol,0s,1,1,1,50,125,0.4,false
50,00:11:42.934,High,pistol,1.413s,3,1,0.333,50,375,0.133,false
51,00:11:44.707,Low,pistol,1.254s,3,1,0.333,50,375,0.133,false
52,00:11:45.469,Mid,pistol,0s,1,1,1,50,125,0.4,false
53,00:11:46.566,Mid,pistol,0.577s,2,1,0.5,50,250,0.2,false
54,00:11:47.684,Mid,pistol,0.676s,2,1,0.5,50,250,0.2,false
55,00:11:49.370,High,pistol,1.297s,3,1,0.333,50,375,0.133,false
56,00:11:50.530,Mid,pistol,0.564s,2,1,0.5,50,250,0.2,false
57,00:11:51.225,Low,pistol,0s,1,1,1,50,125,0.4,false
58,00:11:51.652,Low,pistol,0s,1,1,1,50,125,0.4,false
59,00:11:52.556,Mid,pistol,0s,1,1,1,50,125,0.4,false
60,00:11:53.590,High,pistol,0.317s,2,1,0.5,50,250,0.2,false
61,00:11:54.122,Mid,pistol,0s,1,1,1,50,125,0.4,false
