Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:57:41.461,Low,B180T LG,0.322s,7,5,0.714,5,7,0.714,false
2,13:57:42.219,Mid,B180T LG,0.432s,9,5,0.556,5,9,0.556,false
3,13:57:42.924,Mid,B180T LG,0.379s,8,5,0.625,5,8,0.625,false
4,13:57:43.787,High,B180T LG,0.541s,11,5,0.455,5,11,0.455,false
5,13:57:44.492,Mid,B180T LG,0.378s,8,5,0.625,5,8,0.625,false
6,13:57:45.898,Mid,B180T LG,1.081s,21,5,0.238,5,21,0.238,false
7,13:57:47.036,High,B180T LG,0.812s,16,5,0.312,5,16,0.312,false
8,13:57:48.118,High,B180T LG,0.758s,15,5,0.333,5,15,0.333,false
9,13:57:49.309,Low,B180T LG,0.866s,17,5,0.294,5,17,0.294,false
10,13:57:50.336,Mid,B180T LG,0.702s,14,5,0.357,5,14,0.357,false
11,13:57:51.312,Low,B180T LG,0.65s,13,5,0.385,5,13,0.385,false
12,13:57:52.555,Mid,B180T LG,0.922s,18,5,0.278,5,18,0.278,false
13,13:57:53.368,Low,B180T LG,0.487s,10,5,0.5,5,10,0.5,false
14,13:57:54.126,High,B180T LG,0.433s,9,5,0.556,5,9,0.556,false
15,13:57:55.586,Mid,B180T LG,1.135s,22,5,0.227,5,22,0.227,false
16,13:57:57.210,Mid,B180T LG,1.299s,25,5,0.2,5,25,0.2,false
17,13:57:58.238,High,B180T LG,0.701s,14,5,0.357,5,14,0.357,false
18,13:57:59.268,Mid,B180T LG,0.705s,14,5,0.357,5,14,0.357,false
19,13:58:00.188,Low,B180T LG,0.598s,12,5,0.417,5,12,0.417,false
20,13:58:00.999,Mid,B180T LG,0.49s,10,5,0.5,5,10,0.5,false
21,13:58:01.809,Mid,B180T LG,0.487s,10,5,0.5,5,10,0.5,false
22,13:58:03.218,Low,B180T LG,1.084s,21,6,0.286,6,21,0.286,false
23,13:58:04.084,Mid,B180T LG,0.543s,11,4,0.364,4,11,0.364,false
24,13:58:05.650,High,B180T LG,1.246s,24,5,0.208,5,24,0.208,false
25,13:58:06.766,High,B180T LG,0.867s,17,5,0.294,5,17,0.294,false
26,13:58:07.655,Mid,B180T LG,0.597s,12,5,0.417,5,12,0.417,false
27,13:58:08.901,Low,B180T LG,0.92s,18,5,0.278,5,18,0.278,false
28,13:58:10.360,Mid,B180T LG,1.138s,22,9,0.409,9,22,0.409,false
29,13:58:11.012,Mid,B180T LG,0.325s,7,1,0.143,1,7,0.143,false
30,13:58:11.931,High,B180T LG,0.598s,12,6,0.5,6,12,0.5,false
31,13:58:13.064,Low,B180T LG,0.809s,16,4,0.25,4,16,0.25,false
32,13:58:13.823,Mid,B180T LG,0.432s,9,5,0.556,5,9,0.556,false
33,13:58:15.014,Mid,B180T LG,0.866s,17,5,0.294,5,17,0.294,false
34,13:58:16.239,High,B180T LG,0.92s,18,5,0.278,5,18,0.278,false
35,13:58:16.907,Mid,B180T LG,0.376s,8,5,0.625,5,8,0.625,false
36,13:58:20.208,Low,B180T LG,2.976s,56,13,0.232,13,56,0.232,false
37,13:58:20.860,High,B180T LG,0.326s,7,1,0.143,1,7,0.143,false
38,13:58:21.240,Low,B180T LG,0.053s,2,1,0.5,1,2,0.5,false
39,13:58:22.374,Mid,B180T LG,0.811s,16,5,0.312,5,16,0.312,false
40,13:58:23.348,Mid,B180T LG,0.647s,13,5,0.385,5,13,0.385,false
41,13:58:24.811,Low,B180T LG,1.139s,22,7,0.318,7,22,0.318,false
42,13:58:25.512,Mid,B180T LG,0.38s,8,3,0.375,3,8,0.375,false
43,13:58:26.812,Mid,B180T LG,0.974s,19,9,0.474,9,19,0.474,false
44,13:58:27.246,Mid,B180T LG,0.108s,3,1,0.333,1,3,0.333,false
45,13:58:28.272,High,B180T LG,0.701s,14,5,0.357,5,14,0.357,false
46,13:58:29.517,High,B180T LG,0.919s,18,5,0.278,5,18,0.278,false
47,13:58:30.816,Mid,B180T LG,0.973s,19,5,0.263,5,19,0.263,false
48,13:58:33.307,Mid,B180T LG,2.165s,41,9,0.22,9,41,0.22,false
49,13:58:35.632,High,B180T LG,2.001s,38,5,0.132,5,38,0.132,false
