Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:52:13.868,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
2,22:52:14.436,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,22:52:16.305,Pigeon,pistol,1.413s,4,1,0.25,50,500,0.1,false
4,22:52:17.156,Pigeon,pistol,0.301s,2,1,0.5,50,250,0.2,false
5,22:52:18.142,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,22:52:19.836,Pigeon,pistol,1.188s,3,1,0.333,50,375,0.133,false
7,22:52:20.399,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,22:52:21.886,Pigeon,pistol,0.918s,3,1,0.333,50,375,0.133,false
9,22:52:22.424,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,22:52:22.961,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,22:52:24.162,Pigeon,pistol,0.294s,2,1,0.5,50,250,0.2,false
12,22:52:26.217,Pigeon,pistol,1.318s,4,1,0.25,50,500,0.1,false
13,22:52:27.055,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,22:52:28.506,Pigeon,pistol,0.907s,2,1,0.5,50,250,0.2,false
15,22:52:29.292,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,22:52:31.180,Pigeon,pistol,1.369s,4,1,0.25,50,500,0.1,false
17,22:52:31.924,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,22:52:32.627,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,22:52:33.377,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
20,22:52:34.683,Pigeon,pistol,0.337s,2,1,0.5,50,250,0.2,false
21,22:52:35.908,Pigeon,pistol,0.669s,2,1,0.5,50,250,0.2,false
22,22:52:36.483,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,22:52:37.564,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,22:52:38.395,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,22:52:39.314,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,22:52:40.696,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,22:52:41.584,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,22:52:43.020,Pigeon,pistol,0.905s,2,1,0.5,50,250,0.2,false
29,22:52:44.020,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,22:52:44.445,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,22:52:45.033,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,22:52:45.558,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,22:52:46.283,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,22:52:46.814,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,22:52:48.408,Pigeon,pistol,0.849s,2,1,0.5,50,250,0.2,false
36,22:52:49.102,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,22:52:49.515,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,22:52:50.102,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,22:52:51.014,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,22:52:51.715,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,22:52:52.315,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
42,22:52:53.215,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,22:52:54.940,Pigeon,pistol,1.2s,3,1,0.333,50,375,0.133,false
44,22:52:55.521,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,22:52:57.521,Pigeon,pistol,1.431s,4,1,0.25,50,500,0.1,false
46,22:52:58.615,Pigeon,pistol,0.525s,2,1,0.5,50,250,0.2,false
