Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:56:29.235,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
2,07:56:30.154,Pigeon,LG,0.375s,8,5,0.625,30,48,0.625,false
3,07:56:31.229,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
4,07:56:32.061,Pigeon,LG,0.54s,11,5,0.455,30,66,0.455,false
5,07:56:32.867,Pigeon,LG,0.487s,10,5,0.5,30,60,0.5,false
6,07:56:33.863,Pigeon,LG,0.428s,9,5,0.556,30,54,0.556,false
7,07:56:35.379,Pigeon,LG,0.924s,17,5,0.294,30,102,0.294,false
8,07:56:36.392,Pigeon,LG,0.7s,14,5,0.357,30,84,0.357,false
9,07:56:37.681,Pigeon,LG,0.433s,9,5,0.556,30,54,0.556,false
10,07:56:39.484,Pigeon,LG,0.702s,14,5,0.357,30,84,0.357,false
11,07:56:40.665,Pigeon,LG,0.539s,11,5,0.455,30,66,0.455,false
12,07:56:41.599,Pigeon,LG,0.539s,11,5,0.455,30,66,0.455,false
13,07:56:42.639,Pigeon,LG,0.701s,14,5,0.357,30,84,0.357,false
14,07:56:43.610,Pigeon,LG,0.268s,6,5,0.833,30,36,0.833,false
15,07:56:44.525,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
16,07:56:46.145,Pigeon,LG,0.539s,11,5,0.455,30,66,0.455,false
17,07:56:47.018,Pigeon,LG,0.214s,5,5,1,30,30,1,false
18,07:56:49.069,Pigeon,LG,1.406s,27,5,0.185,30,162,0.185,false
19,07:56:50.328,Pigeon,LG,0.754s,15,5,0.333,30,90,0.333,false
20,07:56:51.594,Pigeon,LG,0.701s,14,5,0.357,30,84,0.357,false
21,07:56:53.108,Pigeon,LG,0.809s,16,5,0.312,30,96,0.312,false
22,07:56:54.420,Pigeon,LG,0.594s,12,5,0.417,30,72,0.417,false
23,07:56:55.424,Pigeon,LG,0.428s,9,5,0.556,30,54,0.556,false
24,07:56:56.862,Pigeon,LG,1.081s,21,5,0.238,30,126,0.238,false
25,07:56:57.344,Pigeon,LG,0.214s,5,5,1,30,30,1,false
26,07:56:58.900,Pigeon,LG,0.973s,19,5,0.263,30,114,0.263,false
27,07:57:00.118,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
28,07:57:01.411,Pigeon,LG,0.648s,13,5,0.385,30,78,0.385,false
29,07:57:02.730,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
30,07:57:03.852,Pigeon,LG,0.321s,7,5,0.714,30,42,0.714,false
31,07:57:04.718,Pigeon,LG,0.321s,7,5,0.714,30,42,0.714,false
32,07:57:06.010,Pigeon,LG,0.539s,11,5,0.455,30,66,0.455,false
33,07:57:07.304,Pigeon,LG,0.541s,11,5,0.455,30,66,0.455,false
34,07:57:08.838,Pigeon,LG,1.242s,23,9,0.391,54,138,0.391,false
35,07:57:09.163,Pigeon,LG,0s,1,1,1,6,6,1,false
36,07:57:10.127,Pigeon,LG,0.813s,14,8,0.571,48,84,0.571,false
37,07:57:10.831,Pigeon,LG,0.487s,10,2,0.2,12,60,0.2,false
