Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:25:33.487,Quaker Bot Fast Strafes Thin,shotgun,7.169s,80,30,0.375,300,1600,0.188,false
2,03:25:42.231,Quaker Bot Fast Strafes Thin,shotgun,7.584s,70,30,0.429,300,1400,0.214,false
3,03:25:54.520,Quaker Bot Fast Strafes Thin,shotgun,10.728s,80,39,0.488,390,1600,0.244,false
4,03:26:01.020,Quaker Bot Fast Strafes Thin,shotgun,5.428s,50,33,0.66,330,1000,0.33,false
5,03:26:12.111,Quaker Bot Fast Strafes Thin,shotgun,9.881s,90,30,0.333,300,1800,0.167,false
6,03:26:23.098,Quaker Bot Fast Strafes Thin,shotgun,9.804s,80,27,0.338,360,1600,0.225,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
shotgun,460,190,2000.0,9200.0,

Kills:,6
Deaths:,0
Fight Time:,50.594002
Avg TTK:,9.983
Damage Done:,2000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6000.0
Scenario:,CFSE Thin Shotgun HS
Hash:,e4fef8eafe7ea7f776b8dd8b0ebfc6e9
Game Version:,v2.8.5
Challenge Start:,03:25:25.896
Pause Count:,33
Pause Duration:,189

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.217224
Resolution Scale,100.0
