Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:33:10.022,Quaker Bot Fast Strafes,Manwing,2.775s,6,4,0.667,400,600,0.667,false
2,04:33:16.881,Quaker Bot Fast Strafes,Manwing,4.47s,8,4,0.5,400,800,0.5,false
3,04:33:21.966,Quaker Bot Fast Strafes,Manwing,2.709s,5,4,0.8,400,500,0.8,false
4,04:33:30.265,Quaker Bot Fast Strafes,Manwing,6.262s,9,4,0.444,400,900,0.444,false
5,04:33:36.349,Quaker Bot Fast Strafes,Manwing,3.665s,6,4,0.667,400,600,0.667,false
6,04:33:45.634,Quaker Bot Fast Strafes,Manwing,6.987s,9,5,0.556,450,900,0.5,false
7,04:33:57.484,Quaker Bot Fast Strafes,Manwing,9.44s,13,4,0.308,400,1300,0.308,false
8,04:34:03.857,Quaker Bot Fast Strafes,Manwing,4.467s,9,5,0.556,450,900,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,66,35,3400.0,6600.0,

Kills:,8
Deaths:,0
Fight Time:,40.775002
Avg TTK:,0
Damage Done:,3400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,10200.0
Scenario:,CLS Click Robots
Hash:,dd83c382bbd2666be67d2bc8dc65405f
Game Version:,2.0.5.3
Challenge Start:,04:33:06.491
Pause Count:,62
Pause Duration:,391

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.880035
Resolution Scale,100.0
