Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:07:00.114,Quaker Bot Fast Strafes,LG,4.965s,109,50,0.459,300,654,0.459,false
2,19:07:09.288,Quaker Bot Fast Strafes,LG,8.895s,157,50,0.318,300,942,0.318,false
3,19:07:18.170,Quaker Bot Fast Strafes,LG,8.604s,156,50,0.321,300,936,0.321,false
4,19:07:26.793,Quaker Bot Fast Strafes,LG,8.348s,152,50,0.329,300,912,0.329,false
5,19:07:35.787,Quaker Bot Fast Strafes,LG,8.719s,159,50,0.314,300,954,0.314,false
6,19:07:45.713,Quaker Bot Fast Strafes,LG,9.651s,179,50,0.279,300,1074,0.279,false
7,19:07:53.818,Quaker Bot Fast Strafes,LG,7.827s,140,50,0.357,300,840,0.357,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1054,350,2100.0,6324.0,

Kills:,7
Deaths:,0
Fight Time:,57.008999
Avg TTK:,0
Damage Done:,2100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,2092.030518
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.5.3
Challenge Start:,19:06:54.391
Pause Count:,23
Pause Duration:,95

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.793488
Resolution Scale,100.0
