Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:13:46.323,ABSD Target T 01,LG v5,9.649s,194,100,0.515,100,194,0.515,false
2,03:13:56.669,ABSD Target T 02,LG v5,10.047s,185,100,0.541,100,185,0.541,false
3,03:14:07.452,ABSD Target T 03,LG v5,10.532s,194,100,0.515,100,194,0.515,false
4,03:14:19.845,ABSD Target T 04,LG v5,12.14s,226,100,0.442,100,226,0.442,false
5,03:14:32.754,ABSD Target T 05,LG v5,12.657s,237,100,0.422,100,237,0.422,false
6,03:14:50.696,ABSD Target T 06,LG v5,17.69s,338,100,0.296,100,338,0.296,false
7,03:15:09.491,ABSD Target T 07,LG v5,18.543s,355,100,0.282,100,355,0.282,false
8,03:15:24.614,ABSD Target T 08,LG v5,14.824s,281,100,0.356,100,281,0.356,false
9,03:15:42.282,ABSD Target T 09,LG v5,17.371s,331,100,0.302,100,331,0.302,false
10,03:16:02.754,ABSD Target T 10,LG v5,20.411s,388,100,0.258,100,388,0.258,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG v5,2729,1000,1000.0,2729.0,

Kills:,10
Deaths:,0
Fight Time:,143.863998
Avg TTK:,14.68
Damage Done:,1000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,33.225037
Scenario:,Close Tappy Strafes
Hash:,7520e90334ffdc64b27c04b0f530c499
Game Version:,v2.8.5
Challenge Start:,03:13:35.944
Pause Count:,26
Pause Duration:,182

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.289917
Resolution Scale,100.0
