Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:45:54.411,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
2,12:45:54.862,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
3,12:45:55.197,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
4,12:45:55.624,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
5,12:45:55.920,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
6,12:45:56.298,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
7,12:45:56.923,fireworks_target,pistol,0.318s,2,1,0.5,25,100,0.25,false
8,12:45:57.904,fireworks_target,pistol,0.621s,3,1,0.333,25,150,0.167,false
9,12:45:58.190,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
10,12:45:59.048,fireworks_target,pistol,0.378s,2,1,0.5,25,100,0.25,false
11,12:46:00.201,fireworks_target,pistol,0.417s,2,1,0.5,25,100,0.25,false
12,12:46:00.703,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
13,12:46:01.214,fireworks_target,pistol,0.175s,2,1,0.5,25,100,0.25,false
14,12:46:01.540,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
15,12:46:50.704,fireworks_target,pistol,48.768s,4,1,0.25,25,200,0.125,false
16,12:46:51.118,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
17,12:46:51.799,fireworks_target,pistol,0.235s,2,1,0.5,25,100,0.25,false
18,12:46:52.166,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
19,12:46:52.472,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
20,12:46:52.818,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
21,12:46:53.621,fireworks_target,pistol,0.399s,2,1,0.5,25,100,0.25,false
22,12:46:54.543,fireworks_target,pistol,0.659s,3,1,0.333,25,150,0.167,false
23,12:46:54.956,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
24,12:46:55.309,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
25,12:46:55.661,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
26,12:46:56.363,fireworks_target,pistol,0.353s,2,1,0.5,25,100,0.25,false
27,12:46:56.686,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
28,12:46:57.086,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
29,12:46:57.497,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
30,12:46:57.856,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
31,12:46:58.250,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
32,12:46:58.656,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
33,12:46:59.012,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
34,12:46:59.412,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
35,12:46:59.735,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
36,12:47:00.429,fireworks_target,pistol,0.34s,2,1,0.5,25,100,0.25,false
37,12:47:00.684,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
38,12:47:01.091,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
39,12:47:01.413,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
40,12:47:01.803,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
41,12:47:02.142,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
42,12:47:02.468,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
43,12:47:02.860,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
44,12:47:03.182,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
45,12:47:03.550,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
46,12:47:03.802,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
47,12:47:04.325,fireworks_target,pistol,0.216s,2,1,0.5,25,100,0.25,false
48,12:47:04.637,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
49,12:47:05.018,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
50,12:47:05.553,fireworks_target,pistol,0.195s,2,1,0.5,25,100,0.25,false
51,12:47:06.413,fireworks_target,pistol,0.453s,2,1,0.5,25,100,0.25,false
52,12:47:06.715,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
53,12:47:07.473,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
54,12:47:07.772,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
55,12:47:08.213,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
56,12:47:08.840,fireworks_target,pistol,0.213s,2,1,0.5,25,100,0.25,false
57,12:47:09.226,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
58,12:47:09.495,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
59,12:47:10.015,fireworks_target,pistol,0.225s,2,1,0.5,25,100,0.25,false
60,12:47:10.775,fireworks_target,pistol,0.431s,2,1,0.5,25,100,0.25,false
61,12:47:11.044,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
62,12:47:11.494,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
63,12:47:12.213,fireworks_target,pistol,0.336s,2,1,0.5,25,100,0.25,false
64,12:47:12.542,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
65,12:47:12.838,fireworks_target,pistol,0s,1,1,1,25,50,0.5,false
66,12:47:13.924,fireworks_target,pistol,0.626s,3,1,0.333,25,150,0.167,false
67,12:47:15.153,fireworks_target,pistol,0.938s,3,1,0.333,25,150,0.167,false
68,12:47:15.469,fireworks_target,pistol,0.001s,1,1,1,25,50,0.5,false
