Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:10:39.947,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
2,21:10:40.829,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
3,21:10:41.559,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
4,21:10:42.212,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
5,21:10:42.821,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
6,21:10:43.457,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
7,21:10:44.027,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
8,21:10:44.790,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
9,21:10:46.179,TileFrenzyStrafing Cube,pistol,0.527s,2,1,0.5,36,144,0.25,false
10,21:10:46.731,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
11,21:10:47.892,TileFrenzyStrafing Cube,pistol,0.627s,2,1,0.5,36,144,0.25,false
12,21:10:48.691,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
13,21:10:49.335,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
14,21:10:50.076,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
15,21:10:50.771,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
16,21:10:52.070,TileFrenzyStrafing Cube,pistol,0.839s,2,1,0.5,36,144,0.25,false
17,21:10:52.849,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
18,21:10:54.090,TileFrenzyStrafing Cube,pistol,0.714s,2,1,0.5,36,144,0.25,false
19,21:10:55.041,TileFrenzyStrafing Cube,pistol,0.251s,2,1,0.5,36,144,0.25,false
20,21:10:55.644,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
21,21:10:56.920,TileFrenzyStrafing Cube,pistol,0.308s,2,1,0.5,36,144,0.25,false
22,21:10:57.654,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
23,21:10:59.687,TileFrenzyStrafing Cube,pistol,1.272s,3,1,0.333,36,216,0.167,false
24,21:11:01.880,TileFrenzyStrafing Cube,pistol,1.204s,3,1,0.333,36,216,0.167,false
25,21:11:03.004,TileFrenzyStrafing Cube,pistol,0.594s,2,1,0.5,36,144,0.25,false
26,21:11:04.507,TileFrenzyStrafing Cube,pistol,0.931s,2,1,0.5,36,144,0.25,false
27,21:11:06.961,TileFrenzyStrafing Cube,pistol,1.698s,3,1,0.333,36,216,0.167,false
28,21:11:07.689,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
29,21:11:08.565,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
30,21:11:09.361,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
31,21:11:09.928,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
32,21:11:10.534,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
33,21:11:11.157,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
34,21:11:11.985,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
35,21:11:13.405,TileFrenzyStrafing Cube,pistol,0.9s,2,1,0.5,36,144,0.25,false
36,21:11:14.151,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
37,21:11:15.202,TileFrenzyStrafing Cube,pistol,0.349s,2,1,0.5,36,144,0.25,false
38,21:11:16.631,TileFrenzyStrafing Cube,pistol,0.507s,2,1,0.5,36,144,0.25,false
39,21:11:17.189,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
40,21:11:17.947,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
41,21:11:18.703,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
42,21:11:20.763,TileFrenzyStrafing Cube,pistol,1.353s,3,1,0.333,36,216,0.167,false
43,21:11:21.906,TileFrenzyStrafing Cube,pistol,0.405s,2,1,0.5,36,144,0.25,false
44,21:11:22.948,TileFrenzyStrafing Cube,pistol,0.274s,2,1,0.5,36,144,0.25,false
45,21:11:23.613,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
46,21:11:24.649,TileFrenzyStrafing Cube,pistol,0.372s,2,1,0.5,36,144,0.25,false
47,21:11:26.983,TileFrenzyStrafing Cube,pistol,0.94s,3,1,0.333,36,216,0.167,false
48,21:11:28.317,TileFrenzyStrafing Cube,pistol,0.29s,2,1,0.5,36,144,0.25,false
49,21:11:28.896,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
50,21:11:29.753,TileFrenzyStrafing Cube,pistol,0.536s,2,1,0.5,36,144,0.25,false
51,21:11:30.413,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
52,21:11:30.989,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
53,21:11:32.812,TileFrenzyStrafing Cube,pistol,0.794s,3,1,0.333,36,216,0.167,false
54,21:11:33.806,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
55,21:11:35.412,TileFrenzyStrafing Cube,pistol,0.745s,2,1,0.5,36,144,0.25,false
56,21:11:36.056,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
57,21:11:36.684,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
58,21:11:37.912,TileFrenzyStrafing Cube,pistol,0.387s,2,1,0.5,36,144,0.25,false
59,21:11:38.378,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,89,59,2124.0,6408.0,

Kills:,59
Deaths:,0
Fight Time:,16.820999
Avg TTK:,0
Damage Done:,2124.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2124.0
Scenario:,Floating Heads Timing 400%
Hash:,3767577a85c0f31057b70ebb1dee8ab6
Game Version:,2.0.4.0
Challenge Start:,21:10:38.829

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
