Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:15:10.189,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
2,15:15:10.828,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
3,15:15:11.432,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
4,15:15:12.165,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
5,15:15:13.368,TileFrenzyStrafing Cube,pistol,0.651s,2,1,0.5,36,144,0.25,false
6,15:15:13.945,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
7,15:15:15.211,TileFrenzyStrafing Cube,pistol,0.597s,2,1,0.5,36,144,0.25,false
8,15:15:16.033,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
9,15:15:18.227,TileFrenzyStrafing Cube,pistol,1.53s,3,1,0.333,36,216,0.167,false
10,15:15:18.843,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
11,15:15:20.091,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
12,15:15:20.847,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
13,15:15:21.489,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
14,15:15:22.599,TileFrenzyStrafing Cube,pistol,0.575s,2,1,0.5,36,144,0.25,false
15,15:15:23.175,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
16,15:15:23.884,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
17,15:15:25.212,TileFrenzyStrafing Cube,pistol,0.799s,2,1,0.5,36,144,0.25,false
18,15:15:26.067,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
19,15:15:26.632,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
20,15:15:27.298,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
21,15:15:27.849,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
22,15:15:28.523,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
23,15:15:29.103,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
24,15:15:29.683,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
25,15:15:31.037,TileFrenzyStrafing Cube,pistol,0.636s,2,1,0.5,36,144,0.25,false
26,15:15:32.364,TileFrenzyStrafing Cube,pistol,0.827s,2,1,0.5,36,144,0.25,false
27,15:15:33.755,TileFrenzyStrafing Cube,pistol,0.739s,2,1,0.5,36,144,0.25,false
28,15:15:34.298,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
29,15:15:35.968,TileFrenzyStrafing Cube,pistol,0.933s,2,1,0.5,36,144,0.25,false
30,15:15:36.648,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
31,15:15:37.375,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
32,15:15:38.127,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
33,15:15:39.382,TileFrenzyStrafing Cube,pistol,0.71s,2,1,0.5,36,144,0.25,false
34,15:15:40.031,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
35,15:15:40.751,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
36,15:15:42.068,TileFrenzyStrafing Cube,pistol,0.43s,2,1,0.5,36,144,0.25,false
37,15:15:43.292,TileFrenzyStrafing Cube,pistol,0.627s,2,1,0.5,36,144,0.25,false
38,15:15:44.020,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
39,15:15:44.614,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
40,15:15:45.250,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
