Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:23:03.848,air1_mixed_short_dash,LG,38.717s,3873,1200,0.31,1200,3873,0.31,false
2,19:23:33.187,air_close_short,LG,29.088s,2780,1200,0.432,1200,2780,0.432,false
3,19:24:02.092,air1_far_short,LG,28.654s,2761,1200,0.435,1200,2761,0.435,false
4,19:24:43.492,air1F_close_short,LG,41.148s,4015,1200,0.299,1200,4015,0.299,false
5,19:25:19.408,air1F_far_short,LG,35.896s,3480,1200,0.345,1200,3480,0.345,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,16909,6000,6000.0,16909.0,

Kills:,5
Deaths:,0
Fight Time:,173.503006
Avg TTK:,0
Damage Done:,6000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,825.104797
Scenario:,Ground Plaza Voltaic
Hash:,0bb021f1164477dabde879d9cf2cc3b3
Game Version:,v2.6.1
Challenge Start:,19:22:24.506
Pause Count:,41
Pause Duration:,200

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.351562
Resolution Scale,100.0
