Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:23:06.558,Quaker Bot Fast Strafes,Manwing,5.142s,10,4,0.4,400,1000,0.4,false
2,19:23:14.375,Quaker Bot Fast Strafes,Manwing,5.89s,11,4,0.364,400,1100,0.364,false
3,19:23:22.758,Quaker Bot Fast Strafes,Manwing,6.45s,13,4,0.308,400,1300,0.308,false
4,19:23:28.516,Quaker Bot Fast Strafes,Manwing,3.983s,8,4,0.5,400,800,0.5,false
5,19:23:39.417,Quaker Bot Fast Strafes,Manwing,8.609s,16,4,0.25,400,1600,0.25,false
6,19:23:43.676,Quaker Bot Fast Strafes,Manwing,2.476s,5,4,0.8,400,500,0.8,false
7,19:23:50.101,Quaker Bot Fast Strafes,Manwing,4.51s,9,4,0.444,400,900,0.444,false
8,19:23:59.376,Quaker Bot Fast Strafes,Manwing,7.309s,13,4,0.308,400,1300,0.308,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,85,32,3200.0,8500.0,

Kills:,8
Deaths:,0
Fight Time:,44.368999
Avg TTK:,0
Damage Done:,3200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,9600.0
Scenario:,MLS Click Robots
Hash:,648367e92559283eed17904557891cf0
Game Version:,2.0.4.0
Challenge Start:,19:24:02.050

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.953178
Resolution Scale,100.0
