Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:29:57.825,Quaker Bot Fast Strafes,Manwing,4.446s,8,4,0.5,400,800,0.5,false
2,04:30:02.930,Quaker Bot Fast Strafes,Manwing,3.326s,8,5,0.625,450,800,0.562,false
3,04:30:07.758,Quaker Bot Fast Strafes,Manwing,2.865s,7,4,0.571,400,700,0.571,false
4,04:30:13.044,Quaker Bot Fast Strafes,Manwing,3.504s,7,4,0.571,400,700,0.571,false
5,04:30:21.387,Quaker Bot Fast Strafes,Manwing,6.624s,12,4,0.333,400,1200,0.333,false
6,04:30:28.555,Quaker Bot Fast Strafes,Manwing,5.231s,10,4,0.4,400,1000,0.4,false
7,04:30:36.788,Quaker Bot Fast Strafes,Manwing,6.152s,12,4,0.333,400,1200,0.333,false
8,04:30:46.111,Quaker Bot Fast Strafes,Manwing,7.408s,14,5,0.357,450,1400,0.321,false
9,04:30:51.779,Quaker Bot Fast Strafes,Manwing,3.638s,8,4,0.5,400,800,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,86,38,3700.0,8600.0,

Kills:,9
Deaths:,0
Fight Time:,43.194
Avg TTK:,0
Damage Done:,3700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,11100.0
Scenario:,MLS Click Robots
Hash:,648367e92559283eed17904557891cf0
Game Version:,2.0.5.3
Challenge Start:,04:29:52.496
Pause Count:,59
Pause Duration:,389

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.866272
Resolution Scale,100.0
