Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:30:03.771,Quaker Bot Fast Strafes,LG,5.516s,121,50,0.413,300,726,0.413,false
2,21:30:10.103,Quaker Bot Fast Strafes,LG,6.054s,112,50,0.446,300,672,0.446,false
3,21:30:18.095,Quaker Bot Fast Strafes,LG,7.715s,148,50,0.338,300,888,0.338,false
4,21:30:25.551,Quaker Bot Fast Strafes,LG,7.178s,137,50,0.365,300,822,0.365,false
5,21:30:32.790,Quaker Bot Fast Strafes,LG,6.964s,124,50,0.403,300,744,0.403,false
6,21:30:41.213,Quaker Bot Fast Strafes,LG,8.149s,158,50,0.316,300,948,0.316,false
7,21:30:49.113,Quaker Bot Fast Strafes,LG,7.625s,147,50,0.34,300,882,0.34,false
8,21:30:55.214,Quaker Bot Fast Strafes,LG,5.826s,109,50,0.459,300,654,0.459,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1083,409,2454.0,6498.0,

Kills:,8
Deaths:,0
Fight Time:,55.027
Avg TTK:,0
Damage Done:,2454.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,7362.0
Scenario:,Midrange Fast Strafes V2
Hash:,f8b3a53c2d64810c6b74f5d69474f711
Game Version:,2.0.5.3
Challenge Start:,21:29:57.412
Pause Count:,11
Pause Duration:,42

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.879852
Resolution Scale,100.0
