Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:26:58.531,test360,pistol,0.448s,2,1,0.5,1000,5000,0.2,false
2,20:26:59.123,test360,pistol,0s,1,1,1,1000,2500,0.4,false
3,20:27:00.221,test360,pistol,0.599s,2,1,0.5,1000,5000,0.2,false
4,20:27:01.610,test360,pistol,0.722s,3,1,0.333,1000,7500,0.133,false
5,20:27:03.835,test360,pistol,1.282s,4,1,0.25,1000,10000,0.1,false
6,20:27:04.297,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,20:27:04.747,test360,pistol,0s,1,1,1,1000,2500,0.4,false
8,20:27:05.219,test360,pistol,0s,1,1,1,1000,2500,0.4,false
9,20:27:05.730,test360,pistol,0s,1,1,1,1000,2500,0.4,false
10,20:27:06.557,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
11,20:27:08.765,test360,pistol,0.798s,3,1,0.333,1000,7500,0.133,false
12,20:27:09.590,test360,pistol,0s,1,1,1,1000,2500,0.4,false
13,20:27:10.319,test360,pistol,0s,1,1,1,1000,2500,0.4,false
14,20:27:10.851,test360,pistol,0s,1,1,1,1000,2500,0.4,false
15,20:27:11.320,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
16,20:27:11.776,test360,pistol,0s,1,1,1,1000,2500,0.4,false
17,20:27:12.253,test360,pistol,0s,1,1,1,1000,2500,0.4,false
18,20:27:13.074,test360,pistol,0.317s,2,1,0.5,1000,5000,0.2,false
19,20:27:13.567,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,20:27:14.841,test360,pistol,0.495s,2,1,0.5,1000,5000,0.2,false
21,20:27:16.158,test360,pistol,0.779s,3,1,0.333,1000,7500,0.133,false
22,20:27:17.186,test360,pistol,0s,1,1,1,1000,2500,0.4,false
23,20:27:19.354,test360,pistol,1.018s,3,1,0.333,1000,7500,0.133,false
24,20:27:20.490,test360,pistol,0.666s,3,1,0.333,1000,7500,0.133,false
25,20:27:21.420,test360,pistol,0.457s,2,1,0.5,1000,5000,0.2,false
26,20:27:21.971,test360,pistol,0s,1,1,1,1000,2500,0.4,false
27,20:27:22.613,test360,pistol,0s,1,1,1,1000,2500,0.4,false
28,20:27:23.916,test360,pistol,0.381s,2,1,0.5,1000,5000,0.2,false
29,20:27:24.458,test360,pistol,0s,1,1,1,1000,2500,0.4,false
30,20:27:24.878,test360,pistol,0s,1,1,1,1000,2500,0.4,false
31,20:27:25.327,test360,pistol,0s,1,1,1,1000,2500,0.4,false
32,20:27:27.273,test360,pistol,1.209s,4,1,0.25,1000,10000,0.1,false
33,20:27:28.547,test360,pistol,0.689s,2,1,0.5,1000,5000,0.2,false
34,20:27:29.600,test360,pistol,0.54s,2,1,0.5,1000,5000,0.2,false
35,20:27:30.486,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,20:27:31.928,test360,pistol,0.447s,2,1,0.5,1000,5000,0.2,false
37,20:27:32.518,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,20:27:34.268,test360,pistol,1.133s,3,1,0.333,1000,7500,0.133,false
39,20:27:35.545,test360,pistol,0.414s,2,1,0.5,1000,5000,0.2,false
40,20:27:36.692,test360,pistol,0.371s,2,1,0.5,1000,5000,0.2,false
41,20:27:37.913,test360,pistol,0s,1,1,1,1000,2500,0.4,false
42,20:27:39.198,test360,pistol,0.552s,3,1,0.333,1000,7500,0.133,false
43,20:27:39.814,test360,pistol,0s,1,1,1,1000,2500,0.4,false
44,20:27:40.367,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
45,20:27:41.255,test360,pistol,0s,1,1,1,1000,2500,0.4,false
46,20:27:41.738,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
47,20:27:42.847,test360,pistol,0.424s,2,1,0.5,1000,5000,0.2,false
48,20:27:43.811,test360,pistol,0s,1,1,1,1000,2500,0.4,false
49,20:27:44.340,test360,pistol,0s,1,1,1,1000,2500,0.4,false
50,20:27:44.857,test360,pistol,0s,1,1,1,1000,2500,0.4,false
51,20:27:45.815,test360,pistol,0.239s,2,1,0.5,1000,5000,0.2,false
52,20:27:46.280,test360,pistol,0s,1,1,1,1000,2500,0.4,false
53,20:27:46.742,test360,pistol,0s,1,1,1,1000,2500,0.4,false
54,20:27:47.284,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
55,20:27:47.861,test360,pistol,0s,1,1,1,1000,2500,0.4,false
56,20:27:48.969,test360,pistol,0.583s,2,1,0.5,1000,5000,0.2,false
57,20:27:49.668,test360,pistol,0s,1,1,1,1000,2500,0.4,false
58,20:27:50.159,test360,pistol,0s,1,1,1,1000,2500,0.4,false
59,20:27:50.722,test360,pistol,0s,1,1,1,1000,2500,0.4,false
60,20:27:52.504,test360,pistol,0.666s,2,1,0.5,1000,5000,0.2,false
61,20:27:54.313,test360,pistol,1.112s,3,1,0.333,1000,7500,0.133,false
62,20:27:54.798,test360,pistol,0s,1,1,1,1000,2500,0.4,false
63,20:27:55.906,test360,pistol,0.5s,2,1,0.5,1000,5000,0.2,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,103,63,63000.0,257500.0,

Kills:,63
Deaths:,0
Fight Time:,16.846001
Avg TTK:,0
Damage Done:,63000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,189000.0
Scenario:,Pasu Dodge
Hash:,c7d02fdfd026c163dfab5484ffbfda9f
Game Version:,2.0.5.3
Challenge Start:,20:26:57.022
Pause Count:,26
Pause Duration:,183

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
