Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:53:30.576,test360,pistol,1.266s,3,1,0.333,1000,7500,0.133,false
2,21:53:32.951,test360,pistol,1.599s,4,1,0.25,1000,10000,0.1,false
3,21:53:34.205,test360,pistol,0.6s,2,1,0.5,1000,5000,0.2,false
4,21:53:34.828,test360,pistol,0s,1,1,1,1000,2500,0.4,false
5,21:53:36.069,test360,pistol,0.602s,2,1,0.5,1000,5000,0.2,false
6,21:53:37.204,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,21:53:38.294,test360,pistol,0.343s,2,1,0.5,1000,5000,0.2,false
8,21:53:39.113,test360,pistol,0s,1,1,1,1000,2500,0.4,false
9,21:53:41.313,test360,pistol,0.889s,3,1,0.333,1000,7500,0.133,false
10,21:53:42.313,test360,pistol,0.344s,2,1,0.5,1000,5000,0.2,false
11,21:53:43.882,test360,pistol,0.581s,2,1,0.5,1000,5000,0.2,false
12,21:53:45.485,test360,pistol,1.095s,4,1,0.25,1000,10000,0.1,false
13,21:53:46.928,test360,pistol,0.791s,3,1,0.333,1000,7500,0.133,false
14,21:53:47.543,test360,pistol,0s,1,1,1,1000,2500,0.4,false
15,21:53:48.115,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
16,21:53:49.837,test360,pistol,1.17s,4,1,0.25,1000,10000,0.1,false
17,21:53:51.029,test360,pistol,0.584s,3,1,0.333,1000,7500,0.133,false
18,21:53:52.610,test360,pistol,0.548s,2,1,0.5,1000,5000,0.2,false
19,21:53:53.168,test360,pistol,0s,1,1,1,1000,2500,0.4,false
20,21:53:54.084,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,21:53:54.610,test360,pistol,0s,1,1,1,1000,2500,0.4,false
22,21:53:55.500,test360,pistol,0.365s,2,1,0.5,1000,5000,0.2,false
23,21:53:56.050,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
24,21:53:56.501,test360,pistol,0s,1,1,1,1000,2500,0.4,false
25,21:53:57.617,test360,pistol,0.508s,2,1,0.5,1000,5000,0.2,false
26,21:53:59.278,test360,pistol,1.109s,4,1,0.25,1000,10000,0.1,false
27,21:54:00.330,test360,pistol,0.428s,2,1,0.5,1000,5000,0.2,false
28,21:54:05.097,test360,pistol,3.996s,6,1,0.167,1000,15000,0.067,false
29,21:54:06.285,test360,pistol,0.596s,2,1,0.5,1000,5000,0.2,false
30,21:54:07.794,test360,pistol,0s,1,1,1,1000,2500,0.4,false
31,21:54:08.583,test360,pistol,0.289s,2,1,0.5,1000,5000,0.2,false
32,21:54:09.550,test360,pistol,0.29s,2,1,0.5,1000,5000,0.2,false
33,21:54:11.932,test360,pistol,1.841s,5,1,0.2,1000,12500,0.08,false
34,21:54:12.723,test360,pistol,0s,1,1,1,1000,2500,0.4,false
35,21:54:13.450,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,21:54:14.068,test360,pistol,0s,1,1,1,1000,2500,0.4,false
37,21:54:14.946,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,21:54:16.215,test360,pistol,0.631s,2,1,0.5,1000,5000,0.2,false
39,21:54:22.717,test360,pistol,5.829s,8,1,0.125,1000,20000,0.05,false
40,21:54:23.286,test360,pistol,0s,1,1,1,1000,2500,0.4,false
41,21:54:25.224,test360,pistol,1.268s,4,1,0.25,1000,10000,0.1,false
42,21:54:30.859,test360,pistol,4.658s,6,1,0.167,1000,15000,0.067,false
43,21:54:31.421,test360,pistol,0s,1,1,1,1000,2500,0.4,false
44,21:54:33.520,test360,pistol,1.045s,4,1,0.25,1000,10000,0.1,false
45,21:54:34.897,test360,pistol,0.703s,3,1,0.333,1000,7500,0.133,false
46,21:54:35.920,test360,pistol,0.292s,2,1,0.5,1000,5000,0.2,false
47,21:54:36.572,test360,pistol,0s,1,1,1,1000,2500,0.4,false
48,21:54:37.886,test360,pistol,0.335s,2,1,0.5,1000,5000,0.2,false
49,21:54:39.319,test360,pistol,0.79s,3,1,0.333,1000,7500,0.133,false
50,21:54:40.100,test360,pistol,0s,1,1,1,1000,2500,0.4,false
51,21:54:41.289,test360,pistol,0.56s,2,1,0.5,1000,5000,0.2,false
52,21:54:41.756,test360,pistol,0s,1,1,1,1000,2500,0.4,false
53,21:54:42.720,test360,pistol,0.282s,2,1,0.5,1000,5000,0.2,false
54,21:54:43.689,test360,pistol,0.484s,2,1,0.5,1000,5000,0.2,false
55,21:54:44.805,test360,pistol,0.664s,2,1,0.5,1000,5000,0.2,false
56,21:54:45.407,test360,pistol,0s,1,1,1,1000,2500,0.4,false
57,21:54:46.124,test360,pistol,0s,1,1,1,1000,2500,0.4,false
58,21:54:46.683,test360,pistol,0s,1,1,1,1000,2500,0.4,false
59,21:54:47.571,test360,pistol,0s,1,1,1,1000,2500,0.4,false
60,21:54:48.006,test360,pistol,0s,1,1,1,1000,2500,0.4,false
61,21:54:48.851,test360,pistol,0s,1,1,1,1000,2500,0.4,false
62,21:54:49.673,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
63,21:54:52.143,test360,pistol,1.516s,4,1,0.25,1000,10000,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,139,63,63000.0,347500.0,

Kills:,63
Deaths:,0
Fight Time:,38.894001
Avg TTK:,0
Damage Done:,63000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,3
Distance Traveled:,0.0
Score:,85661.875
Scenario:,Pasu Dodge ES 180
Hash:,426c9f16d03744c8e7fee095b241a37c
Game Version:,2.0.5.3
Challenge Start:,21:53:28.255
Pause Count:,21
Pause Duration:,67

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,423.136566
Resolution Scale,100.0
