Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:23:12.813,test360,pistol,0s,1,1,1,1000,2500,0.4,false
2,17:23:13.927,test360,pistol,0.431s,2,1,0.5,1000,5000,0.2,false
3,17:23:14.787,test360,pistol,0s,1,1,1,1000,2500,0.4,false
4,17:23:15.454,test360,pistol,0.001s,1,1,1,1000,2500,0.4,false
5,17:23:16.473,test360,pistol,0.561s,2,1,0.5,1000,5000,0.2,false
6,17:23:17.043,test360,pistol,0s,1,1,1,1000,2500,0.4,false
7,17:23:17.862,test360,pistol,0s,1,1,1,1000,2500,0.4,false
8,17:23:18.900,test360,pistol,0.433s,2,1,0.5,1000,5000,0.2,false
9,17:23:19.758,test360,pistol,0s,1,1,1,1000,2500,0.4,false
10,17:23:20.449,test360,pistol,0s,1,1,1,1000,2500,0.4,false
11,17:23:21.057,test360,pistol,0s,1,1,1,1000,2500,0.4,false
12,17:23:22.667,test360,pistol,0.983s,3,1,0.333,1000,7500,0.133,false
13,17:23:23.208,test360,pistol,0s,1,1,1,1000,2500,0.4,false
14,17:23:23.955,test360,pistol,0s,1,1,1,1000,2500,0.4,false
15,17:23:24.609,test360,pistol,0s,1,1,1,1000,2500,0.4,false
16,17:23:25.475,test360,pistol,0s,1,1,1,1000,2500,0.4,false
17,17:23:27.275,test360,pistol,0.886s,3,1,0.333,1000,7500,0.133,false
18,17:23:27.760,test360,pistol,0s,1,1,1,1000,2500,0.4,false
19,17:23:28.772,test360,pistol,0.414s,2,1,0.5,1000,5000,0.2,false
20,17:23:29.300,test360,pistol,0s,1,1,1,1000,2500,0.4,false
21,17:23:31.732,test360,pistol,1.727s,4,1,0.25,1000,10000,0.1,false
22,17:23:33.456,test360,pistol,1.147s,3,1,0.333,1000,7500,0.133,false
23,17:23:34.609,test360,pistol,0.632s,3,1,0.333,1000,7500,0.133,false
24,17:23:36.558,test360,pistol,1.15s,4,1,0.25,1000,10000,0.1,false
25,17:23:37.574,test360,pistol,0.353s,2,1,0.5,1000,5000,0.2,false
26,17:23:38.866,test360,pistol,0s,1,1,1,1000,2500,0.4,false
27,17:23:39.239,test360,pistol,0s,1,1,1,1000,2500,0.4,false
28,17:23:40.503,test360,pistol,0.742s,2,1,0.5,1000,5000,0.2,false
29,17:23:42.215,test360,pistol,0.929s,3,1,0.333,1000,7500,0.133,false
30,17:23:43.050,test360,pistol,0.311s,2,1,0.5,1000,5000,0.2,false
31,17:23:44.642,test360,pistol,0.871s,3,1,0.333,1000,7500,0.133,false
32,17:23:46.777,test360,pistol,1.392s,4,1,0.25,1000,10000,0.1,false
33,17:23:47.313,test360,pistol,0s,1,1,1,1000,2500,0.4,false
34,17:23:48.314,test360,pistol,0.454s,2,1,0.5,1000,5000,0.2,false
35,17:23:49.033,test360,pistol,0s,1,1,1,1000,2500,0.4,false
36,17:23:50.043,test360,pistol,0.412s,2,1,0.5,1000,5000,0.2,false
37,17:23:50.745,test360,pistol,0s,1,1,1,1000,2500,0.4,false
38,17:23:52.268,test360,pistol,0.891s,2,1,0.5,1000,5000,0.2,false
39,17:23:53.698,test360,pistol,0.819s,3,1,0.333,1000,7500,0.133,false
40,17:23:55.077,test360,pistol,0.37s,2,1,0.5,1000,5000,0.2,false
41,17:23:56.506,test360,pistol,0.683s,3,1,0.333,1000,7500,0.133,false
42,17:23:57.943,test360,pistol,0.775s,3,1,0.333,1000,7500,0.133,false
43,17:23:59.022,test360,pistol,0s,1,1,1,1000,2500,0.4,false
