Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:09:00.612,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,17:09:01.409,test,pistol,0.35s,2,1,0.5,1000,4000,0.25,false
3,17:09:03.343,test,pistol,1.329s,3,1,0.333,1000,6000,0.167,false
4,17:09:04.051,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
5,17:09:04.589,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,17:09:05.722,test,pistol,0.626s,2,1,0.5,1000,4000,0.25,false
7,17:09:06.316,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,17:09:06.940,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,17:09:07.974,test,pistol,0.453s,2,1,0.5,1000,4000,0.25,false
10,17:09:08.463,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,17:09:08.893,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,17:09:09.427,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,17:09:10.299,test,pistol,0.325s,2,1,0.5,1000,4000,0.25,false
14,17:09:12.092,test,pistol,0.984s,3,1,0.333,1000,6000,0.167,false
15,17:09:12.569,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,17:09:13.075,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,17:09:14.158,test,pistol,0.396s,2,1,0.5,1000,4000,0.25,false
18,17:09:14.809,test,pistol,0.252s,2,1,0.5,1000,4000,0.25,false
19,17:09:16.107,test,pistol,0.728s,2,1,0.5,1000,4000,0.25,false
20,17:09:17.454,test,pistol,0.803s,3,1,0.333,1000,6000,0.167,false
21,17:09:19.044,test,pistol,1.126s,3,1,0.333,1000,6000,0.167,false
22,17:09:19.635,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,17:09:20.414,test,pistol,0.352s,2,1,0.5,1000,4000,0.25,false
24,17:09:21.113,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,17:09:22.094,test,pistol,0.548s,2,1,0.5,1000,4000,0.25,false
26,17:09:22.548,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,17:09:24.045,test,pistol,0.849s,3,1,0.333,1000,6000,0.167,false
28,17:09:24.717,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,17:09:25.231,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
30,17:09:25.816,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,17:09:27.975,test,pistol,1.618s,4,1,0.25,1000,8000,0.125,false
32,17:09:29.039,test,pistol,0.48s,2,1,0.5,1000,4000,0.25,false
33,17:09:29.980,test,pistol,0.387s,2,1,0.5,1000,4000,0.25,false
34,17:09:30.971,test,pistol,0.52s,2,1,0.5,1000,4000,0.25,false
35,17:09:32.089,test,pistol,0.424s,2,1,0.5,1000,4000,0.25,false
36,17:09:32.761,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
37,17:09:33.910,test,pistol,0.58s,2,1,0.5,1000,4000,0.25,false
38,17:09:34.587,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,17:09:35.045,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,17:09:35.553,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,17:09:36.434,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,17:09:38.031,test,pistol,0.829s,3,1,0.333,1000,6000,0.167,false
43,17:09:39.145,test,pistol,0.423s,2,1,0.5,1000,4000,0.25,false
44,17:09:41.026,test,pistol,1.236s,3,1,0.333,1000,6000,0.167,false
45,17:09:42.338,test,pistol,0.755s,2,1,0.5,1000,4000,0.25,false
46,17:09:43.373,test,pistol,0.557s,2,1,0.5,1000,4000,0.25,false
47,17:09:43.854,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
48,17:09:44.345,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,17:09:45.226,test,pistol,0.387s,2,1,0.5,1000,4000,0.25,false
50,17:09:46.356,test,pistol,0.584s,2,1,0.5,1000,4000,0.25,false
51,17:09:46.867,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
52,17:09:47.448,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,17:09:48.116,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,17:09:49.678,test,pistol,1.083s,3,1,0.333,1000,6000,0.167,false
55,17:09:50.180,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
56,17:09:51.024,test,pistol,0.378s,2,1,0.5,1000,4000,0.25,false
57,17:09:52.040,test,pistol,0.522s,2,1,0.5,1000,4000,0.25,false
58,17:09:52.852,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,17:09:54.657,test,pistol,1.043s,3,1,0.333,1000,6000,0.167,false
60,17:09:55.108,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,17:09:55.717,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
62,17:09:58.268,test,pistol,1.98s,2,1,0.5,1000,4000,0.25,false
63,17:09:59.446,test,pistol,0.628s,2,1,0.5,1000,4000,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,107,63,63000.0,214000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,63
Deaths:,0
Fight Time:,23.542
Avg TTK:,0.952
Damage Done:,63000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,48.34137
Scenario:,Pasu Voltaic
Hash:,4c3291517ee8b88c5d60cde2819b2804
Game Version:,v2.8.5
Challenge Start:,17:08:59.545
Pause Count:,2
Pause Duration:,355

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.920685
Resolution Scale,100.0
