Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:05:47.458,test,pistol,0s,1,1,1,1000,2000,0.5,false
2,00:05:47.874,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
3,00:05:48.473,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,00:05:48.988,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,00:05:49.770,test,pistol,0.271s,2,1,0.5,1000,4000,0.25,false
6,00:05:50.478,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,00:05:51.263,test,pistol,0.322s,2,1,0.5,1000,4000,0.25,false
8,00:05:51.733,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,00:05:52.492,test,pistol,0.281s,2,1,0.5,1000,4000,0.25,false
10,00:05:53.150,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,00:05:53.824,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,00:05:54.369,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,00:05:54.901,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,00:05:55.473,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,00:05:55.907,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,00:05:56.668,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,00:05:57.290,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,00:05:57.826,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,00:05:58.327,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
20,00:05:59.035,test,pistol,0.248s,2,1,0.5,1000,4000,0.25,false
21,00:05:59.644,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,00:06:00.178,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,00:06:00.611,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
24,00:06:01.107,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,00:06:01.501,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,00:06:02.036,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,00:06:02.678,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,00:06:03.256,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,00:06:03.771,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,00:06:05.164,test,pistol,0.842s,3,1,0.333,1000,6000,0.167,false
31,00:06:05.851,test,pistol,0s,1,1,1,1000,2000,0.5,false
32,00:06:06.364,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,00:06:06.965,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,00:06:07.448,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
35,00:06:07.919,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,00:06:08.401,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,00:06:08.797,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,00:06:10.235,test,pistol,0.983s,3,1,0.333,1000,6000,0.167,false
39,00:06:11.023,test,pistol,0.255s,2,1,0.5,1000,4000,0.25,false
40,00:06:11.452,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,00:06:11.906,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,00:06:13.522,test,pistol,0.828s,3,1,0.333,1000,6000,0.167,false
43,00:06:13.985,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,00:06:14.557,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
45,00:06:15.222,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,00:06:16.374,test,pistol,0.631s,2,1,0.5,1000,4000,0.25,false
47,00:06:16.917,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,00:06:17.495,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,00:06:18.714,test,pistol,0.726s,2,1,0.5,1000,4000,0.25,false
50,00:06:19.183,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,00:06:20.088,test,pistol,0.474s,2,1,0.5,1000,4000,0.25,false
52,00:06:20.992,test,pistol,0.405s,2,1,0.5,1000,4000,0.25,false
53,00:06:23.569,test,pistol,2.068s,4,1,0.25,1000,8000,0.125,false
54,00:06:24.884,test,pistol,0.781s,3,1,0.333,1000,6000,0.167,false
55,00:06:27.614,test,pistol,2.118s,3,1,0.333,1000,6000,0.167,false
56,00:06:28.060,test,pistol,0s,1,1,1,1000,2000,0.5,false
57,00:06:29.102,test,pistol,0.406s,2,1,0.5,1000,4000,0.25,false
58,00:06:30.225,test,pistol,0.662s,3,1,0.333,1000,6000,0.167,false
59,00:06:30.777,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,00:06:31.561,test,pistol,0.32s,2,1,0.5,1000,4000,0.25,false
61,00:06:32.152,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,00:06:32.567,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
63,00:06:33.244,test,pistol,0s,1,1,1,1000,2000,0.5,false
64,00:06:33.865,test,pistol,0s,1,1,1,1000,2000,0.5,false
65,00:06:34.422,test,pistol,0s,1,1,1,1000,2000,0.5,false
66,00:06:35.307,test,pistol,0.394s,2,1,0.5,1000,4000,0.25,false
67,00:06:36.286,test,pistol,0.312s,2,1,0.5,1000,4000,0.25,false
68,00:06:36.723,test,pistol,0s,1,1,1,1000,2000,0.5,false
69,00:06:37.154,test,pistol,0s,1,1,1,1000,2000,0.5,false
70,00:06:37.843,test,pistol,0s,1,1,1,1000,2000,0.5,false
71,00:06:38.247,test,pistol,0s,1,1,1,1000,2000,0.5,false
72,00:06:38.692,test,pistol,0s,1,1,1,1000,2000,0.5,false
73,00:06:39.083,test,pistol,0s,1,1,1,1000,2000,0.5,false
74,00:06:39.503,test,pistol,0s,1,1,1,1000,2000,0.5,false
75,00:06:39.908,test,pistol,0s,1,1,1,1000,2000,0.5,false
76,00:06:40.416,test,pistol,0s,1,1,1,1000,2000,0.5,false
77,00:06:40.868,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
78,00:06:42.216,test,pistol,0.921s,3,1,0.333,1000,6000,0.167,false
79,00:06:42.694,test,pistol,0s,1,1,1,1000,2000,0.5,false
80,00:06:43.244,test,pistol,0s,1,1,1,1000,2000,0.5,false
81,00:06:44.243,test,pistol,0.521s,2,1,0.5,1000,4000,0.25,false
82,00:06:44.733,test,pistol,0s,1,1,1,1000,2000,0.5,false
83,00:06:45.213,test,pistol,0s,1,1,1,1000,2000,0.5,false
84,00:06:45.786,test,pistol,0s,1,1,1,1000,2000,0.5,false
85,00:06:46.529,test,pistol,0s,1,1,1,1000,2000,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,116,85,85000.0,232000.0,
Track Master 100,0,0,0.0,0.0,

Kills:,85
Deaths:,0
Fight Time:,14.776
Avg TTK:,0
Damage Done:,85000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,85.0
Scenario:,Pasu Voltaic Easy
Hash:,5a37871c13f7eff0d98736993c7d65a0
Game Version:,2.0.5.0
Challenge Start:,00:05:46.720
Pause Count:,14
Pause Duration:,101

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,392.240234
Resolution Scale,100.0
