Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:45:55.034,TileFrenzy Sphere,Poke-Drill,0.578s,59,11,0.186,2.2,11.8,0.186,false
2,10:45:55.428,TileFrenzy Sphere,Poke-Drill,0.17s,18,6,0.333,1.2,3.6,0.333,false
3,10:45:56.176,TileFrenzy Sphere,Poke-Drill,0.559s,57,20,0.351,4,11.4,0.351,false
4,10:45:56.233,TileFrenzy Sphere,Poke-Drill,0.051s,6,6,1,1.2,1.2,1,false
5,10:45:57.434,TileFrenzy Sphere,Poke-Drill,0.949s,96,25,0.26,5,19.2,0.26,false
6,10:45:57.856,TileFrenzy Sphere,Poke-Drill,0.17s,18,6,0.333,1.2,3.6,0.333,false
7,10:45:58.295,TileFrenzy Sphere,Poke-Drill,0.259s,27,8,0.296,1.6,5.4,0.296,false
8,10:45:59.337,TileFrenzy Sphere,Poke-Drill,0.793s,80,16,0.2,3.2,16,0.2,false
9,10:46:00.216,TileFrenzy Sphere,Poke-Drill,0.639s,65,6,0.092,1.2,13,0.092,false
10,10:46:00.537,TileFrenzy Sphere,Poke-Drill,0.071s,8,8,1,1.6,1.6,1,false
11,10:46:01.106,TileFrenzy Sphere,Poke-Drill,0.439s,45,10,0.222,2,9,0.222,false
12,10:46:01.655,TileFrenzy Sphere,Poke-Drill,0.299s,31,7,0.226,1.4,6.2,0.226,false
13,10:46:02.332,TileFrenzy Sphere,Poke-Drill,0.421s,43,13,0.302,2.6,8.6,0.302,false
14,10:46:02.775,TileFrenzy Sphere,Poke-Drill,0.191s,20,6,0.3,1.2,4,0.3,false
15,10:46:03.255,TileFrenzy Sphere,Poke-Drill,0.22s,23,6,0.261,1.2,4.6,0.261,false
16,10:46:03.842,TileFrenzy Sphere,Poke-Drill,0.337s,35,6,0.171,1.2,7,0.171,false
17,10:46:04.334,TileFrenzy Sphere,Poke-Drill,0.241s,25,11,0.44,2.2,5,0.44,false
18,10:46:04.834,TileFrenzy Sphere,Poke-Drill,0.249s,26,9,0.346,1.8,5.2,0.346,false
19,10:46:05.617,TileFrenzy Sphere,Poke-Drill,0.649s,66,16,0.242,3.2,13.2,0.242,false
20,10:46:06.056,TileFrenzy Sphere,Poke-Drill,0.19s,20,8,0.4,1.6,4,0.4,false
21,10:46:06.617,TileFrenzy Sphere,Poke-Drill,0.321s,33,7,0.212,1.4,6.6,0.212,false
22,10:46:06.885,TileFrenzy Sphere,Poke-Drill,0.069s,8,8,1,1.6,1.6,1,false
23,10:46:07.336,TileFrenzy Sphere,Poke-Drill,0.202s,21,14,0.667,2.8,4.2,0.667,false
24,10:46:07.776,TileFrenzy Sphere,Poke-Drill,0.259s,27,6,0.222,1.2,5.4,0.222,false
25,10:46:08.333,TileFrenzy Sphere,Poke-Drill,0.31s,32,13,0.406,2.6,6.4,0.406,false
26,10:46:08.636,TileFrenzy Sphere,Poke-Drill,0.05s,6,6,1,1.2,1.2,1,false
27,10:46:09.166,TileFrenzy Sphere,Poke-Drill,0.271s,28,6,0.214,1.2,5.6,0.214,false
28,10:46:09.643,TileFrenzy Sphere,Poke-Drill,0.218s,23,6,0.261,1.2,4.6,0.261,false
29,10:46:10.134,TileFrenzy Sphere,Poke-Drill,0.242s,25,8,0.32,1.6,5,0.32,false
30,10:46:10.533,TileFrenzy Sphere,Poke-Drill,0.148s,16,11,0.688,2.2,3.2,0.688,false
31,10:46:11.034,TileFrenzy Sphere,Poke-Drill,0.247s,26,11,0.423,2.2,5.2,0.423,false
32,10:46:11.847,TileFrenzy Sphere,Poke-Drill,0.651s,66,13,0.197,2.6,13.2,0.197,false
33,10:46:11.935,TileFrenzy Sphere,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
34,10:46:12.986,TileFrenzy Sphere,Poke-Drill,0.869s,88,11,0.125,2.2,17.6,0.125,false
35,10:46:13.537,TileFrenzy Sphere,Poke-Drill,0.302s,31,12,0.387,2.4,6.2,0.387,false
36,10:46:14.338,TileFrenzy Sphere,Poke-Drill,0.64s,65,10,0.154,2,13,0.154,false
37,10:46:14.435,TileFrenzy Sphere,Poke-Drill,0.048s,6,6,1,1.2,1.2,1,false
38,10:46:15.995,TileFrenzy Sphere,Poke-Drill,1.339s,101,9,0.089,1.8,20.2,0.089,false
39,10:46:16.451,TileFrenzy Sphere,Poke-Drill,0.209s,22,7,0.318,1.4,4.4,0.318,false
40,10:46:17.134,TileFrenzy Sphere,Poke-Drill,0.43s,44,10,0.227,2,8.8,0.227,false
41,10:46:17.603,TileFrenzy Sphere,Poke-Drill,0.262s,27,6,0.222,1.2,5.4,0.222,false
42,10:46:18.054,TileFrenzy Sphere,Poke-Drill,0.281s,29,11,0.379,2.2,5.8,0.379,false
43,10:46:18.484,TileFrenzy Sphere,Poke-Drill,0.249s,26,7,0.269,1.4,5.2,0.269,false
44,10:46:18.833,TileFrenzy Sphere,Poke-Drill,0.099s,11,11,1,2.2,2.2,1,false
45,10:46:19.333,TileFrenzy Sphere,Poke-Drill,0.241s,25,9,0.36,1.8,5,0.36,false
46,10:46:19.836,TileFrenzy Sphere,Poke-Drill,0.243s,25,6,0.24,1.2,5,0.24,false
47,10:46:20.351,TileFrenzy Sphere,Poke-Drill,0.26s,27,6,0.222,1.2,5.4,0.222,false
48,10:46:20.831,TileFrenzy Sphere,Poke-Drill,0.231s,24,8,0.333,1.6,4.8,0.333,false
49,10:46:21.204,TileFrenzy Sphere,Poke-Drill,0.249s,26,9,0.346,1.8,5.2,0.346,false
50,10:46:21.565,TileFrenzy Sphere,Poke-Drill,0.181s,19,8,0.421,1.6,3.8,0.421,false
51,10:46:22.274,TileFrenzy Sphere,Poke-Drill,0.46s,47,11,0.234,2.2,9.4,0.234,false
52,10:46:22.832,TileFrenzy Sphere,Poke-Drill,0.299s,31,9,0.29,1.8,6.2,0.29,false
53,10:46:23.632,TileFrenzy Sphere,Poke-Drill,0.547s,56,12,0.214,2.4,11.2,0.214,false
54,10:46:24.033,TileFrenzy Sphere,Poke-Drill,0.149s,16,6,0.375,1.2,3.2,0.375,false
55,10:46:24.663,TileFrenzy Sphere,Poke-Drill,0.37s,38,6,0.158,1.2,7.6,0.158,false
56,10:46:25.014,TileFrenzy Sphere,Poke-Drill,0.108s,12,8,0.667,1.6,2.4,0.667,false
57,10:46:25.443,TileFrenzy Sphere,Poke-Drill,0.27s,28,12,0.429,2.4,5.6,0.429,false
58,10:46:25.844,TileFrenzy Sphere,Poke-Drill,0.152s,16,7,0.438,1.4,3.2,0.437,false
59,10:46:26.354,TileFrenzy Sphere,Poke-Drill,0.251s,26,6,0.231,1.2,5.2,0.231,false
60,10:46:26.943,TileFrenzy Sphere,Poke-Drill,0.331s,34,14,0.412,2.8,6.8,0.412,false
61,10:46:27.433,TileFrenzy Sphere,Poke-Drill,0.229s,24,10,0.417,2,4.8,0.417,false
62,10:46:27.872,TileFrenzy Sphere,Poke-Drill,0.18s,19,6,0.316,1.2,3.8,0.316,false
63,10:46:28.262,TileFrenzy Sphere,Poke-Drill,0.138s,15,6,0.4,1.2,3,0.4,false
64,10:46:28.944,TileFrenzy Sphere,Poke-Drill,0.531s,54,6,0.111,1.2,10.8,0.111,false
65,10:46:29.433,TileFrenzy Sphere,Poke-Drill,0.241s,25,8,0.32,1.6,5,0.32,false
66,10:46:29.735,TileFrenzy Sphere,Poke-Drill,0.052s,6,6,1,1.2,1.2,1,false
67,10:46:30.416,TileFrenzy Sphere,Poke-Drill,0.537s,55,11,0.2,2.2,11,0.2,false
68,10:46:30.533,TileFrenzy Sphere,Poke-Drill,0.099s,11,7,0.636,1.4,2.2,0.636,false
69,10:46:31.355,TileFrenzy Sphere,Poke-Drill,0.562s,57,6,0.105,1.2,11.4,0.105,false
70,10:46:31.833,TileFrenzy Sphere,Poke-Drill,0.218s,23,10,0.435,2,4.6,0.435,false
71,10:46:32.834,TileFrenzy Sphere,Poke-Drill,0.74s,75,14,0.187,2.8,15,0.187,false
72,10:46:33.231,TileFrenzy Sphere,Poke-Drill,0.14s,15,6,0.4,1.2,3,0.4,false
73,10:46:33.731,TileFrenzy Sphere,Poke-Drill,0.249s,26,11,0.423,2.2,5.2,0.423,false
74,10:46:34.055,TileFrenzy Sphere,Poke-Drill,0.16s,17,6,0.353,1.2,3.4,0.353,false
75,10:46:34.145,TileFrenzy Sphere,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
76,10:46:34.862,TileFrenzy Sphere,Poke-Drill,0.46s,47,6,0.128,1.2,9.4,0.128,false
77,10:46:35.432,TileFrenzy Sphere,Poke-Drill,0.32s,33,7,0.212,1.4,6.6,0.212,false
78,10:46:36.274,TileFrenzy Sphere,Poke-Drill,0.647s,66,13,0.197,2.6,13.2,0.197,false
79,10:46:36.861,TileFrenzy Sphere,Poke-Drill,0.341s,35,7,0.2,1.4,7,0.2,false
80,10:46:37.233,TileFrenzy Sphere,Poke-Drill,0.119s,13,7,0.538,1.4,2.6,0.538,false
81,10:46:37.584,TileFrenzy Sphere,Poke-Drill,0.16s,17,6,0.353,1.2,3.4,0.353,false
82,10:46:38.435,TileFrenzy Sphere,Poke-Drill,0.699s,71,11,0.155,2.2,14.2,0.155,false
83,10:46:38.532,TileFrenzy Sphere,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
84,10:46:39.285,TileFrenzy Sphere,Poke-Drill,0.579s,59,7,0.119,1.4,11.8,0.119,false
85,10:46:39.631,TileFrenzy Sphere,Poke-Drill,0.099s,11,11,1,2.2,2.2,1,false
86,10:46:40.033,TileFrenzy Sphere,Poke-Drill,0.191s,20,6,0.3,1.2,4,0.3,false
87,10:46:40.462,TileFrenzy Sphere,Poke-Drill,0.181s,19,7,0.368,1.4,3.8,0.368,false
88,10:46:41.152,TileFrenzy Sphere,Poke-Drill,0.437s,45,6,0.133,1.2,9,0.133,false
89,10:46:41.554,TileFrenzy Sphere,Poke-Drill,0.229s,24,6,0.25,1.2,4.8,0.25,false
90,10:46:41.633,TileFrenzy Sphere,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
91,10:46:42.433,TileFrenzy Sphere,Poke-Drill,0.64s,65,12,0.185,2.4,13,0.185,false
92,10:46:42.833,TileFrenzy Sphere,Poke-Drill,0.152s,16,8,0.5,1.6,3.2,0.5,false
93,10:46:43.429,TileFrenzy Sphere,Poke-Drill,0.338s,35,17,0.486,3.4,7,0.486,false
94,10:46:43.871,TileFrenzy Sphere,Poke-Drill,0.19s,20,6,0.3,1.2,4,0.3,false
95,10:46:44.614,TileFrenzy Sphere,Poke-Drill,0.609s,62,11,0.177,2.2,12.4,0.177,false
96,10:46:45.234,TileFrenzy Sphere,Poke-Drill,0.372s,38,11,0.289,2.2,7.6,0.289,false
97,10:46:45.671,TileFrenzy Sphere,Poke-Drill,0.18s,19,6,0.316,1.2,3.8,0.316,false
98,10:46:46.135,TileFrenzy Sphere,Poke-Drill,0.209s,22,6,0.273,1.2,4.4,0.273,false
99,10:46:46.494,TileFrenzy Sphere,Poke-Drill,0.171s,18,6,0.333,1.2,3.6,0.333,false
100,10:46:46.965,TileFrenzy Sphere,Poke-Drill,0.22s,23,7,0.304,1.4,4.6,0.304,false
101,10:46:48.354,TileFrenzy Sphere,Poke-Drill,1.131s,114,21,0.184,4.2,22.8,0.184,false
