Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:08:44.922,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
2,22:08:45.466,Regenerating Pokeball,Poke-Drill,0.308s,32,10,0.312,2,6.4,0.313,false
3,22:08:46.084,Regenerating Pokeball,Poke-Drill,0.368s,38,10,0.263,2,7.6,0.263,false
4,22:08:46.674,Regenerating Pokeball,Poke-Drill,0.34s,35,9,0.257,1.8,7,0.257,false
5,22:08:47.191,Regenerating Pokeball,Poke-Drill,0.373s,38,6,0.158,1.2,7.6,0.158,false
6,22:08:47.879,Regenerating Pokeball,Poke-Drill,0.389s,40,8,0.2,1.6,8,0.2,false
7,22:08:48.379,Regenerating Pokeball,Poke-Drill,0.242s,25,6,0.24,1.2,5,0.24,false
8,22:08:49.521,Regenerating Pokeball,Poke-Drill,0.94s,95,7,0.074,1.4,19,0.074,false
9,22:08:50.077,Regenerating Pokeball,Poke-Drill,0.308s,32,12,0.375,2.4,6.4,0.375,false
10,22:08:50.497,Regenerating Pokeball,Poke-Drill,0.167s,18,6,0.333,1.2,3.6,0.333,false
11,22:08:51.208,Regenerating Pokeball,Poke-Drill,0.46s,47,6,0.128,1.2,9.4,0.128,false
12,22:08:51.916,Regenerating Pokeball,Poke-Drill,0.449s,46,6,0.13,1.2,9.2,0.13,false
13,22:08:52.779,Regenerating Pokeball,Poke-Drill,0.611s,62,6,0.097,1.2,12.4,0.097,false
14,22:08:53.508,Regenerating Pokeball,Poke-Drill,0.47s,48,8,0.167,1.6,9.6,0.167,false
15,22:08:54.018,Regenerating Pokeball,Poke-Drill,0.259s,27,6,0.222,1.2,5.4,0.222,false
16,22:08:54.877,Regenerating Pokeball,Poke-Drill,0.608s,62,11,0.177,2.2,12.4,0.177,false
17,22:08:55.377,Regenerating Pokeball,Poke-Drill,0.248s,26,8,0.308,1.6,5.2,0.308,false
18,22:08:55.877,Regenerating Pokeball,Poke-Drill,0.249s,26,11,0.423,2.2,5.2,0.423,false
19,22:08:56.488,Regenerating Pokeball,Poke-Drill,0.36s,37,6,0.162,1.2,7.4,0.162,false
20,22:08:57.180,Regenerating Pokeball,Poke-Drill,0.439s,45,10,0.222,2,9,0.222,false
21,22:08:57.690,Regenerating Pokeball,Poke-Drill,0.251s,26,6,0.231,1.2,5.2,0.231,false
22,22:08:58.378,Regenerating Pokeball,Poke-Drill,0.429s,44,8,0.182,1.6,8.8,0.182,false
23,22:08:59.079,Regenerating Pokeball,Poke-Drill,0.449s,46,10,0.217,2,9.2,0.217,false
24,22:09:00.576,Regenerating Pokeball,Poke-Drill,1.238s,125,16,0.128,3.2,25,0.128,false
25,22:09:01.117,Regenerating Pokeball,Poke-Drill,0.288s,30,6,0.2,1.2,6,0.2,false
26,22:09:01.490,Regenerating Pokeball,Poke-Drill,0.12s,13,6,0.462,1.2,2.6,0.462,false
27,22:09:02.577,Regenerating Pokeball,Poke-Drill,0.829s,84,12,0.143,2.4,16.8,0.143,false
28,22:09:03.279,Regenerating Pokeball,Poke-Drill,0.449s,46,10,0.217,2,9.2,0.217,false
29,22:09:03.869,Regenerating Pokeball,Poke-Drill,0.342s,35,6,0.171,1.2,7,0.171,false
30,22:09:04.390,Regenerating Pokeball,Poke-Drill,0.272s,28,7,0.25,1.4,5.6,0.25,false
31,22:09:04.891,Regenerating Pokeball,Poke-Drill,0.241s,25,6,0.24,1.2,5,0.24,false
32,22:09:05.319,Regenerating Pokeball,Poke-Drill,0.171s,18,6,0.333,1.2,3.6,0.333,false
33,22:09:06.018,Regenerating Pokeball,Poke-Drill,0.439s,45,6,0.133,1.2,9,0.133,false
34,22:09:06.578,Regenerating Pokeball,Poke-Drill,0.309s,32,8,0.25,1.6,6.4,0.25,false
35,22:09:07.078,Regenerating Pokeball,Poke-Drill,0.248s,26,8,0.308,1.6,5.2,0.308,false
36,22:09:07.790,Regenerating Pokeball,Poke-Drill,0.454s,46,8,0.174,1.6,9.2,0.174,false
