Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:36:05.146,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
2,01:36:05.917,Regenerating Pokeball,Poke-Drill,0.518s,53,8,0.151,1.6,10.6,0.151,false
3,01:36:06.324,Regenerating Pokeball,Poke-Drill,0.149s,16,6,0.375,1.2,3.2,0.375,false
4,01:36:06.835,Regenerating Pokeball,Poke-Drill,0.258s,27,6,0.222,1.2,5.4,0.222,false
5,01:36:07.349,Regenerating Pokeball,Poke-Drill,0.269s,28,6,0.214,1.2,5.6,0.214,false
6,01:36:07.645,Regenerating Pokeball,Poke-Drill,0.049s,6,6,1,1.2,1.2,1,false
7,01:36:08.255,Regenerating Pokeball,Poke-Drill,0.358s,37,6,0.162,1.2,7.4,0.162,false
8,01:36:08.815,Regenerating Pokeball,Poke-Drill,0.31s,32,8,0.25,1.6,6.4,0.25,false
9,01:36:09.213,Regenerating Pokeball,Poke-Drill,0.148s,16,11,0.688,2.2,3.2,0.688,false
10,01:36:09.628,Regenerating Pokeball,Poke-Drill,0.163s,17,6,0.353,1.2,3.4,0.353,false
11,01:36:10.115,Regenerating Pokeball,Poke-Drill,0.228s,24,8,0.333,1.6,4.8,0.333,false
12,01:36:10.917,Regenerating Pokeball,Poke-Drill,0.549s,56,12,0.214,2.4,11.2,0.214,false
13,01:36:11.427,Regenerating Pokeball,Poke-Drill,0.25s,26,7,0.269,1.4,5.2,0.269,false
14,01:36:11.817,Regenerating Pokeball,Poke-Drill,0.131s,14,7,0.5,1.4,2.8,0.5,false
15,01:36:12.345,Regenerating Pokeball,Poke-Drill,0.27s,28,7,0.25,1.4,5.6,0.25,false
16,01:36:12.814,Regenerating Pokeball,Poke-Drill,0.219s,23,10,0.435,2,4.6,0.435,false
17,01:36:13.757,Regenerating Pokeball,Poke-Drill,0.692s,70,10,0.143,2,14,0.143,false
18,01:36:14.729,Regenerating Pokeball,Poke-Drill,0.73s,74,9,0.122,1.8,14.8,0.122,false
19,01:36:15.224,Regenerating Pokeball,Poke-Drill,0.248s,26,7,0.269,1.4,5.2,0.269,false
20,01:36:16.156,Regenerating Pokeball,Poke-Drill,0.679s,69,10,0.145,2,13.8,0.145,false
21,01:36:16.456,Regenerating Pokeball,Poke-Drill,0.047s,6,6,1,1.2,1.2,1,false
22,01:36:17.314,Regenerating Pokeball,Poke-Drill,0.601s,61,11,0.18,2.2,12.2,0.18,false
23,01:36:18.155,Regenerating Pokeball,Poke-Drill,0.589s,60,6,0.1,1.2,12,0.1,false
24,01:36:18.614,Regenerating Pokeball,Poke-Drill,0.209s,22,9,0.409,1.8,4.4,0.409,false
25,01:36:19.048,Regenerating Pokeball,Poke-Drill,0.181s,19,6,0.316,1.2,3.8,0.316,false
26,01:36:19.557,Regenerating Pokeball,Poke-Drill,0.251s,26,6,0.231,1.2,5.2,0.231,false
27,01:36:20.018,Regenerating Pokeball,Poke-Drill,0.201s,21,8,0.381,1.6,4.2,0.381,false
