Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:47:13.504,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
2,18:47:22.753,Pigeon5,pistol,8.118s,7,1,0.143,100,1400,0.071,false
3,18:47:29.351,Pigeon5,pistol,5.457s,4,1,0.25,100,800,0.125,false
4,18:47:32.144,Pigeon,pistol,1.31s,2,1,0.5,100,400,0.25,false
5,18:47:34.385,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
6,18:47:37.271,Pigeon2,pistol,1.773s,2,1,0.5,100,400,0.25,false
7,18:47:41.631,Pigeon2,pistol,2.814s,3,1,0.333,100,600,0.167,false
8,18:47:49.705,Pigeon,pistol,6.675s,6,1,0.167,100,1200,0.083,false
9,18:47:53.319,Pigeon5,pistol,2.429s,3,1,0.333,100,600,0.167,false
10,18:47:54.455,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
11,18:47:55.655,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
12,18:47:58.800,Pigeon,pistol,1.895s,2,1,0.5,100,400,0.25,false
13,18:48:03.693,Pigeon,pistol,3.644s,4,1,0.25,100,800,0.125,false
14,18:48:05.452,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
15,18:48:11.081,Pigeon4,pistol,4.312s,4,1,0.25,100,800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,42,15,1500.0,8400.0,

Kills:,15
Deaths:,0
Fight Time:,38.426998
Avg TTK:,0
Damage Done:,1500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,27
Distance Traveled:,0.0
Score:,150.0
Scenario:,Popcorn Sparky
Hash:,59515d3a0a5808045985f4e8ef3ffb5e
Game Version:,2.0.5.3
Challenge Start:,18:47:12.129
Pause Count:,46
Pause Duration:,602

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.818634
Resolution Scale,100.0
