Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:02:53.411,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
2,02:02:57.204,Pigeon2,pistol,2.601s,3,1,0.333,100,600,0.167,false
3,02:02:59.824,Pigeon4,pistol,1.246s,2,1,0.5,100,400,0.25,false
4,02:03:01.533,Pigeon3,pistol,0.001s,1,1,1,100,200,0.5,false
5,02:03:02.655,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
6,02:03:12.788,Pigeon5,pistol,8.596s,5,1,0.2,100,1000,0.1,false
7,02:03:27.295,Pigeon,pistol,13.411s,9,1,0.111,100,1800,0.056,false
8,02:03:28.517,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
9,02:03:30.003,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
10,02:03:34.036,Pigeon2,pistol,2.991s,3,1,0.333,100,600,0.167,false
11,02:03:50.265,Pigeon4,pistol,14.997s,9,1,0.111,100,1800,0.056,false
12,02:03:51.564,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,37,12,1200.0,7400.0,

Kills:,12
Deaths:,0
Fight Time:,43.842999
Avg TTK:,0
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,25
Distance Traveled:,0.0
Score:,120.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.3
Challenge Start:,02:02:52.355
Pause Count:,10
Pause Duration:,155

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.407318
Resolution Scale,100.0
