Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:33:37.400,Pigeon2,pistol,1.253s,2,1,0.5,100,400,0.25,false
2,12:33:47.022,Pigeon5,pistol,7.969s,5,1,0.2,100,1000,0.1,false
3,12:33:48.289,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
4,12:33:49.802,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
5,12:33:52.543,Pigeon3,pistol,1.274s,2,1,0.5,100,400,0.25,false
6,12:33:55.230,Pigeon3,pistol,1.598s,2,1,0.5,100,400,0.25,false
7,12:33:59.394,Pigeon,pistol,2.43s,3,1,0.333,100,600,0.167,false
8,12:34:01.678,Pigeon2,pistol,1.215s,2,1,0.5,100,400,0.25,false
9,12:34:03.172,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
10,12:34:06.169,Pigeon4,pistol,1.654s,2,1,0.5,100,400,0.25,false
11,12:34:07.208,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
12,12:34:12.378,Pigeon3,pistol,3.338s,3,1,0.333,100,600,0.167,false
13,12:34:14.983,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
14,12:34:22.979,Pigeon4,pistol,6.373s,5,1,0.2,100,1000,0.1,false
15,12:34:29.211,Pigeon3,pistol,4.935s,4,1,0.25,100,800,0.125,false
16,12:34:34.550,Pigeon5,pistol,3.12s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,38,16,1600.0,7600.0,

Kills:,16
Deaths:,0
Fight Time:,35.159
Avg TTK:,3.75
Damage Done:,1600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,22
Distance Traveled:,0.0
Score:,160.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.2
Challenge Start:,12:33:34.918
Pause Count:,11
Pause Duration:,124

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.02066
Resolution Scale,100.0
