Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:15:02.732,Pigeon4,pistol,11.411s,6,1,0.167,100,1200,0.083,false
2,15:15:04.633,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
3,15:15:21.466,Pigeon2,pistol,14.571s,8,1,0.125,100,1600,0.062,false
4,15:15:22.850,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
5,15:16:06.199,Pigeon3,pistol,40.686s,16,1,0.062,100,3200,0.031,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,32,5,500.0,6400.0,

Kills:,5
Deaths:,0
Fight Time:,66.667999
Avg TTK:,11.98
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,27
Distance Traveled:,0.0
Score:,50.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.5
Challenge Start:,15:15:58.576
Pause Count:,18
Pause Duration:,414

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,290.585266
Resolution Scale,100.0
