Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:53:22.163,Pigeon3,pistol,4.023s,4,1,0.25,100,800,0.125,false
2,18:53:28.823,Pigeon4,pistol,5.134s,4,1,0.25,100,800,0.125,false
3,18:53:31.007,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
4,18:53:35.293,Pigeon2,pistol,1.602s,2,1,0.5,100,400,0.25,false
5,18:53:36.412,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
6,18:53:49.882,Pigeon2,pistol,1.216s,2,1,0.5,100,400,0.25,false
7,18:54:07.657,Pigeon5,pistol,16.572s,9,1,0.111,100,1800,0.056,false
8,18:54:09.515,Pigeon5,pistol,0.001s,1,1,1,100,200,0.5,false
9,18:54:11.884,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
10,18:54:14.360,Pigeon,pistol,1.261s,2,1,0.5,100,400,0.25,false
11,18:54:21.208,Pigeon2,pistol,5.518s,5,1,0.2,100,1000,0.1,false
12,18:54:24.367,Pigeon4,pistol,1.825s,2,1,0.5,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,34,12,1200.0,6800.0,

Kills:,12
Deaths:,0
Fight Time:,37.152
Avg TTK:,5
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,22
Distance Traveled:,0.0
Score:,120.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.5
Challenge Start:,18:53:46.658
Pause Count:,13
Pause Duration:,222

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,282.805511
Resolution Scale,100.0
