Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:40:09.751,Pigeon5,pistol,2.754s,2,1,0.5,100,400,0.25,false
2,13:40:13.209,Pigeon3,pistol,1.372s,2,1,0.5,100,400,0.25,false
3,13:40:15.125,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
4,13:40:20.804,Pigeon2,pistol,4.124s,4,1,0.25,100,800,0.125,false
5,13:40:22.339,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
6,13:40:23.262,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
7,13:40:25.781,Pigeon4,pistol,1.342s,2,1,0.5,100,400,0.25,false
8,13:40:27.755,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
9,13:40:29.740,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
10,13:40:33.724,Pigeon2,pistol,2.683s,3,1,0.333,100,600,0.167,false
11,13:40:38.224,Pigeon5,pistol,1.643s,2,1,0.5,100,400,0.25,false
12,13:40:39.635,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
13,13:40:42.292,Pigeon2,pistol,1.338s,2,1,0.5,100,400,0.25,false
14,13:40:45.891,Pigeon,pistol,2.233s,2,1,0.5,100,400,0.25,false
15,13:41:03.845,Pigeon3,pistol,16.347s,10,1,0.1,100,2000,0.05,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,35,15,1500.0,7000.0,

Kills:,15
Deaths:,0
Fight Time:,33.835999
Avg TTK:,4
Damage Done:,1500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,20
Distance Traveled:,0.0
Score:,150.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.5
Challenge Start:,13:40:05.769
Pause Count:,8
Pause Duration:,101

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.22522
Resolution Scale,100.0
