Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:05:53.884,Pigeon4,pistol,13.28s,8,1,0.125,100,1600,0.062,false
2,02:06:04.869,Pigeon,pistol,9.127s,5,1,0.2,100,1000,0.1,false
3,02:06:17.150,Pigeon2,pistol,10.419s,7,1,0.143,100,1400,0.071,false
4,02:06:28.063,Pigeon5,pistol,6.958s,4,1,0.25,100,800,0.125,false
5,02:06:30.009,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
6,02:06:31.836,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,31,6,600.0,6200.0,

Kills:,6
Deaths:,0
Fight Time:,39.784
Avg TTK:,10
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,25
Distance Traveled:,0.0
Score:,60.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.5
Challenge Start:,02:05:39.144
Pause Count:,9
Pause Duration:,60

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.700745
Resolution Scale,100.0
