Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:39:42.078,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,17:39:43.079,Balloon,Pressure BB Gun,0.552s,2,1,0.5,2,4,0.5,false
3,17:39:43.739,Balloon,Pressure BB Gun,0.341s,2,1,0.5,2,4,0.5,false
4,17:39:44.583,Balloon,Pressure BB Gun,0.563s,3,1,0.333,2,6,0.333,false
5,17:39:44.905,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
6,17:39:45.727,Balloon,Pressure BB Gun,0.653s,3,1,0.333,2,6,0.333,false
7,17:39:46.303,Balloon,Pressure BB Gun,0.189s,2,1,0.5,2,4,0.5,false
8,17:39:46.686,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
9,17:39:47.609,Balloon,Pressure BB Gun,0.383s,2,1,0.5,2,4,0.5,false
10,17:39:48.163,Balloon,Pressure BB Gun,0.293s,2,1,0.5,2,4,0.5,false
11,17:39:48.806,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
12,17:39:49.047,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,17:39:49.495,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,17:39:50.025,Balloon,Pressure BB Gun,0.131s,2,1,0.5,2,4,0.5,false
15,17:39:50.436,Balloon,Pressure BB Gun,0.281s,2,1,0.5,2,4,0.5,false
16,17:39:51.291,Balloon,Pressure BB Gun,0.329s,2,1,0.5,2,4,0.5,false
17,17:39:51.764,Balloon,Pressure BB Gun,0.14s,2,1,0.5,2,4,0.5,false
18,17:39:52.259,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,17:39:52.429,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,17:39:52.946,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
21,17:39:53.338,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
22,17:39:54.301,Balloon,Pressure BB Gun,0.592s,3,1,0.333,2,6,0.333,false
23,17:39:54.738,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
24,17:39:55.152,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,17:39:55.497,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
26,17:39:55.877,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
27,17:39:56.203,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
28,17:39:56.554,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
29,17:39:57.554,Balloon,Pressure BB Gun,0.424s,2,1,0.5,2,4,0.5,false
30,17:39:57.895,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
31,17:39:58.741,Balloon,Pressure BB Gun,0.381s,2,1,0.5,2,4,0.5,false
32,17:39:59.196,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
33,17:39:59.687,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
34,17:40:00.139,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
35,17:40:00.568,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
36,17:40:01.004,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
37,17:40:01.397,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
38,17:40:01.806,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
39,17:40:02.221,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
40,17:40:02.655,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
41,17:40:03.088,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
42,17:40:03.636,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
43,17:40:03.964,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
44,17:40:04.428,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
45,17:40:05.598,Balloon,Pressure BB Gun,0.688s,3,1,0.333,2,6,0.333,false
46,17:40:05.746,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
47,17:40:06.320,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
48,17:40:06.440,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
49,17:40:06.939,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
50,17:40:07.243,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
51,17:40:07.689,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
52,17:40:08.673,Balloon,Pressure BB Gun,0.493s,3,1,0.333,2,6,0.333,false
53,17:40:09.295,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
54,17:40:09.788,Balloon,Pressure BB Gun,0.318s,2,1,0.5,2,4,0.5,false
55,17:40:10.724,Balloon,Pressure BB Gun,0.546s,3,1,0.333,2,6,0.333,false
56,17:40:11.057,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
57,17:40:11.344,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
58,17:40:11.615,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
59,17:40:12.043,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
60,17:40:12.481,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
61,17:40:12.799,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
62,17:40:13.439,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
63,17:40:14.197,Balloon,Pressure BB Gun,0.314s,2,1,0.5,2,4,0.5,false
64,17:40:14.528,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
65,17:40:15.090,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
66,17:40:15.528,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
67,17:40:15.817,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
68,17:40:16.228,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
69,17:40:16.490,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
70,17:40:16.826,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
71,17:40:17.183,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
72,17:40:17.548,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
73,17:40:17.970,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
74,17:40:18.369,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
75,17:40:18.977,Balloon,Pressure BB Gun,0.259s,2,1,0.5,2,4,0.5,false
76,17:40:19.163,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
77,17:40:19.627,Balloon,Pressure BB Gun,0.203s,2,1,0.5,2,4,0.5,false
78,17:40:20.153,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
79,17:40:20.614,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
80,17:40:21.460,Balloon,Pressure BB Gun,0.461s,2,1,0.5,2,4,0.5,false
81,17:40:22.021,Balloon,Pressure BB Gun,0.399s,2,1,0.5,2,4,0.5,false
82,17:40:22.472,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
83,17:40:23.396,Balloon,Pressure BB Gun,0.156s,2,1,0.5,2,4,0.5,false
84,17:40:23.867,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
85,17:40:25.223,Balloon,Pressure BB Gun,0.873s,3,1,0.333,2,6,0.333,false
86,17:40:25.548,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
87,17:40:25.970,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
88,17:40:26.321,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
89,17:40:27.004,Balloon,Pressure BB Gun,0.508s,2,1,0.5,2,4,0.5,false
90,17:40:27.850,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
91,17:40:28.765,Balloon,Pressure BB Gun,0.465s,2,1,0.5,2,4,0.5,false
92,17:40:29.175,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
93,17:40:29.974,Balloon,Pressure BB Gun,0.514s,2,1,0.5,2,4,0.5,false
