Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:58:48.206,QFsub,AR,0.248s,2,1,0.5,1,4,0.25,false
2,17:58:48.770,QFsub,AR,0s,1,1,1,1,2,0.5,false
3,17:58:49.352,QFsub,AR,0s,1,1,1,1,2,0.5,false
4,17:58:49.911,QFsub,AR,0s,1,1,1,1,2,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
AR,5,4,4.0,10.0,

Kills:,4
Deaths:,0
Fight Time:,0.248
Avg TTK:,0
Damage Done:,4.0
Damage Taken:,100.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,163.199997
Scenario:,Quick Flick
Hash:,71cfc19a718ce7f337ed238da904bbad
Game Version:,2.0.4.0
Challenge Start:,17:58:47.069

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,290.901123
Resolution Scale,100.0
