Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:31:13.898,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
2,22:31:14.574,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
3,22:31:15.308,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
4,22:31:16.024,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
5,22:31:16.421,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
6,22:31:17.070,target_decay,pistolz,0.261s,2,1,0.5,25,100,0.25,false
7,22:31:17.698,target_decay,pistolz,0.266s,2,1,0.5,25,100,0.25,false
8,22:31:18.096,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
9,22:31:18.811,target_decay,pistolz,0.262s,2,1,0.5,25,100,0.25,false
10,22:31:20.491,target_decay,pistolz,1.245s,3,1,0.333,25,150,0.167,false
11,22:31:21.474,target_decay,pistolz,0.303s,2,1,0.5,25,100,0.25,false
12,22:31:22.167,target_decay,pistolz,0.263s,2,1,0.5,25,100,0.25,false
13,22:31:22.887,target_decay,pistolz,0.307s,2,1,0.5,25,100,0.25,false
14,22:31:23.341,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
15,22:31:25.098,target_decay,pistolz,1.287s,3,1,0.333,25,150,0.167,false
16,22:31:25.514,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
17,22:31:26.278,target_decay,pistolz,0.337s,2,1,0.5,25,100,0.25,false
18,22:31:27.037,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
19,22:31:27.735,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
20,22:31:28.507,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
21,22:31:29.150,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
22,22:31:29.729,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
23,22:31:30.505,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
24,22:31:31.267,target_decay,pistolz,0.461s,2,1,0.5,25,100,0.25,false
25,22:31:31.846,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
26,22:31:32.504,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
27,22:31:33.137,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
28,22:31:33.651,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
29,22:31:34.340,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
30,22:31:34.901,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
31,22:31:35.498,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
32,22:31:36.176,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
33,22:31:36.788,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
34,22:31:37.336,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
35,22:31:37.900,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
36,22:31:38.577,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
37,22:31:39.274,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
38,22:31:39.874,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
39,22:31:40.527,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
40,22:31:41.156,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
41,22:31:41.656,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
42,22:31:42.248,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
43,22:31:42.837,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
44,22:31:43.511,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
45,22:31:44.133,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
46,22:31:45.018,target_decay,pistolz,0.287s,2,1,0.5,25,100,0.25,false
47,22:31:45.639,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
48,22:31:46.259,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
49,22:31:47.071,target_decay,pistolz,0.206s,2,1,0.5,25,100,0.25,false
50,22:31:47.751,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
51,22:31:48.454,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
52,22:31:49.213,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
53,22:31:50.015,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
54,22:31:50.635,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
55,22:31:51.068,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
56,22:31:51.761,target_decay,pistolz,0.229s,2,1,0.5,25,100,0.25,false
57,22:31:52.525,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
58,22:31:53.246,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
59,22:31:54.003,target_decay,pistolz,0.239s,2,1,0.5,25,100,0.25,false
60,22:31:54.715,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
61,22:31:55.686,target_decay,pistolz,0.284s,2,1,0.5,25,100,0.25,false
62,22:31:56.300,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
63,22:31:56.879,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
64,22:31:57.454,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
65,22:31:58.155,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
66,22:31:58.723,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
67,22:31:59.445,target_decay,pistolz,0.264s,2,1,0.5,25,100,0.25,false
68,22:32:00.113,target_decay,pistolz,0.357s,2,1,0.5,25,100,0.25,false
69,22:32:00.936,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
70,22:32:01.614,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
71,22:32:02.179,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
72,22:32:02.805,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
73,22:32:03.452,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
74,22:32:03.979,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
75,22:32:04.748,target_decay,pistolz,0.337s,2,1,0.5,25,100,0.25,false
76,22:32:05.498,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
77,22:32:06.177,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
78,22:32:06.851,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
79,22:32:07.614,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
80,22:32:08.282,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
81,22:32:08.901,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
82,22:32:09.630,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
83,22:32:10.165,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
84,22:32:11.070,target_decay,pistolz,0.219s,2,1,0.5,25,100,0.25,false
85,22:32:11.764,target_decay,pistolz,0s,1,1,1,25,50,0.5,false
86,22:32:12.395,target_decay,pistolz,0.001s,1,1,1,25,50,0.5,false
87,22:32:13.078,target_decay,pistolz,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistolz,108,87,2175.0,5400.0,

Kills:,87
Deaths:,0
Fight Time:,7.429
Avg TTK:,0.689
Damage Done:,2175.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,87.0
Scenario:,Reflex Micro++ flick reload small
Hash:,22dcc8b5bb7d51eedf2699287fcb909f
Game Version:,v2.8.6
Challenge Start:,22:31:13.135
Pause Count:,41
Pause Duration:,196

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,286.480835
Resolution Scale,100.0
