Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:41:51.451,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
2,05:41:51.850,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
3,05:41:52.297,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
4,05:41:52.770,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
5,05:41:53.160,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
6,05:41:53.586,Pasu Semi Dodge,pistol,0.001s,1,1,1,25,50,0.5,false
7,05:41:54.039,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
8,05:41:54.468,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
9,05:41:54.902,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
10,05:41:55.348,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
11,05:41:55.783,Pasu Semi Dodge,pistol,0.001s,1,1,1,25,50,0.5,false
12,05:41:56.536,Pasu Semi Dodge,pistol,0.316s,2,1,0.5,25,100,0.25,false
13,05:41:57.416,Pasu Semi Dodge,pistol,0.46s,2,1,0.5,25,100,0.25,false
14,05:41:58.104,Pasu Semi Dodge,pistol,0.312s,2,1,0.5,25,100,0.25,false
15,05:41:59.085,Pasu Semi Dodge,pistol,0.46s,2,1,0.5,25,100,0.25,false
16,05:41:59.514,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
17,05:42:00.309,Pasu Semi Dodge,pistol,0.376s,2,1,0.5,25,100,0.25,false
18,05:42:00.755,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
19,05:42:01.232,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
20,05:42:01.641,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
21,05:42:02.454,Pasu Semi Dodge,pistol,0.33s,2,1,0.5,25,100,0.25,false
22,05:42:02.940,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
23,05:42:03.387,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
24,05:42:03.844,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
25,05:42:04.317,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
26,05:42:04.783,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
27,05:42:05.200,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
28,05:42:05.609,Pasu Semi Dodge,pistol,0.001s,1,1,1,25,50,0.5,false
29,05:42:06.448,Pasu Semi Dodge,pistol,0.416s,2,1,0.5,25,100,0.25,false
30,05:42:06.885,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
31,05:42:07.294,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
32,05:42:07.734,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
33,05:42:08.200,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
34,05:42:08.891,Pasu Semi Dodge,pistol,0.302s,2,1,0.5,25,100,0.25,false
35,05:42:10.113,Pasu Semi Dodge,pistol,0.848s,3,1,0.333,25,150,0.167,false
36,05:42:10.768,Pasu Semi Dodge,pistol,0.248s,2,1,0.5,25,100,0.25,false
37,05:42:11.238,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
38,05:42:11.701,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
39,05:42:12.131,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
40,05:42:12.594,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
41,05:42:13.014,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
42,05:42:13.446,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
43,05:42:14.252,Pasu Semi Dodge,pistol,0.296s,2,1,0.5,25,100,0.25,false
44,05:42:17.420,Pasu Semi Dodge,pistol,2.712s,6,1,0.167,25,300,0.083,false
45,05:42:17.906,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
46,05:42:18.985,Pasu Semi Dodge,pistol,0.545s,2,1,0.5,25,100,0.25,false
47,05:42:19.982,Pasu Semi Dodge,pistol,0.472s,2,1,0.5,25,100,0.25,false
48,05:42:20.535,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
49,05:42:20.922,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
50,05:42:21.436,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
51,05:42:21.929,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
52,05:42:22.815,Pasu Semi Dodge,pistol,0.453s,2,1,0.5,25,100,0.25,false
53,05:42:23.571,Pasu Semi Dodge,pistol,0.332s,2,1,0.5,25,100,0.25,false
54,05:42:24.037,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
55,05:42:24.450,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
56,05:42:25.192,Pasu Semi Dodge,pistol,0.291s,2,1,0.5,25,100,0.25,false
57,05:42:25.666,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
58,05:42:26.116,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
59,05:42:26.575,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
60,05:42:27.006,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
61,05:42:27.834,Pasu Semi Dodge,pistol,0.41s,2,1,0.5,25,100,0.25,false
62,05:42:28.267,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
63,05:42:29.200,Pasu Semi Dodge,pistol,0.472s,2,1,0.5,25,100,0.25,false
