Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:36:22.999,target,BB Gun,0s,1,1,1,1,1,1,false
2,20:36:23.143,400ms,BB Gun,0s,1,1,1,1,1,1,false
3,20:36:23.804,target,BB Gun,0s,1,1,1,1,1,1,false
4,20:36:24.751,target,BB Gun,0.715s,2,1,0.5,1,2,0.5,false
5,20:36:24.935,400ms,BB Gun,0s,1,1,1,1,1,1,false
6,20:36:25.603,target,BB Gun,0s,1,1,1,1,1,1,false
7,20:36:26.543,target,BB Gun,0.715s,2,1,0.5,1,2,0.5,false
8,20:36:27.463,target,BB Gun,0.695s,2,1,0.5,1,2,0.5,false
9,20:36:27.807,400ms,BB Gun,0s,1,1,1,1,1,1,false
10,20:36:28.423,target,BB Gun,0s,1,1,1,1,1,1,false
11,20:36:28.608,400ms,BB Gun,0s,1,1,1,1,1,1,false
12,20:36:29.262,target,BB Gun,0s,1,1,1,1,1,1,false
13,20:36:30.195,target,BB Gun,0.704s,2,1,0.5,1,2,0.5,false
14,20:36:31.148,target,BB Gun,0.697s,2,1,0.5,1,2,0.5,false
15,20:36:31.346,400ms,BB Gun,0s,1,1,1,1,1,1,false
16,20:36:32.018,target,BB Gun,0s,1,1,1,1,1,1,false
17,20:36:32.964,target,BB Gun,0.789s,2,1,0.5,1,2,0.5,false
18,20:36:33.174,400ms,BB Gun,0.001s,1,1,1,1,1,1,false
19,20:36:34.916,target,BB Gun,0.947s,2,1,0.5,1,2,0.5,false
20,20:36:35.752,target,BB Gun,0s,1,1,1,1,1,1,false
21,20:36:36.702,target,BB Gun,0.752s,2,1,0.5,1,2,0.5,false
22,20:36:37.824,400ms,BB Gun,0.878s,3,1,0.333,1,3,0.333,false
23,20:36:38.575,target,BB Gun,0s,1,1,1,1,1,1,false
24,20:36:39.495,target,BB Gun,0s,1,1,1,1,1,1,false
25,20:36:39.623,400ms,BB Gun,0s,1,1,1,1,1,1,false
26,20:36:40.442,target,BB Gun,0s,1,1,1,1,1,1,false
27,20:36:41.302,target,BB Gun,0s,1,1,1,1,1,1,false
28,20:36:41.452,400ms,BB Gun,0s,1,1,1,1,1,1,false
29,20:36:42.117,target,BB Gun,0s,1,1,1,1,1,1,false
30,20:36:43.103,target,BB Gun,0s,1,1,1,1,1,1,false
31,20:36:44.090,target,BB Gun,0.741s,2,1,0.5,1,2,0.5,false
32,20:36:44.997,target,BB Gun,0.669s,2,1,0.5,1,2,0.5,false
33,20:36:45.963,target,BB Gun,0.758s,2,1,0.5,1,2,0.5,false
34,20:36:46.122,400ms,BB Gun,0s,1,1,1,1,1,1,false
35,20:36:46.776,target,BB Gun,0s,1,1,1,1,1,1,false
36,20:36:47.719,target,BB Gun,0.69s,2,1,0.5,1,2,0.5,false
37,20:36:47.961,400ms,BB Gun,0s,1,1,1,1,1,1,false
38,20:36:48.780,target,BB Gun,0s,1,1,1,1,1,1,false
39,20:36:50.598,target,BB Gun,0s,1,1,1,1,1,1,false
40,20:36:51.525,target,BB Gun,0.718s,2,1,0.5,1,2,0.5,false
41,20:36:51.730,400ms,BB Gun,0s,1,1,1,1,1,1,false
42,20:36:52.344,target,BB Gun,0s,1,1,1,1,1,1,false
43,20:36:52.576,400ms,BB Gun,0s,1,1,1,1,1,1,false
44,20:36:53.426,target,BB Gun,0s,1,1,1,1,1,1,false
45,20:36:54.235,target,BB Gun,0s,1,1,1,1,1,1,false
46,20:36:54.385,400ms,BB Gun,0s,1,1,1,1,1,1,false
47,20:36:55.080,target,BB Gun,0s,1,1,1,1,1,1,false
48,20:36:55.245,400ms,BB Gun,0s,1,1,1,1,1,1,false
49,20:36:55.933,target,BB Gun,0s,1,1,1,1,1,1,false
50,20:36:56.843,target,BB Gun,0.752s,2,1,0.5,1,2,0.5,false
51,20:36:57.018,400ms,BB Gun,0s,1,1,1,1,1,1,false
52,20:36:57.662,target,BB Gun,0s,1,1,1,1,1,1,false
53,20:36:57.903,400ms,BB Gun,0s,1,1,1,1,1,1,false
54,20:36:58.562,target,BB Gun,0s,1,1,1,1,1,1,false
55,20:36:58.798,400ms,BB Gun,0s,1,1,1,1,1,1,false
56,20:36:59.578,target,BB Gun,0s,1,1,1,1,1,1,false
57,20:37:00.422,target,BB Gun,0.615s,2,1,0.5,1,2,0.5,false
58,20:37:00.604,400ms,BB Gun,0s,1,1,1,1,1,1,false
59,20:37:01.265,target,BB Gun,0s,1,1,1,1,1,1,false
60,20:37:02.185,target,BB Gun,0.671s,2,1,0.5,1,2,0.5,false
61,20:37:03.198,target,BB Gun,0.811s,2,1,0.5,1,2,0.5,false
62,20:37:03.364,400ms,BB Gun,0s,1,1,1,1,1,1,false
63,20:37:04.018,target,BB Gun,0s,1,1,1,1,1,1,false
64,20:37:05.022,target,BB Gun,0s,1,1,1,1,1,1,false
65,20:37:05.958,target,BB Gun,0.695s,2,1,0.5,1,2,0.5,false
66,20:37:07.847,target,BB Gun,1.641s,2,1,0.5,1,2,0.5,false
67,20:37:08.834,target,BB Gun,0.761s,2,1,0.5,1,2,0.5,false
68,20:37:09.098,400ms,BB Gun,0s,1,1,1,1,1,1,false
69,20:37:09.717,target,BB Gun,0s,1,1,1,1,1,1,false
70,20:37:10.707,target,BB Gun,0.812s,2,1,0.5,1,2,0.5,false
71,20:37:10.932,400ms,BB Gun,0s,1,1,1,1,1,1,false
72,20:37:11.674,target,BB Gun,0s,1,1,1,1,1,1,false
73,20:37:12.596,target,BB Gun,0.703s,2,1,0.5,1,2,0.5,false
74,20:37:13.500,target,BB Gun,0.674s,2,1,0.5,1,2,0.5,false
75,20:37:14.476,target,BB Gun,0.771s,2,1,0.5,1,2,0.5,false
76,20:37:14.672,400ms,BB Gun,0s,1,1,1,1,1,1,false
77,20:37:15.338,target,BB Gun,0s,1,1,1,1,1,1,false
78,20:37:16.299,target,BB Gun,0.8s,2,1,0.5,1,2,0.5,false
79,20:37:16.514,400ms,BB Gun,0s,1,1,1,1,1,1,false
