Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:01:33.876,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.544s,263,218,0.829,200,240,0.833,false
2,07:01:34.681,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.4s,230,220,0.957,202,210,0.962,false
3,07:01:35.477,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.377s,219,218,0.995,200,200,1,false
4,07:01:36.595,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.87s,340,227,0.668,207,310,0.668,false
5,07:01:37.441,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.658s,340,217,0.638,200,310,0.645,false
6,07:01:38.670,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.698s,395,217,0.549,200,360,0.556,false
7,07:01:39.429,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.379s,219,218,0.995,200,200,1,false
8,07:01:40.136,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.618s,296,227,0.767,206,270,0.763,false
9,07:01:40.674,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,230,221,0.961,203,210,0.967,false
10,07:01:41.607,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.8s,450,220,0.489,201,410,0.49,false
11,07:01:42.813,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.699s,395,224,0.567,204,360,0.567,false
12,07:01:43.432,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.44s,252,228,0.905,208,230,0.904,false
13,07:01:44.952,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.179s,659,220,0.334,206,600,0.343,false
14,07:01:45.813,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.516s,296,226,0.764,208,270,0.77,false
15,07:01:47.263,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.833s,428,222,0.519,204,390,0.523,false
16,07:01:48.351,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.398s,230,218,0.948,200,210,0.952,false
17,07:01:49.340,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.557s,318,220,0.692,201,290,0.693,false
18,07:01:50.281,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.843s,472,235,0.498,216,430,0.502,false
19,07:01:51.066,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.6s,340,216,0.635,197,310,0.635,false
20,07:01:51.811,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.497s,285,222,0.779,204,260,0.785,false
21,07:01:52.645,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.537s,307,218,0.71,201,280,0.718,false
22,07:01:53.504,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.639s,362,224,0.619,207,330,0.627,false
23,07:01:54.403,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.496s,285,218,0.765,200,260,0.769,false
24,07:01:55.105,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.479s,274,228,0.832,209,250,0.836,false
25,07:01:55.777,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.419s,241,224,0.929,206,220,0.936,false
26,07:01:56.769,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,230,222,0.965,203,210,0.967,false
