Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:03:47.810,smooth_1,Track Master 100,8.117s,813,600,0.738,600,813,0.738,false
2,07:04:03.785,smooth_2,Track Master 100,15.715s,1431,1000,0.699,1000,1431,0.699,false
3,07:04:34.981,smooth_3,Track Master 100,30.938s,2962,900,0.304,900,2962,0.304,false
4,07:04:54.994,smooth_4,Track Master 100,19.763s,1825,1000,0.548,1000,1825,0.548,false
5,07:05:22.545,smooth_5,Track Master 100,27.301s,2587,700,0.271,700,2587,0.271,false
6,07:05:42.244,smooth_6,Track Master 100,19.448s,1774,500,0.282,500,1774,0.282,false
7,07:06:06.480,smooth_7,Track Master 100,23.985s,2211,700,0.317,700,2211,0.317,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,15752,5800,5800.0,15752.0,

Kills:,8
Deaths:,0
Fight Time:,168.154999
Avg TTK:,0
Damage Done:,5800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,829.684509
Scenario:,Thin Gauntlet
Hash:,c9ac12b07df37670e1fe392eafd263d9
Game Version:,2.0.5.3
Challenge Start:,07:03:39.066
Pause Count:,7
Pause Duration:,146

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.611481
Resolution Scale,100.0
