Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:52:49.061,smooth_1,Track Master 100,7.658s,767,600,0.782,600,767,0.782,false
2,04:53:04.592,smooth_2,Track Master 100,15.273s,1376,1000,0.727,1000,1376,0.727,false
3,04:53:27.584,smooth_3,Track Master 100,22.738s,2130,900,0.423,900,2130,0.423,false
4,04:53:44.507,smooth_4,Track Master 100,16.664s,1526,1000,0.655,1000,1526,0.655,false
5,04:54:07.956,smooth_5,Track Master 100,23.193s,2174,700,0.322,700,2174,0.322,false
6,04:54:24.257,smooth_6,Track Master 100,16.053s,1467,500,0.341,500,1467,0.341,false
7,04:54:44.701,smooth_7,Track Master 100,20.19s,1879,700,0.373,700,1879,0.373,false
8,04:55:08.144,smooth_8,Track Master 100,23.423s,2191,400,0.183,400,2191,0.183,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,13511,5801,5801.0,13511.0,

Kills:,8
Deaths:,0
Fight Time:,145.192001
Avg TTK:,0
Damage Done:,5801.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,852.638916
Scenario:,Thin Gauntlet
Hash:,c9ac12b07df37670e1fe392eafd263d9
Game Version:,2.0.5.3
Challenge Start:,04:52:40.782
Pause Count:,41
Pause Duration:,81

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.583008
Resolution Scale,100.0
