Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:55:47.857,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
2,19:55:48.005,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
3,19:55:48.417,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
4,19:55:48.653,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
5,19:55:49.039,TileFrenzy Cube,LG,0.302s,7,7,1,42,42,1,false
6,19:55:49.205,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
7,19:55:49.604,TileFrenzy Cube,LG,0.296s,6,4,0.667,24,36,0.667,false
8,19:55:49.990,TileFrenzy Cube,LG,0.182s,5,4,0.8,24,30,0.8,false
9,19:55:50.256,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
10,19:55:50.690,TileFrenzy Cube,LG,0.181s,5,4,0.8,24,30,0.8,false
11,19:55:50.965,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
12,19:55:51.271,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
13,19:55:51.610,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
14,19:55:51.856,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
15,19:55:52.071,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
16,19:55:52.509,TileFrenzy Cube,LG,0.302s,5,4,0.8,24,30,0.8,false
17,19:55:52.845,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
18,19:55:53.161,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
19,19:55:53.413,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
20,19:55:53.800,TileFrenzy Cube,LG,0.323s,6,5,0.833,30,36,0.833,false
21,19:55:54.080,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
22,19:55:54.380,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
23,19:55:54.758,TileFrenzy Cube,LG,0.09s,3,3,1,18,18,1,false
24,19:55:55.044,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
25,19:55:55.347,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
26,19:55:55.689,TileFrenzy Cube,LG,0.138s,4,4,1,24,24,1,false
27,19:55:55.980,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
28,19:55:56.340,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
29,19:55:56.653,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
30,19:55:56.963,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
31,19:55:57.225,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
32,19:55:57.548,TileFrenzy Cube,LG,0.182s,5,4,0.8,24,30,0.8,false
33,19:55:58.196,TileFrenzy Cube,LG,0.496s,10,4,0.4,24,60,0.4,false
34,19:55:58.734,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
35,19:55:59.001,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
36,19:55:59.332,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
37,19:55:59.582,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
38,19:55:59.925,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
39,19:56:00.190,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
40,19:56:00.545,TileFrenzy Cube,LG,0.181s,5,4,0.8,24,30,0.8,false
41,19:56:00.830,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
42,19:56:01.515,TileFrenzy Cube,LG,0.482s,10,5,0.5,30,60,0.5,false
43,19:56:01.773,TileFrenzy Cube,LG,0.09s,3,3,1,18,18,1,false
44,19:56:02.121,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
45,19:56:02.375,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
46,19:56:02.600,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
47,19:56:02.916,TileFrenzy Cube,LG,0.239s,5,4,0.8,24,30,0.8,false
48,19:56:03.163,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
49,19:56:03.503,TileFrenzy Cube,LG,0.183s,5,4,0.8,24,30,0.8,false
50,19:56:03.762,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
51,19:56:04.096,TileFrenzy Cube,LG,0.18s,5,4,0.8,24,30,0.8,false
52,19:56:04.375,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
53,19:56:04.640,TileFrenzy Cube,LG,0.136s,4,4,1,24,24,1,false
54,19:56:05.231,TileFrenzy Cube,LG,0.423s,9,5,0.556,30,54,0.556,false
55,19:56:05.395,TileFrenzy Cube,LG,0.09s,3,3,1,18,18,1,false
56,19:56:05.773,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
57,19:56:06.367,TileFrenzy Cube,LG,0.454s,9,7,0.778,42,54,0.778,false
58,19:56:06.861,TileFrenzy Cube,LG,0.326s,7,7,1,42,42,1,false
59,19:56:07.049,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
60,19:56:07.486,TileFrenzy Cube,LG,0.37s,7,4,0.571,24,42,0.571,false
61,19:56:07.756,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
62,19:56:08.369,TileFrenzy Cube,LG,0.333s,7,1,0.143,6,42,0.143,false
63,19:56:08.753,TileFrenzy Cube,LG,0.181s,5,4,0.8,24,30,0.8,false
64,19:56:09.018,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
65,19:56:09.365,TileFrenzy Cube,LG,0.306s,6,6,1,36,36,1,false
66,19:56:09.572,TileFrenzy Cube,LG,0.043s,2,2,1,12,12,1,false
67,19:56:10.010,TileFrenzy Cube,LG,0.303s,5,4,0.8,24,30,0.8,false
68,19:56:10.312,TileFrenzy Cube,LG,0.138s,4,4,1,24,24,1,false
69,19:56:10.675,TileFrenzy Cube,LG,0.181s,5,4,0.8,24,30,0.8,false
70,19:56:11.039,TileFrenzy Cube,LG,0.319s,7,7,1,42,42,1,false
71,19:56:11.332,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
72,19:56:11.538,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
73,19:56:11.954,TileFrenzy Cube,LG,0.332s,6,4,0.667,24,36,0.667,false
74,19:56:12.269,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
75,19:56:12.599,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
76,19:56:12.902,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
77,19:56:13.212,TileFrenzy Cube,LG,0.138s,4,4,1,24,24,1,false
78,19:56:13.502,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
79,19:56:13.827,TileFrenzy Cube,LG,0.14s,4,4,1,24,24,1,false
80,19:56:14.066,TileFrenzy Cube,LG,0.182s,5,4,0.8,24,30,0.8,false
81,19:56:14.325,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
82,19:56:14.622,TileFrenzy Cube,LG,0.135s,4,4,1,24,24,1,false
83,19:56:14.948,TileFrenzy Cube,LG,0.181s,5,4,0.8,24,30,0.8,false
84,19:56:15.270,TileFrenzy Cube,LG,0.185s,5,4,0.8,24,30,0.8,false
85,19:56:15.783,TileFrenzy Cube,LG,0.354s,8,4,0.5,24,48,0.5,false
86,19:56:16.074,TileFrenzy Cube,LG,0.137s,4,4,1,24,24,1,false
87,19:56:16.708,TileFrenzy Cube,LG,0.457s,9,7,0.778,42,54,0.778,false
88,19:56:16.884,TileFrenzy Cube,LG,0.043s,2,1,0.5,6,12,0.5,false
89,19:56:17.235,TileFrenzy Cube,LG,0.263s,5,5,1,30,30,1,false

