Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:06:11.539,TileFrenzy Cube,LG,0.943s,10,8,0.8,8,10,0.8,false
2,04:06:11.895,TileFrenzy Cube,LG,0.046s,2,2,1,2,2,1,false
3,04:06:12.318,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
4,04:06:13.049,TileFrenzy Cube,LG,0.463s,10,2,0.2,2,10,0.2,false
5,04:06:13.637,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
6,04:06:13.969,TileFrenzy Cube,LG,0.146s,4,4,1,4,4,1,false
7,04:06:14.261,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
8,04:06:14.815,TileFrenzy Cube,LG,0.248s,6,4,0.667,4,6,0.667,false
9,04:06:16.004,TileFrenzy Cube,LG,0.919s,7,4,0.571,4,7,0.571,false
10,04:06:16.549,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
11,04:06:17.402,TileFrenzy Cube,LG,0.399s,9,4,0.444,4,9,0.444,false
12,04:06:18.032,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
13,04:06:18.946,TileFrenzy Cube,LG,0.714s,11,7,0.636,7,11,0.636,false
14,04:06:19.361,TileFrenzy Cube,LG,0.046s,2,1,0.5,1,2,0.5,false
15,04:06:20.000,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
16,04:06:20.392,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
17,04:06:20.721,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
18,04:06:21.292,TileFrenzy Cube,LG,0.399s,9,4,0.444,4,9,0.444,false
19,04:06:21.792,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
20,04:06:22.168,TileFrenzy Cube,LG,0.198s,5,4,0.8,4,5,0.8,false
21,04:06:22.793,TileFrenzy Cube,LG,0.396s,9,4,0.444,4,9,0.444,false
22,04:06:23.457,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
23,04:06:23.808,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
24,04:06:24.392,TileFrenzy Cube,LG,0.299s,7,4,0.571,4,7,0.571,false
25,04:06:24.985,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
26,04:06:25.638,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
27,04:06:26.071,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
28,04:06:26.590,TileFrenzy Cube,LG,0.248s,6,4,0.667,4,6,0.667,false
29,04:06:27.127,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
30,04:06:28.023,TileFrenzy Cube,LG,0.516s,10,4,0.4,4,10,0.4,false
31,04:06:28.480,TileFrenzy Cube,LG,0.349s,5,5,1,5,5,1,false
32,04:06:28.883,TileFrenzy Cube,LG,0.148s,4,3,0.75,3,4,0.75,false
33,04:06:29.235,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
34,04:06:30.161,TileFrenzy Cube,LG,0.691s,13,6,0.462,6,13,0.462,false
35,04:06:30.756,TileFrenzy Cube,LG,0.349s,8,2,0.25,2,8,0.25,false
36,04:06:31.206,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
37,04:06:31.739,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
38,04:06:32.353,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
39,04:06:32.937,TileFrenzy Cube,LG,0.297s,7,4,0.571,4,7,0.571,false
40,04:06:33.383,TileFrenzy Cube,LG,0.146s,4,4,1,4,4,1,false
41,04:06:33.688,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
42,04:06:34.027,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
43,04:06:34.541,TileFrenzy Cube,LG,0.348s,8,4,0.5,4,8,0.5,false
44,04:06:35.333,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
45,04:06:35.820,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
46,04:06:36.906,TileFrenzy Cube,LG,0.761s,13,7,0.538,7,13,0.538,false
47,04:06:37.507,TileFrenzy Cube,LG,0.097s,3,1,0.333,1,3,0.333,false
48,04:06:37.981,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
49,04:06:38.921,TileFrenzy Cube,LG,0.614s,10,7,0.7,7,10,0.7,false
50,04:06:39.105,TileFrenzy Cube,LG,0s,1,1,1,1,1,1,false
51,04:06:39.683,TileFrenzy Cube,LG,0.479s,9,4,0.444,4,9,0.444,false
52,04:06:40.452,TileFrenzy Cube,LG,0.146s,4,4,1,4,4,1,false
53,04:06:40.958,TileFrenzy Cube,LG,0.247s,6,4,0.667,4,6,0.667,false
54,04:06:41.398,TileFrenzy Cube,LG,0.248s,6,4,0.667,4,6,0.667,false
55,04:06:41.889,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
56,04:06:42.447,TileFrenzy Cube,LG,0.348s,8,4,0.5,4,8,0.5,false
57,04:06:43.247,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
58,04:06:43.946,TileFrenzy Cube,LG,0.349s,8,4,0.5,4,8,0.5,false
59,04:06:44.553,TileFrenzy Cube,LG,0.349s,8,4,0.5,4,8,0.5,false
60,04:06:45.038,TileFrenzy Cube,LG,0.196s,5,4,0.8,4,5,0.8,false
61,04:06:45.528,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
62,04:06:45.960,TileFrenzy Cube,LG,0.198s,5,4,0.8,4,5,0.8,false
63,04:06:46.525,TileFrenzy Cube,LG,0.198s,5,4,0.8,4,5,0.8,false
64,04:06:47.179,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
65,04:06:48.183,TileFrenzy Cube,LG,0.786s,12,7,0.583,7,12,0.583,false
66,04:06:48.593,TileFrenzy Cube,LG,0s,1,1,1,1,1,1,false
67,04:06:49.231,TileFrenzy Cube,LG,0.399s,9,4,0.444,4,9,0.444,false
68,04:06:49.805,TileFrenzy Cube,LG,0.349s,8,4,0.5,4,8,0.5,false
69,04:06:50.194,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
70,04:06:50.812,TileFrenzy Cube,LG,0.247s,6,4,0.667,4,6,0.667,false
71,04:06:51.386,TileFrenzy Cube,LG,0.198s,5,4,0.8,4,5,0.8,false
72,04:06:51.812,TileFrenzy Cube,LG,0.248s,6,4,0.667,4,6,0.667,false
73,04:06:52.329,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
74,04:06:53.135,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
75,04:06:53.621,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
76,04:06:54.296,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
77,04:06:54.725,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
78,04:06:55.282,TileFrenzy Cube,LG,0.314s,7,4,0.571,4,7,0.571,false
79,04:06:56.085,TileFrenzy Cube,LG,0.347s,8,4,0.5,4,8,0.5,false
80,04:06:56.653,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
81,04:06:57.150,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
82,04:06:57.649,TileFrenzy Cube,LG,0.146s,4,4,1,4,4,1,false
83,04:06:58.122,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
84,04:06:59.170,TileFrenzy Cube,LG,0.885s,13,6,0.462,6,13,0.462,false
85,04:06:59.650,TileFrenzy Cube,LG,0.046s,2,2,1,2,2,1,false
86,04:07:00.027,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
87,04:07:00.567,TileFrenzy Cube,LG,0.349s,8,4,0.5,4,8,0.5,false
88,04:07:01.522,TileFrenzy Cube,LG,0.621s,11,5,0.455,5,11,0.455,false
89,04:07:02.005,TileFrenzy Cube,LG,0.096s,3,3,1,3,3,1,false
90,04:07:02.377,TileFrenzy Cube,LG,0.146s,4,4,1,4,4,1,false
91,04:07:02.706,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
92,04:07:03.293,TileFrenzy Cube,LG,0.499s,6,6,1,6,6,1,false
93,04:07:03.823,TileFrenzy Cube,LG,0.298s,7,2,0.286,2,7,0.286,false
94,04:07:04.398,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
95,04:07:04.890,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
96,04:07:05.337,TileFrenzy Cube,LG,0.33s,6,4,0.667,4,6,0.667,false
97,04:07:05.784,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
98,04:07:06.459,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
99,04:07:06.824,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
100,04:07:07.392,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
101,04:07:08.060,TileFrenzy Cube,LG,0.197s,5,4,0.8,4,5,0.8,false
102,04:07:08.802,TileFrenzy Cube,LG,0.147s,4,4,1,4,4,1,false
103,04:07:09.209,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,602,415,415.0,602.0,

Kills:,103
Deaths:,0
Fight Time:,27.416
Avg TTK:,0
Damage Done:,415.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,415.0
Scenario:,Tile Frenzy Flick 180 Small
Hash:,fcaf13cec980e2e7cb9c40755e01793b
Game Version:,v2.6.3
Challenge Start:,04:06:09.695
Pause Count:,27
Pause Duration:,53

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.744354
Resolution Scale,100.0
