Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:46:17.167,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
2,17:46:17.669,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
3,17:46:18.105,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
4,17:46:18.564,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
5,17:46:19.660,valorant_enemy_150,AR VANDAL v2,0.536s,3,1,0.333,156,468,0.333,false
6,17:46:20.290,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
7,17:46:21.377,valorant_enemy_150,AR VANDAL v2,0.771s,3,1,0.333,156,468,0.333,false
8,17:46:21.949,valorant_enemy_150,AR VANDAL v2,0.001s,1,1,1,156,156,1,false
9,17:46:23.264,valorant_enemy_150,AR VANDAL v2,0.709s,2,1,0.5,156,312,0.5,false
10,17:46:24.063,valorant_enemy_150,AR VANDAL v2,0.271s,2,1,0.5,156,312,0.5,false
11,17:46:24.581,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
12,17:46:24.977,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
13,17:46:25.439,valorant_enemy_150,AR VANDAL v2,0.001s,1,1,1,156,156,1,false
14,17:46:25.912,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
15,17:46:26.274,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
16,17:46:26.694,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
17,17:46:27.130,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
18,17:46:27.638,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
19,17:46:28.259,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
20,17:46:28.906,valorant_enemy_150,AR VANDAL v2,0.324s,4,4,1,156,624,0.25,false
21,17:46:30.732,valorant_enemy_150,AR VANDAL v2,1.679s,10,1,0.1,156,1560,0.1,false
22,17:46:32.417,valorant_enemy_150,AR VANDAL v2,1.303s,2,1,0.5,156,312,0.5,false
23,17:46:32.923,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
24,17:46:33.424,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
25,17:46:33.868,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
26,17:46:34.957,valorant_enemy_150,AR VANDAL v2,0.628s,2,1,0.5,156,312,0.5,false
27,17:46:35.503,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
28,17:46:35.907,valorant_enemy_150,AR VANDAL v2,0s,1,1,1,156,156,1,false
