Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:15:44.779,target,BB Gun,0s,1,1,1,1,1,1,false
2,12:15:46.004,target,BB Gun,0.587s,2,1,0.5,1,2,0.5,false
3,12:15:46.579,target,BB Gun,0s,1,1,1,1,1,1,false
4,12:15:47.072,target,BB Gun,0.001s,1,1,1,1,1,1,false
5,12:15:47.606,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,12:15:48.336,target,BB Gun,0.001s,1,1,1,1,1,1,false
7,12:15:48.856,target,BB Gun,0s,1,1,1,1,1,1,false
8,12:15:49.374,target,BB Gun,0.001s,1,1,1,1,1,1,false
9,12:15:49.971,target,BB Gun,0s,1,1,1,1,1,1,false
10,12:15:50.535,target,BB Gun,0.001s,1,1,1,1,1,1,false
11,12:15:51.035,target,BB Gun,0s,1,1,1,1,1,1,false
12,12:15:51.566,target,BB Gun,0s,1,1,1,1,1,1,false
13,12:15:52.765,target,BB Gun,0.612s,2,1,0.5,1,2,0.5,false
14,12:15:53.238,target,BB Gun,0s,1,1,1,1,1,1,false
15,12:15:53.936,target,BB Gun,0s,1,1,1,1,1,1,false
16,12:15:54.482,target,BB Gun,0s,1,1,1,1,1,1,false
17,12:15:55.191,target,BB Gun,0s,1,1,1,1,1,1,false
18,12:15:55.839,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,12:15:56.594,target,BB Gun,0s,1,1,1,1,1,1,false
20,12:15:57.765,target,BB Gun,0.493s,2,1,0.5,1,2,0.5,false
21,12:15:58.561,target,BB Gun,0s,1,1,1,1,1,1,false
22,12:15:59.417,target,BB Gun,0s,1,1,1,1,1,1,false
23,12:16:00.139,target,BB Gun,0s,1,1,1,1,1,1,false
24,12:16:00.827,target,BB Gun,0s,1,1,1,1,1,1,false
25,12:16:01.594,target,BB Gun,0s,1,1,1,1,1,1,false
26,12:16:02.152,target,BB Gun,0s,1,1,1,1,1,1,false
27,12:16:02.847,target,BB Gun,0s,1,1,1,1,1,1,false
28,12:16:04.045,target,BB Gun,0.567s,2,1,0.5,1,2,0.5,false
29,12:16:04.629,target,BB Gun,0s,1,1,1,1,1,1,false
30,12:16:05.381,target,BB Gun,0.208s,2,1,0.5,1,2,0.5,false
31,12:16:05.974,target,BB Gun,0s,1,1,1,1,1,1,false
32,12:16:06.592,target,BB Gun,0s,1,1,1,1,1,1,false
33,12:16:07.267,target,BB Gun,0.164s,2,1,0.5,1,2,0.5,false
34,12:16:07.841,target,BB Gun,0s,1,1,1,1,1,1,false
35,12:16:08.499,target,BB Gun,0s,1,1,1,1,1,1,false
36,12:16:09.110,target,BB Gun,0s,1,1,1,1,1,1,false
37,12:16:09.801,target,BB Gun,0s,1,1,1,1,1,1,false
38,12:16:10.947,target,BB Gun,0.63s,2,1,0.5,1,2,0.5,false
39,12:16:11.557,target,BB Gun,0s,1,1,1,1,1,1,false
40,12:16:12.135,target,BB Gun,0.001s,1,1,1,1,1,1,false
41,12:16:13.898,target,BB Gun,1.179s,3,1,0.333,1,3,0.333,false
42,12:16:14.482,target,BB Gun,0s,1,1,1,1,1,1,false
43,12:16:15.047,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,12:16:15.550,target,BB Gun,0s,1,1,1,1,1,1,false
45,12:16:16.110,target,BB Gun,0s,1,1,1,1,1,1,false
46,12:16:16.658,target,BB Gun,0s,1,1,1,1,1,1,false
47,12:16:17.225,target,BB Gun,0s,1,1,1,1,1,1,false
48,12:16:17.745,target,BB Gun,0s,1,1,1,1,1,1,false
49,12:16:18.343,target,BB Gun,0s,1,1,1,1,1,1,false
50,12:16:18.863,target,BB Gun,0.423s,2,1,0.5,1,2,0.5,false
51,12:16:19.434,target,BB Gun,0s,1,1,1,1,1,1,false
52,12:16:20.021,target,BB Gun,0s,1,1,1,1,1,1,false
53,12:16:20.593,target,BB Gun,0s,1,1,1,1,1,1,false
54,12:16:22.338,target,BB Gun,1.262s,3,1,0.333,1,3,0.333,false
55,12:16:22.879,target,BB Gun,0.001s,1,1,1,1,1,1,false
56,12:16:23.527,target,BB Gun,0s,1,1,1,1,1,1,false
57,12:16:24.218,target,BB Gun,0.001s,1,1,1,1,1,1,false
58,12:16:24.823,target,BB Gun,0s,1,1,1,1,1,1,false
59,12:16:25.515,target,BB Gun,0s,1,1,1,1,1,1,false
60,12:16:26.081,target,BB Gun,0s,1,1,1,1,1,1,false
61,12:16:26.750,target,BB Gun,0s,1,1,1,1,1,1,false
62,12:16:27.304,target,BB Gun,0s,1,1,1,1,1,1,false
63,12:16:27.833,target,BB Gun,0s,1,1,1,1,1,1,false
64,12:16:28.314,target,BB Gun,0s,1,1,1,1,1,1,false
65,12:16:28.850,target,BB Gun,0s,1,1,1,1,1,1,false
66,12:16:29.281,target,BB Gun,0s,1,1,1,1,1,1,false
67,12:16:30.566,target,BB Gun,0.715s,2,1,0.5,1,2,0.5,false
68,12:16:31.202,target,BB Gun,0.001s,1,1,1,1,1,1,false
69,12:16:31.699,target,BB Gun,0.001s,1,1,1,1,1,1,false
70,12:16:32.400,target,BB Gun,0s,1,1,1,1,1,1,false
71,12:16:33.170,target,BB Gun,0s,1,1,1,1,1,1,false
72,12:16:33.717,target,BB Gun,0s,1,1,1,1,1,1,false
73,12:16:34.355,target,BB Gun,0s,1,1,1,1,1,1,false
74,12:16:34.990,target,BB Gun,0s,1,1,1,1,1,1,false
75,12:16:35.553,target,BB Gun,0s,1,1,1,1,1,1,false
76,12:16:36.205,target,BB Gun,0s,1,1,1,1,1,1,false
77,12:16:37.232,target,BB Gun,0s,1,1,1,1,1,1,false
78,12:16:38.373,target,BB Gun,0.648s,2,1,0.5,1,2,0.5,false
79,12:16:39.552,target,BB Gun,0.658s,2,1,0.5,1,2,0.5,false
80,12:16:40.043,target,BB Gun,0s,1,1,1,1,1,1,false
81,12:16:40.630,target,BB Gun,0s,1,1,1,1,1,1,false
82,12:16:41.523,target,BB Gun,0.001s,1,1,1,1,1,1,false
