Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:34:38.147,Quaker Bot Long Strafes,MGV2,0.45s,11,6,0.545,6,22,0.273,false
2,04:34:38.573,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
3,04:34:39.137,Quaker Bot Long Strafes,MGV2,0.315s,8,6,0.75,6,16,0.375,false
4,04:34:40.080,Quaker Bot Long Strafes,MGV2,0.675s,16,11,0.688,11,32,0.344,false
5,04:34:40.486,Quaker Bot Long Strafes,MGV2,0.134s,4,1,0.25,1,8,0.125,false
6,04:34:41.046,Quaker Bot Long Strafes,MGV2,0.362s,9,6,0.667,6,18,0.333,false
7,04:34:41.520,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
8,04:34:42.016,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
9,04:34:42.803,Quaker Bot Long Strafes,MGV2,0.63s,15,11,0.733,11,30,0.367,false
10,04:34:42.916,Quaker Bot Long Strafes,MGV2,0s,1,1,1,1,2,0.5,false
11,04:34:43.611,Quaker Bot Long Strafes,MGV2,0.496s,12,6,0.5,6,24,0.25,false
12,04:34:43.974,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
13,04:34:44.558,Quaker Bot Long Strafes,MGV2,0.402s,10,6,0.6,6,20,0.3,false
14,04:34:45.031,Quaker Bot Long Strafes,MGV2,0.224s,6,6,1,6,12,0.5,false
15,04:34:45.524,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
16,04:34:46.021,Quaker Bot Long Strafes,MGV2,0.224s,6,6,1,6,12,0.5,false
17,04:34:46.652,Quaker Bot Long Strafes,MGV2,0.362s,9,6,0.667,6,18,0.333,false
18,04:34:46.988,Quaker Bot Long Strafes,MGV2,0.224s,6,6,1,6,12,0.5,false
19,04:34:47.460,Quaker Bot Long Strafes,MGV2,0.224s,6,6,1,6,12,0.5,false
20,04:34:47.957,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
21,04:34:48.809,Quaker Bot Long Strafes,MGV2,0.584s,14,11,0.786,11,28,0.393,false
22,04:34:49.125,Quaker Bot Long Strafes,MGV2,0.044s,2,1,0.5,1,4,0.25,false
23,04:34:49.823,Quaker Bot Long Strafes,MGV2,0.541s,13,6,0.462,6,26,0.231,false
24,04:34:50.296,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
25,04:34:50.927,Quaker Bot Long Strafes,MGV2,0.363s,9,6,0.667,6,18,0.333,false
26,04:34:51.397,Quaker Bot Long Strafes,MGV2,0.315s,8,6,0.75,6,16,0.375,false
27,04:34:51.917,Quaker Bot Long Strafes,MGV2,0.272s,7,6,0.857,6,14,0.429,false
28,04:34:52.387,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
29,04:34:53.625,Quaker Bot Long Strafes,MGV2,0.99s,23,7,0.304,7,46,0.152,false
30,04:34:54.256,Quaker Bot Long Strafes,MGV2,0.359s,9,5,0.556,5,18,0.278,false
