Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:43:12.503,Pigeon,LG,2.38s,45,20,0.444,120,270,0.444,false
2,02:43:16.099,Pigeon,LG,3.303s,62,21,0.339,126,372,0.339,false
3,02:43:19.398,Pigeon,LG,2.977s,56,19,0.339,114,336,0.339,false
4,02:43:22.484,Pigeon,LG,2.761s,52,20,0.385,120,312,0.385,false
5,02:43:25.405,Pigeon,LG,2.595s,49,20,0.408,120,294,0.408,false
6,02:43:29.409,Pigeon,LG,3.68s,69,20,0.29,120,414,0.29,false
7,02:43:31.900,Pigeon,LG,2.163s,41,20,0.488,120,246,0.488,false
8,02:43:34.932,Pigeon,LG,2.706s,51,20,0.392,120,306,0.392,false
9,02:43:38.879,Pigeon,LG,3.626s,68,20,0.294,120,408,0.294,false
10,02:43:42.506,Pigeon,LG,3.302s,62,20,0.323,120,372,0.323,false
11,02:43:46.082,Pigeon,LG,3.247s,61,20,0.328,120,366,0.328,false
12,02:43:49.379,Pigeon,LG,2.978s,56,20,0.357,120,336,0.357,false
13,02:43:53.765,Pigeon,LG,4.058s,76,20,0.263,120,456,0.263,false
14,02:43:57.770,Pigeon,LG,3.678s,69,20,0.29,120,414,0.29,false
15,02:44:01.449,Pigeon,LG,3.357s,63,21,0.333,126,378,0.333,false
16,02:44:04.481,Pigeon,LG,2.705s,51,19,0.373,114,306,0.373,false
17,02:44:07.240,Pigeon,LG,2.435s,46,21,0.457,126,276,0.457,false
18,02:44:10.269,Pigeon,LG,2.704s,51,20,0.392,120,306,0.392,false
19,02:44:14.165,Pigeon,LG,3.572s,67,20,0.299,120,402,0.299,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1203,397,2382.0,7218.0,

Kills:,19
Deaths:,0
Fight Time:,58.227001
Avg TTK:,4.371
Damage Done:,2382.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19.0
Scenario:,fuglaab180t
Hash:,d34e45dd8eeddb71fbbf8fb7f1830f86
Game Version:,v2.8.5
Challenge Start:,02:43:09.422
Pause Count:,7
Pause Duration:,121

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,344.366699
Resolution Scale,100.0
